Variable:,pr
,Philippines,"Cordillera Administrative region (CAR)","National Capital region (NCR)","Region I (Ilocos region)","Region II (Cagayan Valley)","Region V (Bicol region)","Region VI (Western Visayas)","Region VII (Central Visayas)","Region VIII (Eastern Visayas)","Region XIII (Caraga)","Autonomous region in Muslim Mindanao (ARMM)","Region IX (Zamboanga Peninsula)","Region X (Northern Mindanao)","Region XI (Davao Region)","Region XII (Soccsksargen)","Region III (Central Luzon)","Region IV-A (Calabarzon)","Region IV (Southern Tagalog)"
1901,2442.59,2812.38,3091.39,2676.39,3006.26,3379.00,2029.35,1686.46,2640.63,2506.54,1863.48,1824.34,2203.75,2087.53,1633.89,2688.20,3525.50,2253.63
1902,2352.97,2940.29,2513.89,2811.25,2665.28,2961.78,2100.59,1845.31,2829.64,2453.79,1971.29,2060.79,2307.42,1972.08,1594.72,2547.56,2592.23,2034.59
1903,2191.89,2679.46,2499.06,2500.39,2883.01,2629.70,1997.96,1703.67,2257.53,2355.40,1641.74,1730.89,2164.71,1906.54,1461.86,2292.52,2652.11,1814.59
1904,2591.29,2636.95,2961.15,2711.50,2535.11,3488.25,2426.00,2111.51,3269.03,3061.25,1983.18,1940.37,2518.02,2500.21,1889.38,2926.23,3116.71,2348.39
1905,2093.40,2653.64,2120.61,2561.58,2360.24,2143.08,1939.52,1586.01,2062.27,2225.55,1706.03,1674.78,2173.14,2082.88,1625.75,2354.58,2037.97,1854.34
1906,2563.79,3260.11,3220.31,3109.04,3434.88,3143.16,2098.30,1684.31,2353.14,2453.46,1806.69,1782.87,2266.92,2283.89,1783.87,3154.26,3394.47,2235.37
1907,2264.26,2392.37,2260.09,2404.43,2294.58,2865.77,1990.05,1700.43,2778.79,2851.71,1803.63,1633.59,2307.87,2510.51,1817.36,2330.27,2336.29,2083.63
1908,2888.90,3555.40,3777.79,3494.04,3744.13,3688.96,2290.62,1996.33,3159.86,3148.47,1850.73,1816.85,2567.29,2556.04,1771.36,3505.68,3964.79,2378.58
1909,2606.09,2871.22,3118.35,2741.55,3127.92,3319.40,2166.82,1854.37,2801.54,2871.40,2029.91,1950.11,2569.79,2546.56,1943.82,2835.19,3477.34,2263.65
1910,2811.60,2818.44,2739.76,2763.30,2957.31,3605.54,2446.59,2124.46,3457.73,3529.92,2404.46,2367.72,2975.61,2995.28,2237.31,2740.02,3179.74,2413.45
1911,2415.26,4275.23,2512.83,4011.41,3551.61,2286.16,1789.10,1491.07,2229.99,2294.80,1571.42,1399.76,1996.66,2018.92,1471.94,2972.38,2285.01,1914.77
1912,2178.13,2641.07,2609.33,2574.70,2523.76,2627.21,2141.93,1653.78,2243.86,2166.14,1637.84,1661.52,2050.90,1844.47,1465.03,2460.28,2681.07,2136.54
1913,2317.52,2800.18,2489.38,2774.31,2652.09,2808.65,2005.99,1754.89,2635.62,2539.31,1828.01,1794.85,2246.24,2102.10,1636.52,2610.91,2598.57,2043.32
1914,2084.14,3273.29,2623.84,3476.87,2473.72,1957.80,1481.11,1205.54,1700.26,1816.82,1588.21,1471.18,1704.72,1638.65,1389.69,3127.28,2477.18,1920.31
1915,2314.66,3048.18,2783.56,2839.40,3208.52,2639.45,1854.19,1472.03,2103.78,2249.15,1706.83,1651.01,2104.33,2052.65,1636.55,2661.59,2993.37,2063.08
1916,2850.79,2965.22,2929.58,2812.60,3191.16,3536.53,2618.25,2268.80,3381.76,3553.47,2357.45,2342.42,2993.83,2877.89,2184.38,2633.16,3300.94,2517.33
1917,2717.06,3072.58,3071.63,2973.19,3199.46,3428.62,2610.70,2189.67,2919.82,2702.86,2164.19,2312.99,2636.68,2147.87,1800.78,2994.99,3409.43,2675.20
1918,2473.53,2866.59,2651.74,2940.93,2633.36,2751.13,2091.09,1962.71,3003.12,3090.04,2043.11,1951.44,2478.75,2370.99,1772.79,2821.10,2591.01,2057.53
1919,2410.65,3047.43,3036.89,3066.05,2862.07,2627.02,2066.44,1723.43,2342.26,2365.66,1862.24,1895.31,2260.85,2013.18,1590.07,3187.36,3043.22,2112.26
1920,2254.78,2809.63,2629.71,2849.21,2653.55,2718.95,1919.70,1641.39,2533.44,2380.64,1578.72,1527.90,1996.26,1869.61,1400.22,2762.75,2803.58,2166.77
1921,2787.62,3156.96,2478.25,2897.19,3069.06,3407.50,2545.12,2336.94,3722.40,3397.02,2382.17,2381.43,2923.91,2677.67,2066.82,2469.14,2693.82,2470.96
1922,2552.86,2708.53,2582.36,2534.49,2829.44,3028.80,2393.21,2080.23,2919.17,3136.73,2113.53,2078.12,2678.64,2519.91,1882.46,2539.64,2890.27,2341.34
1923,2760.45,3626.58,3404.27,3730.75,3160.12,3275.65,2318.20,1974.89,2947.53,2784.68,2055.66,2069.87,2364.66,2199.28,1724.37,3748.17,3310.62,2512.36
1924,2814.84,3139.28,3886.79,3307.71,3339.11,3470.37,2472.89,2155.52,3285.48,2926.22,1901.29,1913.40,2464.23,2282.23,1708.76,3635.34,3909.69,2571.80
1925,2583.91,2906.64,3024.61,2933.82,2712.20,3192.74,2374.93,2079.63,3089.72,2871.97,2016.69,2010.17,2457.78,2154.77,1671.89,3097.99,3101.98,2530.47
1926,2561.21,2751.44,2647.97,2571.26,2465.26,3229.90,2607.66,2187.17,3161.24,3095.34,2207.25,2278.16,2774.89,2446.11,1890.06,2304.69,2833.45,2383.73
1927,2288.87,2149.71,2641.94,2153.29,2163.80,2667.01,2150.84,1850.01,2575.41,2729.25,2098.27,2106.68,2431.76,2274.34,1802.21,2468.40,2695.29,2311.01
1928,2436.60,2906.09,2319.89,2615.77,2778.66,3181.74,2200.96,1983.07,3032.40,2849.52,2076.11,2200.41,2384.25,2211.16,1773.85,2252.06,2632.90,2105.38
1929,2485.10,2406.95,2873.43,2529.51,2262.80,2944.56,2403.28,2146.94,3163.95,3028.99,1987.61,2075.43,2588.65,2291.63,1709.20,2762.19,2887.58,2529.64
1930,2199.77,2677.96,2697.71,2718.37,2506.71,2677.38,1938.73,1670.68,2466.16,2268.31,1613.31,1702.81,2086.94,1751.68,1348.95,2697.46,2771.82,2043.60
1931,2394.85,3102.25,2872.14,3013.56,3124.22,2813.97,2396.44,1874.93,2365.29,2041.97,1720.34,1833.45,2145.59,1712.29,1433.83,2942.23,2964.28,2303.19
1932,2580.06,3059.18,2771.53,2953.21,3028.99,3234.54,2407.37,2050.03,3157.89,2698.26,2081.17,2186.28,2544.09,2139.81,1689.54,2876.86,2857.74,2181.59
1933,2449.10,2233.60,2659.42,2312.26,2432.96,3016.15,2571.73,2224.78,2652.46,2804.24,2254.63,2480.16,2687.36,2206.37,1829.91,2615.23,2837.66,2315.45
1934,3266.26,3781.23,3854.33,3895.27,4064.41,3884.40,2646.07,2516.00,3918.93,3601.42,2546.52,2604.25,3016.73,2707.67,2124.03,3868.86,3955.11,2768.34
1935,2463.33,3184.87,3124.66,3193.25,3080.35,2564.40,2130.11,1878.66,2486.89,2274.29,1798.30,1898.56,2307.56,1847.42,1493.34,3325.74,3115.67,2177.52
1936,2562.80,3200.66,3078.07,3085.69,3088.47,3220.19,2218.58,1925.15,2927.61,2603.67,1944.82,1972.12,2376.77,2060.66,1617.16,2926.64,3245.88,2311.70
1937,2592.96,3245.70,3554.81,3344.07,3028.84,2760.86,2233.49,1943.72,2447.23,2503.32,1791.00,1821.22,2334.60,2036.22,1559.40,3486.64,3768.95,2560.90
1938,2496.50,2302.21,3066.30,2246.80,2801.63,3256.86,2389.57,1992.82,2963.04,2695.02,2126.45,2181.16,2433.28,2167.97,1751.20,2610.46,3344.94,2620.91
1939,2727.69,2980.80,3117.95,2932.62,3192.15,3490.43,2433.86,2052.33,3426.84,3029.55,2055.34,2103.32,2480.01,2297.31,1763.37,3004.62,3326.35,2690.57
1940,2221.77,2619.02,2829.31,2666.27,2375.71,2706.17,1873.65,1562.46,2515.96,2261.30,1798.00,1709.26,2067.91,1873.66,1540.48,2776.45,2779.12,2164.39
1941,2341.04,2825.70,2662.24,2777.49,2723.97,2849.87,2010.40,1686.46,2639.60,2506.54,1866.16,1824.34,2203.75,2087.53,1633.89,2677.35,2728.92,2130.83
1942,2341.10,2826.12,2662.24,2779.39,2720.91,2849.87,2010.40,1686.46,2639.60,2506.54,1863.48,1824.34,2203.75,2087.53,1633.89,2677.35,2728.92,2131.11
1943,2341.11,2826.11,2662.24,2778.52,2723.00,2849.87,2010.40,1686.46,2639.60,2506.54,1863.48,1824.34,2203.75,2087.53,1633.89,2677.35,2728.92,2131.05
1944,2341.32,2826.82,2662.24,2779.75,2725.04,2849.87,2010.40,1686.46,2639.60,2506.54,1863.48,1824.34,2203.75,2087.53,1633.89,2677.35,2728.92,2131.07
1945,2341.55,2827.62,2662.24,2781.52,2730.32,2849.87,2010.40,1686.46,2639.60,2506.54,1863.48,1824.34,2203.75,2087.53,1633.89,2677.35,2728.92,2131.16
1946,2330.21,2837.45,2618.25,2819.31,2659.25,2727.46,2007.06,1686.46,2639.31,2506.54,1863.48,1824.34,2203.75,2087.53,1633.89,2745.27,2587.63,2120.58
1947,2704.33,3323.94,3376.23,3256.41,3638.59,3171.93,2151.08,1905.34,3037.92,2764.98,2030.15,1981.48,2481.54,2288.87,1792.16,3272.60,3343.87,2219.06
1948,2204.44,2719.30,2562.74,2702.06,2692.91,2495.10,1954.46,1681.94,2456.65,2206.61,1711.29,1793.58,2035.44,1706.09,1386.96,2809.53,2561.05,1984.48
1949,2292.92,2410.56,2057.21,2363.95,2512.07,2568.28,2043.64,1869.44,2378.76,2728.46,2118.08,2115.86,2618.50,2473.42,1953.28,2153.32,2354.77,2001.22
1950,2402.93,2759.67,2901.14,2940.48,2625.85,2783.09,1999.33,1818.09,2628.96,2543.19,2021.51,1959.67,2367.99,2165.17,1748.21,2888.85,3031.32,2078.41
1951,2317.48,2809.24,2499.25,2556.43,2679.66,2908.46,2078.38,1754.95,2670.79,2476.21,1820.66,1875.92,2234.39,2009.36,1548.29,2380.89,2793.12,2242.65
1952,2573.45,2559.52,2720.82,2476.70,2720.40,3417.64,2574.49,2109.46,3002.48,2764.64,2176.89,2290.65,2654.31,2310.56,1874.01,2615.11,3087.20,2576.11
1953,2458.18,2919.77,3106.67,2680.64,3013.95,3070.48,2117.22,1748.93,2713.40,2603.49,1903.33,1860.66,2353.98,2185.53,1701.15,2683.93,3269.30,2162.15
1954,2305.52,2473.32,2202.65,2254.91,2525.50,2853.69,2179.41,1910.23,2670.36,2687.62,2047.42,2128.01,2526.39,2165.62,1713.30,2131.74,2433.73,2229.28
