Variable:,pr
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1901,1717.96,1177.16,1597.48,1435.92,1779.66,1394.12,1539.13,1448.05,1476.33,2197.84,1641.57,1485.64,1332.36,1221.16,3307.58
1902,1604.10,1178.67,1581.81,1259.44,1785.93,1351.82,1376.50,1447.67,1357.74,2128.87,1591.70,1467.07,1277.30,1170.03,2895.13
1903,1718.29,1372.98,1795.24,1241.19,1877.39,1538.50,1545.17,1623.74,1333.04,2133.75,1930.11,1737.33,1574.18,1477.85,2919.28
1904,1990.73,1407.79,1844.28,1782.31,1915.70,1589.01,1911.80,1679.71,1624.38,2211.92,1895.98,1760.76,1569.70,1569.24,4017.46
1905,1774.34,1229.65,1664.26,1462.84,1815.00,1489.33,1684.07,1501.38,1434.97,2138.33,1817.53,1584.20,1501.76,1502.03,3340.69
1906,1729.26,1087.55,1508.56,1524.35,1729.70,1376.90,1620.79,1354.51,1493.20,2176.35,1636.96,1402.66,1329.26,1297.22,3413.72
1907,1750.33,1645.52,2011.99,1235.10,2021.64,1558.53,1443.72,1911.99,1333.81,2129.88,1918.02,1967.80,1525.30,1280.32,2892.51
1908,1698.85,1362.85,1742.33,1393.17,1882.90,1368.49,1431.88,1627.50,1436.21,2160.88,1603.79,1635.28,1260.20,1106.25,3120.09
1909,1853.53,1215.95,1610.20,1763.35,1807.66,1364.60,1700.41,1494.62,1634.50,2209.94,1607.75,1504.08,1284.60,1260.93,3856.01
1910,1899.04,1648.34,2020.85,1523.33,2030.99,1569.57,1643.63,1922.26,1512.70,2202.99,1929.51,1964.06,1536.58,1328.84,3464.50
1911,1716.65,1367.32,1763.44,1343.08,1874.47,1454.39,1458.13,1633.81,1404.30,2147.87,1748.47,1680.50,1403.51,1224.23,3107.42
1912,1811.95,1331.69,1733.40,1508.82,1871.49,1495.51,1672.97,1616.25,1483.44,2177.11,1791.31,1646.77,1459.41,1421.19,3443.77
1913,1759.86,1169.34,1623.47,1448.97,1782.22,1471.98,1684.25,1432.69,1433.51,2147.16,1827.61,1538.73,1518.27,1508.67,3313.33
1914,1491.91,866.94,1276.96,1261.84,1607.09,1181.24,1294.86,1144.54,1374.97,2149.96,1328.45,1117.04,1055.62,992.35,2906.70
1915,1676.90,1546.47,1862.67,1287.01,1961.78,1340.56,1268.37,1814.37,1417.44,2186.00,1607.59,1778.16,1209.11,872.09,2982.08
