Variable:,pr
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1901,642.62,1042.56,730.69,604.88,843.27,486.53,1125.50,647.33,1139.12
1902,713.10,1266.22,799.01,619.96,976.16,486.12,1404.94,769.97,1547.10
1903,648.55,1240.70,532.61,542.94,891.64,379.47,1602.07,801.80,1717.05
1904,674.77,1172.38,884.36,598.11,846.33,431.38,1249.47,696.10,1309.52
1905,727.50,1283.36,870.46,657.00,980.60,504.78,1343.41,752.79,1344.12
1906,797.15,1392.17,1005.86,649.67,992.62,531.83,1612.40,852.58,1709.99
1907,624.41,1185.78,670.04,568.23,855.50,497.48,1085.40,631.61,1160.62
1908,654.63,1110.52,715.33,551.11,665.96,422.71,1356.54,742.13,1492.97
1909,676.39,1286.06,734.44,621.96,821.08,431.39,1318.84,733.24,1379.71
1910,571.69,971.16,585.54,510.83,714.21,408.15,1175.52,614.10,1303.73
1911,650.58,1247.21,737.07,588.17,880.89,411.56,1196.37,707.40,1320.89
1912,773.44,1546.21,705.14,771.64,1200.04,474.49,1410.24,865.35,1574.30
1913,657.28,1327.54,676.29,589.57,950.97,455.78,1231.98,714.87,1329.45
1914,687.94,1460.35,564.40,630.23,961.47,437.99,1478.83,797.74,1626.31
1915,686.30,1329.54,746.38,606.66,972.44,446.37,1424.53,742.74,1491.58
1916,758.05,1351.30,728.28,721.31,940.43,486.41,1561.16,837.49,1631.75
1917,765.12,1663.47,620.74,671.27,1089.86,446.78,1618.45,943.52,1807.13
1918,492.63,973.08,493.96,474.45,656.75,316.65,903.92,534.70,1011.31
1919,607.30,1337.65,603.82,485.37,880.06,330.99,1392.24,741.62,1479.45
1920,651.32,1154.26,673.44,571.14,917.71,391.51,1347.51,753.38,1480.97
1921,468.62,824.71,453.35,394.22,570.15,334.81,1098.09,515.05,1224.25
1922,606.18,1116.24,768.98,490.47,870.57,318.41,1363.60,686.55,1451.47
1923,792.77,1575.20,671.95,752.22,1157.94,535.47,1512.21,898.59,1706.21
1924,576.36,983.55,637.86,492.24,667.63,410.51,1158.46,617.07,1355.92
1925,632.36,994.09,662.48,556.59,750.10,457.37,1467.54,667.75,1420.57
1926,745.64,1503.02,664.52,673.60,999.41,505.64,1547.88,844.32,1614.19
1927,576.43,1076.71,712.46,514.35,771.80,414.70,1012.55,582.88,1025.55
1928,572.42,1072.52,656.78,481.95,720.81,339.29,1285.35,634.08,1428.58
1929,604.46,1270.90,709.10,531.42,818.83,400.78,1141.48,633.28,1263.41
1930,831.54,1607.71,794.61,822.46,1297.06,536.61,1452.31,916.38,1554.60
1931,628.09,1297.64,698.55,539.47,929.16,348.44,1347.40,713.26,1491.44
1932,680.36,1433.11,784.01,582.82,1005.32,392.40,1382.50,759.17,1533.95
1933,534.71,1011.12,616.02,474.65,665.82,355.89,1148.48,548.12,1310.47
1934,541.99,1054.82,632.94,442.94,605.44,339.83,1165.15,597.46,1298.16
1935,671.32,1312.32,713.69,570.14,919.08,431.27,1341.72,759.43,1523.35
1936,766.43,1372.60,863.12,681.22,1006.76,467.99,1426.19,864.62,1530.52
1937,809.01,1633.83,886.08,749.90,1313.58,524.77,1543.40,859.78,1580.26
1938,613.88,1126.34,723.40,518.44,742.06,333.95,1289.43,708.21,1370.08
1939,498.51,763.05,616.13,422.45,524.84,328.54,1120.81,522.91,1151.29
1940,707.92,1237.74,761.21,637.07,934.28,465.71,1462.88,766.19,1578.88
1941,764.86,1282.66,735.86,703.86,1005.15,511.48,1566.94,856.72,1645.94
1942,630.87,1202.76,642.64,552.10,916.99,353.83,1285.03,751.25,1385.39
1943,528.39,981.96,548.22,490.17,589.14,262.72,1101.43,620.23,1261.99
1944,649.17,1036.70,710.28,591.73,727.27,424.72,1416.30,694.44,1427.52
1945,534.81,1044.43,601.40,392.96,706.28,280.37,1165.74,672.03,1335.84
1946,568.97,1229.89,615.20,467.26,719.60,285.87,1313.21,671.75,1564.85
1947,732.58,1598.32,666.59,648.12,1222.21,372.34,1464.21,916.76,1619.95
1948,621.84,1102.03,640.51,600.37,812.37,404.23,1190.63,668.04,1276.58
1949,452.54,794.12,435.48,342.54,555.05,263.24,1122.57,562.89,1287.64
1950,552.87,1140.65,526.38,507.56,697.28,305.90,1135.58,646.97,1310.98
1951,951.32,1757.68,991.54,878.74,1381.00,693.39,1763.20,998.92,1885.98
1952,544.89,989.98,451.92,460.96,835.54,330.99,1367.93,657.38,1516.05
1953,636.46,1107.19,709.33,629.33,637.42,458.24,1184.60,624.05,1217.33
1954,607.98,1286.26,504.12,536.70,897.23,348.99,1348.97,742.79,1443.94
