Variable:,pr
,Jordan,Zarqa,Ajloon,Amman,Aqaba,Irbid,Jarash,Karak,Ma'an,Madaba,Mafraq,Tafiela,Balqa
1901,88.98,72.09,317.50,134.61,60.35,325.40,317.17,177.80,52.73,229.39,81.35,124.69,283.56
1902,120.04,113.86,497.80,209.21,58.17,506.77,497.28,267.19,64.20,359.84,98.27,174.00,445.87
1903,91.59,90.34,384.40,161.69,42.66,392.91,384.00,190.02,47.50,268.05,78.95,117.41,341.50
1904,147.59,133.15,597.10,259.40,79.58,593.11,596.46,374.60,83.44,464.34,105.07,258.25,544.34
1905,140.08,131.69,564.30,248.45,71.66,566.51,563.71,328.13,80.57,416.41,104.58,218.92,507.12
1906,120.61,109.35,452.00,186.91,71.07,492.86,451.55,211.79,73.88,277.49,110.34,145.34,385.15
1907,133.42,127.22,557.40,242.03,61.96,554.51,556.81,326.39,71.49,424.51,99.73,216.54,506.66
1908,127.17,118.04,526.60,220.59,71.84,540.68,526.04,290.79,70.90,378.18,96.82,194.38,469.62
1909,112.33,93.78,395.90,163.87,80.07,420.65,395.50,200.99,73.09,260.60,101.01,138.28,343.81
1910,99.70,99.05,411.80,166.55,53.63,435.15,411.39,189.89,53.09,267.37,89.24,121.41,357.76
1911,177.92,173.46,739.00,320.08,69.48,757.13,738.24,395.60,98.53,520.80,142.54,255.44,656.19
1912,128.48,110.41,486.20,208.08,75.96,489.86,485.69,298.19,74.89,370.63,103.37,212.41,440.48
1913,121.44,118.11,500.50,211.04,53.18,519.33,499.99,245.63,64.84,343.59,107.11,150.81,442.24
1914,113.98,104.67,455.40,187.00,59.88,473.95,454.92,229.60,62.69,313.75,101.77,148.24,401.96
1915,79.14,71.74,291.90,126.41,44.06,298.32,291.60,156.22,43.72,207.12,75.08,102.84,259.87
1916,131.27,113.68,510.90,227.04,72.46,505.73,510.34,341.44,74.67,412.40,95.18,235.52,470.75
1917,116.15,98.15,468.40,202.31,69.39,458.37,467.88,311.28,62.93,386.65,82.35,212.77,435.57
1918,147.67,135.22,596.10,249.24,94.73,601.46,595.48,325.65,85.15,428.30,113.23,222.21,531.88
1919,123.32,122.90,504.20,220.07,54.17,520.53,503.69,260.89,69.46,348.62,99.83,168.05,445.63
1920,135.96,116.76,528.90,232.58,85.14,521.65,528.33,349.16,81.37,419.22,92.25,253.89,484.37
1921,119.81,108.04,474.60,205.02,72.60,484.45,474.10,275.70,69.01,348.27,90.41,195.29,425.62
1922,106.95,102.72,450.80,191.93,48.55,459.61,450.32,242.13,57.37,324.74,84.60,155.40,403.33
1923,97.10,88.72,381.40,159.22,50.40,393.59,381.01,199.88,53.59,265.11,86.98,129.13,336.99
1924,121.60,117.70,493.50,209.62,56.26,508.37,492.99,264.33,66.40,352.15,101.33,176.11,439.94
1925,80.83,64.48,281.70,119.01,61.54,290.86,281.40,156.87,49.59,199.28,73.53,107.06,249.63
1926,109.03,107.06,466.20,191.52,49.75,480.62,465.72,238.70,56.91,316.72,90.65,148.99,409.02
1927,114.32,104.92,437.30,193.66,53.24,442.48,436.85,251.04,64.58,320.28,98.31,165.11,392.14
1928,96.32,95.61,421.30,175.92,37.15,431.80,420.86,221.81,49.23,299.08,77.80,127.57,374.86
1929,113.52,106.77,460.30,192.00,57.54,481.77,459.82,240.60,62.33,320.08,95.84,160.19,406.98
1930,86.31,75.20,338.30,145.99,50.88,344.62,337.93,196.88,48.37,255.76,69.05,134.77,306.82
1931,112.99,109.80,488.90,207.31,51.00,482.17,488.38,262.90,60.01,355.47,86.62,161.92,438.80
1932,66.50,60.52,253.30,111.58,34.34,248.24,253.04,144.49,37.53,186.24,57.91,92.40,227.55
1933,69.62,60.44,258.80,116.35,43.32,246.55,258.53,154.84,41.22,197.72,56.66,105.23,235.40
1934,105.76,103.05,482.40,198.17,47.44,456.75,481.88,257.45,54.81,346.14,77.21,155.94,430.63
1935,106.28,100.82,440.40,176.20,43.51,463.60,439.94,221.24,55.51,295.93,97.08,141.66,385.05
1936,104.52,98.38,444.40,178.33,46.27,466.56,443.92,228.83,54.03,309.70,89.06,150.96,393.27
1937,103.22,88.46,387.90,172.73,57.14,389.99,387.48,226.80,59.46,298.00,86.93,152.36,353.88
1938,154.35,147.67,617.40,265.00,65.74,649.35,616.76,350.04,85.33,445.61,127.25,229.99,550.79
1939,129.20,130.36,538.60,228.88,59.66,514.96,538.04,290.21,71.64,393.58,101.37,191.26,484.40
1940,106.25,103.02,468.40,179.67,43.14,513.34,467.93,208.53,49.62,316.15,100.67,123.45,412.73
1941,111.22,105.09,435.70,194.49,53.41,455.28,435.25,270.03,65.03,322.19,82.31,181.72,390.34
1942,119.82,119.26,437.30,197.58,58.83,473.87,436.90,269.22,68.92,321.73,100.82,178.10,391.14
1943,127.18,120.60,508.90,222.05,54.26,531.36,508.40,286.26,69.75,360.74,106.27,179.11,451.36
1944,175.32,153.36,659.40,302.04,85.13,703.79,658.72,419.04,101.48,512.23,137.75,282.25,601.30
1945,125.78,107.60,471.80,216.77,63.11,478.78,471.31,284.79,72.31,365.05,103.85,193.44,431.29
1946,80.67,71.72,297.50,130.70,41.80,320.24,297.20,167.11,45.11,212.55,73.61,113.54,264.71
1947,78.00,72.22,304.20,131.53,39.01,318.07,303.89,166.13,42.41,223.00,67.98,109.56,273.68
1948,118.74,114.22,504.60,210.01,49.62,519.65,504.08,241.52,58.53,357.64,106.94,154.96,451.56
1949,150.08,142.07,644.90,272.70,65.63,647.80,644.22,323.04,79.89,462.65,121.36,208.05,578.41
1950,100.87,84.80,357.00,154.48,60.71,377.03,356.64,204.42,60.80,254.94,90.88,147.46,317.25
1951,105.46,102.33,473.40,197.13,36.75,471.41,472.89,247.35,50.47,345.75,86.49,149.14,426.05
1952,87.87,84.81,304.10,142.65,38.89,338.00,303.79,207.13,52.62,220.36,73.14,147.67,268.68
1953,151.05,151.50,623.60,266.67,64.29,675.71,622.95,312.53,80.33,448.89,126.49,207.55,560.25
1954,125.88,107.20,416.60,196.67,81.23,490.15,416.16,270.24,82.09,327.95,98.33,213.68,382.30
1955,77.61,75.03,350.70,127.71,31.42,365.36,350.33,153.50,35.97,226.40,74.72,95.51,304.02
1956,84.86,78.61,349.40,155.70,31.07,350.54,349.03,208.23,41.79,278.70,71.50,118.41,322.74
1957,136.84,129.17,543.40,239.39,66.61,531.14,542.84,299.08,79.22,406.56,109.00,200.24,492.94
1958,50.03,47.09,236.30,84.46,19.48,238.99,236.05,105.37,22.05,146.87,47.71,60.66,202.04
1959,84.32,76.76,334.50,146.69,35.35,347.96,334.16,209.02,45.53,247.61,68.68,129.87,299.08
1960,55.60,59.47,281.00,94.06,18.73,297.84,280.70,115.57,25.28,154.89,49.57,65.19,231.86
1961,123.65,117.56,516.20,219.43,55.74,532.97,515.65,278.25,62.75,380.10,104.22,170.35,465.46
1962,51.03,47.75,237.60,84.90,19.64,261.43,237.34,106.96,25.63,144.94,44.10,70.57,201.99
1963,114.28,94.24,409.70,176.14,63.82,422.56,409.28,250.51,66.35,293.71,104.59,166.20,362.63
1964,109.25,106.24,456.10,195.39,43.16,492.46,455.63,268.77,56.21,330.83,87.14,160.86,405.92
1965,119.98,106.36,433.30,217.63,56.48,429.07,432.84,296.25,70.37,373.61,90.15,206.88,411.65
1966,115.97,115.24,499.60,198.00,62.78,483.25,499.08,231.61,67.92,325.18,90.99,160.60,434.14
1967,128.29,127.82,561.90,221.82,60.42,554.03,561.33,273.66,63.98,373.88,112.35,163.45,490.23
1968,114.61,89.40,403.40,179.47,83.16,437.46,402.97,260.72,74.99,309.00,86.52,173.14,365.32
1969,107.06,101.82,418.30,171.17,57.62,445.38,417.88,203.82,57.60,282.61,102.04,118.93,367.13
1970,82.29,83.74,378.20,149.56,31.67,392.72,377.80,192.85,41.05,256.19,63.55,122.93,331.36
1971,145.80,123.50,552.10,232.75,85.44,553.75,551.51,318.95,87.15,383.24,122.53,222.53,484.77
1972,103.74,90.92,360.20,162.94,55.29,359.45,359.83,216.66,63.21,264.92,92.66,163.17,322.64
1973,71.11,78.75,369.30,138.48,24.14,359.68,368.91,152.21,29.46,252.40,58.73,72.62,328.00
1974,160.22,144.49,630.00,287.79,67.89,620.48,629.33,407.16,92.46,490.20,119.08,264.15,573.81
1975,98.00,91.68,369.70,160.86,45.49,383.42,369.32,214.93,55.87,264.62,83.77,163.09,328.40
1976,85.23,77.92,318.90,128.58,51.18,364.80,318.58,156.54,46.47,206.53,83.53,101.31,275.49
1977,116.76,105.37,456.80,199.87,50.53,470.47,456.32,263.03,60.51,346.52,105.69,152.17,414.66
1978,68.39,65.42,287.50,118.68,55.01,314.17,287.20,134.92,39.87,204.77,48.72,79.59,257.85
1979,127.09,120.70,510.60,228.01,63.66,500.89,510.06,290.33,69.26,406.80,100.09,186.38,474.11
1980,148.47,140.15,593.50,268.48,71.04,572.91,592.89,333.20,90.47,430.92,106.16,257.93,532.70
1981,71.54,67.48,299.30,116.26,41.33,335.05,298.98,139.84,32.78,204.70,70.20,72.20,263.77
1982,126.96,104.51,417.50,189.02,80.68,436.79,417.07,261.09,74.86,318.96,121.14,183.77,378.26
1983,118.77,125.88,545.80,234.45,34.10,521.20,545.23,281.31,55.79,408.20,94.35,154.02,496.66
1984,86.92,93.29,391.30,154.75,25.90,410.08,390.90,161.29,33.83,261.86,91.17,92.52,345.14
1985,111.95,98.72,388.00,190.30,74.30,386.31,387.61,260.02,76.28,307.16,75.72,191.49,355.77
1986,118.17,108.05,511.50,181.07,77.22,528.05,510.96,215.03,67.16,314.64,101.95,158.86,436.93
1987,92.46,82.21,351.80,141.99,71.68,386.09,351.44,184.02,54.09,247.83,77.47,121.13,312.21
