Variable:,pr
,"French Polynesia","Administrative unit not available"
1901,2766.46,2154.26
1902,1309.75,1401.45
1903,2184.08,1857.09
1904,1278.41,1384.80
1905,986.43,1234.16
1906,925.81,1203.13
1907,1188.48,1338.55
1908,1586.29,1543.90
1909,1936.62,1726.22
1910,1698.53,1602.39
1911,1698.53,1602.39
1912,1698.53,1602.39
1913,1698.53,1602.39
1914,1698.53,1602.39
1915,1698.53,1602.39
1916,1466.95,1483.43
1917,1698.53,1602.39
1918,1494.02,1496.51
1919,2590.23,2062.05
1920,1872.12,1693.99
1921,1921.14,1720.05
1922,2292.20,1912.09
1923,2256.65,1892.96
1924,2756.30,2147.51
1925,2566.15,2050.60
1926,3090.12,2322.20
1927,1262.41,1377.37
1928,2519.60,2027.17
1929,1502.19,1470.63
1930,1709.88,1436.36
1931,1933.37,1788.28
1932,2127.55,1824.84
1933,1753.09,1631.19
1934,1494.46,1497.36
1935,2021.87,1781.50
1936,1334.95,1267.96
1937,1092.88,1303.37
1938,1424.36,1252.81
1939,1194.37,1353.85
1940,1185.64,1458.07
1941,1207.72,1605.72
1942,1210.68,1482.74
1943,1590.13,1608.47
1944,2231.51,1966.43
1945,1452.58,1343.28
1946,1956.69,1681.51
1947,1865.97,1496.66
1948,1551.67,1396.90
1949,1742.70,1620.86
1950,1558.41,1344.95
1951,1109.44,1154.22
1952,2244.38,1871.68
1953,1879.78,1717.99
1954,1702.27,1511.84
1955,1534.90,1271.89
1956,1287.47,1229.45
1957,1357.21,1272.52
1958,1400.94,1338.49
1959,1280.69,1334.52
1960,1673.42,1524.02
1961,2187.39,1813.65
1962,2079.09,1561.49
1963,1650.19,1658.82
1964,1661.40,1449.30
1965,2348.70,1980.45
1966,1589.05,1587.61
1967,1504.78,1469.87
1968,1710.25,1466.74
1969,1471.97,1307.59
1970,1957.46,1804.85
1971,1840.58,1579.89
1972,930.22,1090.89
1973,1377.35,1300.48
1974,1660.70,1526.32
1975,1361.90,1268.86
1976,1089.62,1045.66
1977,1185.70,1485.11
1978,1737.75,1515.36
1979,1911.49,1761.31
1980,1748.88,1816.96
1981,2195.64,1993.21
1982,1860.07,1694.28
1983,1537.29,1855.98
1984,1966.07,2016.03
1985,2038.45,1932.97
1986,1731.83,1677.48
1987,1892.11,1745.62
1988,1638.44,1594.85
1989,1708.49,1623.93
1990,1561.36,1537.27
1991,1367.52,1411.76
1992,1619.26,1970.29
1993,1702.59,1888.78
1994,1929.79,1775.77
1995,2350.62,1930.15
1996,1514.59,1769.31
1997,1584.68,1588.13
1998,1722.24,1786.28
1999,1448.36,1413.81
2000,1362.43,1392.01
2001,1619.63,1472.82
2002,1026.39,1166.57
2003,1096.68,1094.12
2004,1457.68,1730.23
2005,1589.19,1550.33
2006,1652.27,1597.61
2007,1954.29,1638.03
2008,745.13,973.74
2009,1384.51,1418.18
2010,1485.25,1219.23
2011,903.71,1112.06
2012,1618.19,1519.94
2013,1195.63,1356.97
2014,1989.95,1569.34
2015,1258.49,1290.96
2016,1882.76,1671.64
2017,1827.43,1739.62
2018,1477.33,1316.80
2019,1373.20,1228.15
2020,1487.37,1320.19
