Variable:,pr
,"Norfolk Island","Administrative unit not available"
1901,1147.80,1147.80
1902,1144.20,1144.20
1903,1722.50,1722.50
1904,1471.40,1471.40
1905,939.80,939.80
1906,1218.80,1218.80
1907,1480.90,1480.90
1908,1574.20,1574.20
1909,1555.00,1555.00
1910,2098.40,2098.40
1911,1353.80,1353.80
1912,845.20,845.20
1913,1428.00,1428.00
1914,858.00,858.00
1915,1519.50,1519.50
1916,1796.40,1796.40
1917,2034.40,2034.40
1918,1442.30,1442.30
1919,1250.00,1250.00
1920,1379.60,1379.60
1921,993.10,993.10
1922,1575.60,1575.60
1923,1511.50,1511.50
1924,1383.70,1383.70
1925,1288.10,1288.10
1926,1328.40,1328.40
1927,1553.70,1553.70
1928,1403.60,1403.60
1929,1499.70,1499.70
1930,1077.10,1077.10
1931,1309.60,1309.60
1932,1336.20,1336.20
1933,1117.70,1117.70
1934,1649.90,1649.90
1935,1373.90,1373.90
1936,1389.60,1389.60
1937,2011.70,2011.70
1938,1399.20,1399.20
1939,1114.90,1114.90
1940,1005.90,1005.90
1941,1472.10,1472.10
1942,1543.50,1543.50
1943,1457.20,1457.20
1944,1220.50,1220.50
1945,1758.10,1758.10
1946,1324.60,1324.60
1947,1630.40,1630.40
1948,1457.60,1457.60
1949,1509.50,1509.50
1950,1472.20,1472.20
1951,1261.10,1261.10
1952,1703.20,1703.20
1953,1114.20,1114.20
1954,1503.10,1503.10
1955,1955.90,1955.90
1956,1535.50,1535.50
1957,1176.30,1176.30
1958,1811.90,1811.90
1959,1501.10,1501.10
1960,1551.50,1551.50
1961,1648.20,1648.20
1962,2087.40,2087.40
1963,1222.40,1222.40
1964,1607.10,1607.10
1965,902.80,902.80
1966,1772.90,1772.90
1967,1992.30,1992.30
1968,1142.10,1142.10
1969,1498.90,1498.90
1970,1616.70,1616.70
1971,1419.30,1419.30
1972,1124.30,1124.30
1973,1274.20,1274.20
1974,1655.70,1655.70
1975,1414.60,1414.60
1976,882.70,882.70
1977,909.40,909.40
1978,1458.60,1458.60
1979,1065.40,1065.40
1980,1197.60,1197.60
1981,1776.20,1776.20
1982,1232.90,1232.90
1983,1331.60,1331.60
1984,1373.60,1373.60
1985,2116.30,2116.30
1986,1611.10,1611.10
1987,1064.00,1064.00
1988,1564.50,1564.50
1989,1699.80,1699.80
1990,1176.80,1176.80
1991,941.40,941.40
1992,1138.80,1138.80
1993,951.50,951.50
1994,948.00,948.00
1995,1163.50,1163.50
1996,1548.70,1548.70
1997,1150.30,1150.30
1998,1965.70,1965.70
1999,1198.00,1198.00
2000,939.30,939.30
2001,1359.80,1359.80
2002,1468.10,1468.10
2003,1106.60,1106.60
2004,920.50,920.50
2005,913.30,913.30
2006,1167.20,1167.20
2007,1060.30,1060.30
2008,1797.00,1797.00
2009,1015.30,1015.30
2010,880.10,880.10
2011,1632.30,1632.30
2012,1388.60,1388.60
2013,1042.90,1042.90
2014,1278.30,1278.30
2015,1102.00,1102.00
2016,1388.00,1388.00
2017,998.50,998.50
2018,1280.30,1280.30
2019,1171.80,1171.80
2020,1247.40,1247.40
