Variable:,pr
,Zambia,Central,Copperbelt,Eastern,Luapula,Lusaka,North-Western,Northern,Southern,Western
1901,1010.55,983.99,1192.52,954.60,1227.14,835.13,1150.85,1173.78,756.37,813.04
1902,1018.90,981.75,1192.51,1000.43,1227.16,772.66,1150.85,1221.56,728.83,813.04
1903,934.26,895.55,1071.62,878.55,1224.37,610.14,1020.16,1144.09,648.94,772.93
1904,1017.61,977.19,1223.74,995.58,1220.39,804.85,1133.00,1257.27,747.62,765.01
1905,907.78,877.25,1043.09,962.10,1214.91,665.85,989.63,1227.07,559.99,582.00
1906,871.97,804.98,946.06,913.57,1074.21,588.05,980.89,1048.65,625.90,711.36
1907,974.52,1028.37,1223.81,963.84,1062.51,859.01,1142.28,954.47,873.34,799.14
1908,963.04,922.78,1025.36,976.14,1085.28,712.42,1028.63,1090.22,803.90,864.64
1909,868.42,852.36,1064.12,731.57,997.18,678.85,1034.14,848.78,744.55,837.28
1910,964.59,944.30,1130.28,937.90,1046.28,734.55,1182.64,986.93,774.81,856.01
1911,901.45,915.43,1014.86,855.91,985.08,780.96,1008.69,935.55,765.96,825.92
1912,882.70,804.80,948.65,839.11,1111.73,680.47,983.38,1129.85,558.75,731.66
1913,898.95,830.57,1048.13,879.18,1176.59,652.23,1056.14,1075.01,532.85,753.78
1914,956.75,987.41,1209.51,829.53,1064.95,818.58,1060.65,1016.17,848.90,828.36
1915,897.72,864.86,1097.37,859.87,1098.67,680.00,1022.39,1013.25,733.26,714.20
1916,925.86,888.43,1055.16,942.30,1068.28,734.22,1082.17,1072.61,592.84,797.40
1917,963.40,914.52,1120.37,964.51,1236.96,735.58,1077.88,1201.84,696.00,692.47
1918,894.51,959.77,1039.87,827.06,859.55,864.70,1021.67,836.05,839.23,849.13
1919,1042.49,972.37,1100.13,918.83,1086.96,831.93,1219.93,1127.88,900.70,992.15
1920,996.68,1008.07,1211.79,941.66,1184.76,787.55,1142.10,1074.20,832.09,813.16
1921,1030.13,1017.74,1207.03,972.43,1204.87,775.56,1157.21,1126.83,851.05,891.61
1922,866.88,753.98,960.69,763.73,1141.68,589.74,1042.53,1047.49,582.84,741.07
1923,1086.90,1037.21,1265.98,1007.71,1296.26,796.42,1302.70,1206.98,795.12,944.63
1924,814.36,697.29,902.04,652.01,1007.32,546.91,1024.83,883.11,653.76,767.18
1925,1149.01,1128.67,1304.68,1058.46,1235.70,931.83,1306.44,1184.64,1002.93,1085.49
1926,1181.93,1324.88,1431.30,1100.98,1183.15,1185.56,1389.63,1119.35,1008.25,1050.00
1927,928.34,781.73,1029.68,837.65,1191.57,617.51,1149.64,1126.94,622.46,778.81
1928,949.40,942.59,1185.87,918.32,1108.19,705.75,1107.84,1123.86,632.73,755.33
1929,1007.70,1008.60,1198.73,929.25,1072.09,855.75,1175.66,1063.21,862.49,877.71
1930,930.49,891.81,1105.01,847.72,1177.55,654.26,1048.59,1099.46,745.69,732.01
1931,1053.87,941.71,1328.68,999.18,1357.10,670.88,1307.64,1252.25,670.56,837.48
1932,1030.64,1081.89,1133.92,925.77,1100.13,864.33,1106.22,1114.79,1019.35,864.43
1933,924.16,938.19,1210.62,857.32,1151.80,749.98,1096.09,1072.10,683.65,651.73
1934,1088.22,1053.47,1222.18,1104.86,1185.37,874.82,1275.68,1195.90,805.66,958.48
1935,870.76,772.39,1052.57,772.89,1170.27,605.99,1005.86,1099.34,589.88,680.14
1936,1086.59,1002.50,1141.76,1067.21,1278.88,801.82,1183.26,1358.78,865.59,862.92
1937,965.52,843.79,1039.33,883.19,1104.81,684.63,1165.73,1081.00,759.45,890.19
1938,977.84,931.99,1173.07,908.56,1075.00,729.42,1189.90,1004.31,783.93,903.71
1939,1144.29,1218.85,1362.88,1031.10,1160.52,1150.16,1313.31,1065.10,1122.81,1034.83
1940,990.81,964.68,1166.11,970.79,1187.64,786.89,1052.61,1210.93,794.10,757.52
1941,1049.00,1041.56,1115.85,1029.13,1180.05,848.86,1085.19,1269.59,855.59,873.67
1942,925.68,869.67,1092.28,865.98,1141.35,684.32,1035.54,1179.17,682.15,684.09
1943,997.97,1076.26,1240.37,857.45,1088.63,971.73,1154.94,991.87,921.48,836.11
1944,1010.22,900.57,1150.60,980.52,1188.48,758.68,1091.17,1231.75,780.57,869.74
1945,949.32,922.37,1090.08,919.80,1072.33,732.85,1105.65,1101.50,723.42,767.51
1946,921.04,943.30,1144.24,997.67,1065.67,770.10,1028.11,1057.18,713.30,661.53
1947,973.31,879.46,1195.00,963.44,1231.53,677.08,1164.20,1160.48,659.30,760.10
1948,1042.69,1044.48,1303.39,963.24,1080.97,802.25,1270.05,1026.83,881.99,956.36
1949,819.65,800.09,933.92,729.57,927.64,630.58,967.95,884.61,690.75,715.97
1950,1002.44,971.85,1209.62,1054.07,1226.80,773.63,1135.50,1129.63,767.09,786.96
1951,1044.03,917.83,1267.46,972.82,1268.43,683.33,1275.36,1216.38,678.43,923.39
1952,1072.99,1036.02,1263.76,1051.50,1123.33,879.82,1249.86,1114.07,848.25,1013.96
1953,1069.99,1116.11,1235.69,929.55,1038.93,936.35,1281.47,967.58,1030.79,1047.54
1954,930.28,892.95,1046.66,782.01,1022.13,781.07,1013.85,967.54,946.97,865.54
1955,969.56,915.13,1096.92,955.75,1071.54,697.02,1085.26,1083.03,783.00,877.06
1956,1176.21,1180.18,1471.02,1197.06,1427.97,968.08,1276.96,1377.92,831.48,934.54
1957,1036.81,910.24,1041.74,957.72,1259.91,682.35,1188.86,1214.85,727.60,1003.04
1958,1061.92,1094.08,1028.76,904.65,967.11,974.95,1171.81,958.40,1096.52,1171.46
1959,998.11,1087.54,1143.03,1001.82,1007.11,858.17,1092.09,1070.02,757.95,903.65
1960,923.78,844.63,1077.04,818.65,1201.61,631.67,1155.18,1071.16,644.01,743.71
1961,1217.10,1229.21,1484.67,1174.50,1597.90,892.05,1418.55,1443.51,855.38,869.12
1962,1243.70,1311.88,1558.43,1178.11,1427.09,1086.75,1396.69,1382.05,1024.69,952.24
1963,1090.58,966.88,1246.52,1008.53,1409.07,699.58,1199.77,1353.53,741.59,961.18
1964,856.11,830.30,1023.79,831.83,1097.75,661.69,1004.03,1080.32,635.95,538.80
1965,892.35,809.61,1051.73,924.43,1248.33,552.18,1023.30,1194.29,449.40,645.28
1966,917.13,915.86,967.08,838.30,1056.72,780.06,1042.17,1014.04,706.69,829.77
1967,1077.96,1001.12,1366.23,935.64,1368.42,739.77,1298.72,1232.46,703.84,951.29
1968,994.28,967.50,1185.63,958.80,1159.29,764.56,1145.36,1180.87,691.01,808.01
1969,1188.14,1207.60,1484.99,981.72,1333.83,981.31,1482.78,1126.54,1000.60,1108.51
1970,951.79,803.36,1188.31,907.57,1290.62,520.63,1130.19,1290.77,554.01,679.32
1971,954.48,922.58,1156.89,958.30,1207.01,731.32,1109.53,1146.23,640.46,711.39
1972,894.55,782.31,944.36,826.97,1080.63,630.03,940.67,1111.57,715.40,801.92
1973,864.38,886.27,970.08,791.24,1030.44,750.42,922.42,1054.33,712.31,647.14
1974,1168.34,1209.51,1378.25,1141.02,1295.36,1021.79,1206.94,1239.59,1071.00,1024.96
1975,945.03,922.47,1083.39,832.86,1171.94,716.65,1084.74,1130.77,729.94,738.32
1976,1111.75,1162.50,1395.18,1061.82,1282.10,984.90,1296.39,1118.40,871.42,967.79
1977,1042.60,1006.11,1315.70,932.16,1199.33,755.78,1177.86,1163.72,772.82,963.33
1978,1249.19,1315.29,1522.75,1232.72,1382.14,1141.93,1424.51,1325.50,980.83,1036.18
1979,1107.76,971.64,1293.14,940.03,1551.99,711.28,1304.86,1406.49,755.26,857.70
1980,967.00,928.53,1113.80,1026.44,1243.31,751.19,1071.65,1152.45,619.97,780.02
1981,905.99,911.53,1017.78,832.53,1033.24,872.11,1024.45,907.89,784.59,839.01
1982,980.98,942.79,1093.97,1009.02,1231.44,754.29,1119.75,1327.94,514.30,691.04
1983,879.97,896.81,1122.74,850.80,1061.67,674.10,1001.84,992.37,637.85,708.26
1984,947.44,953.21,1210.87,956.40,1227.00,689.59,1073.38,1163.00,595.04,681.85
1985,950.32,963.68,1178.29,1079.62,1168.39,836.89,1020.56,1149.67,686.98,634.28
1986,1085.24,1044.96,1211.16,1056.17,1324.33,916.62,1251.93,1250.49,844.25,851.79
1987,796.80,726.57,939.73,719.93,966.38,535.58,999.08,946.97,505.84,664.54
1988,938.54,858.32,1053.91,969.93,1094.37,630.06,1112.19,1092.45,627.42,812.03
1989,1066.45,1109.89,1172.71,1195.72,1108.23,986.73,1135.25,1201.90,840.36,866.75
1990,884.56,911.56,1022.69,757.10,1002.69,775.40,1094.53,929.94,691.36,750.98
1991,963.14,872.46,1155.44,839.92,1145.36,645.57,1152.35,1127.19,676.67,856.07
1992,772.43,725.08,926.31,678.04,925.43,588.86,955.91,935.55,524.39,597.46
1993,970.19,934.17,1205.49,889.06,1091.69,708.45,1237.11,980.24,701.41,895.44
1994,774.94,736.70,925.60,747.32,987.70,610.60,863.14,976.58,486.25,606.23
1995,770.66,715.79,946.45,762.33,999.50,490.30,846.22,966.88,471.05,636.73
1996,923.10,945.29,1040.35,955.11,1043.50,793.35,969.90,1115.19,713.65,712.76
1997,1038.57,1050.53,1176.16,1039.94,1233.16,912.49,1114.99,1187.20,855.29,822.62
1998,931.40,885.33,1033.15,782.70,1084.34,722.75,1141.43,1026.21,705.48,839.46
1999,856.72,867.91,933.88,904.04,930.07,768.86,915.10,1005.00,632.45,716.10
2000,1056.31,1103.02,1232.53,1042.49,1096.03,904.66,1187.03,1141.47,831.20,924.82
2001,1071.68,1182.32,1390.88,1018.72,1237.29,989.51,1206.94,1123.97,834.20,862.99
2002,901.11,838.96,1051.82,883.03,1156.28,607.61,1064.72,1079.94,555.32,743.49
2003,1004.36,1107.58,1461.43,969.42,1310.43,843.14,1194.01,1126.42,613.10,690.81
2004,1097.92,1026.57,1181.62,993.60,1351.12,843.48,1194.51,1295.91,858.84,973.24
2005,848.19,854.73,1015.06,868.30,1009.14,651.47,980.61,962.25,622.83,659.25
2006,1024.08,974.60,1212.53,940.24,1246.75,785.81,1181.43,1197.32,794.12,821.40
2007,962.62,1010.13,1025.14,966.22,1074.96,896.94,1066.63,1111.90,720.82,771.13
2008,1009.85,932.35,1234.03,927.66,1233.53,616.62,1163.68,1161.55,789.85,864.49
2009,1033.08,993.47,1266.42,980.94,1304.12,795.40,1218.32,1204.04,700.70,821.05
2010,1037.11,1139.46,1277.28,942.12,1174.40,933.27,1158.75,1067.06,866.71,884.61
2011,957.39,835.96,1019.15,932.35,1108.37,700.96,1073.32,1197.32,690.68,822.94
2012,1087.74,1322.10,1573.09,989.67,1266.08,1076.51,1219.94,1089.50,849.23,818.42
2013,994.31,989.10,1221.56,918.17,1212.42,750.37,1161.01,1118.83,730.65,817.51
2014,1002.35,981.76,1192.53,933.17,1227.14,747.65,1150.85,1169.95,728.27,815.95
2015,903.27,798.86,951.32,869.83,1186.31,542.56,1062.54,1137.94,564.92,744.51
2016,882.04,613.93,806.73,848.38,1147.89,389.36,1135.64,1078.33,514.16,875.81
2017,1097.25,1011.09,1232.81,906.12,1299.88,835.63,1289.09,1205.32,869.12,1042.84
2018,1017.64,1004.99,1231.95,1009.81,1256.81,805.34,1158.66,1183.28,715.13,803.03
2019,996.55,969.43,1192.53,1095.28,1227.13,785.47,1149.05,1180.37,617.01,762.90
2020,1019.08,988.56,1192.02,909.92,1227.11,777.68,1151.93,1178.96,814.31,847.57
