Variable:,pr
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1901,632.77,1384.46,438.15,214.09,876.11,557.73,361.58,1424.90,1145.67,1167.48,1524.16,1415.93,1949.14,431.00,647.74,758.31,624.61,524.27,934.81,1221.81,1241.40,1159.98,1337.56,722.89,633.17,1243.90,633.30,369.64,551.49,253.03,1207.71,1288.66,322.49,1096.04,1489.17,456.51,844.88,556.68,633.49,1126.60,1385.43,1379.41,498.42,1146.84,458.89,275.55,1090.25,1272.14,962.33,1204.39,660.53,342.99
1902,694.42,1282.48,439.00,204.91,1319.22,614.28,365.83,1322.01,1281.74,1260.03,1348.54,1290.14,2648.28,444.39,1044.96,998.39,1077.06,807.85,1122.34,1183.16,1227.06,1259.25,1199.00,802.25,690.26,1250.36,1126.88,370.92,676.70,184.14,1263.12,1404.59,268.87,1089.88,1118.32,456.96,964.02,956.50,761.98,1142.37,1181.57,1170.64,450.74,1230.61,668.87,242.65,1201.56,1089.65,1159.06,1121.08,806.00,270.04
1903,661.39,1272.60,415.69,197.38,1096.21,503.50,354.56,1303.55,1200.17,1154.89,1491.60,1340.69,1953.60,434.78,879.89,930.24,860.16,735.29,1052.15,1279.59,1016.71,1177.10,1158.46,820.54,774.59,1161.10,1012.63,369.65,610.70,191.40,1058.19,1377.58,266.71,1103.90,1245.19,459.79,912.45,720.27,613.18,1142.17,1202.69,1282.49,481.59,1197.13,627.29,262.39,1006.09,1121.76,1013.58,1089.87,892.89,319.43
1904,627.57,1010.58,402.31,216.57,1041.74,701.05,377.94,1078.13,991.07,959.79,1200.25,928.87,2354.14,448.64,935.00,946.86,725.02,731.31,921.04,1103.06,1067.73,953.01,1076.11,724.90,635.31,1047.71,1034.03,273.75,554.64,270.12,1024.14,1085.36,323.37,987.93,1101.73,427.11,904.31,731.77,781.70,998.38,1088.74,1010.39,395.89,1000.08,615.44,295.09,955.35,909.98,1031.75,850.35,762.50,328.99
1905,733.08,1443.03,430.50,489.95,1498.87,529.42,456.82,958.67,1077.37,1165.11,1480.69,1258.83,1876.58,387.39,924.10,1052.92,908.91,754.31,1210.25,1885.58,927.32,1132.46,983.43,850.93,819.24,1587.79,1136.92,353.12,756.19,218.60,1030.01,1064.53,440.30,1029.31,1312.06,479.87,999.87,994.11,519.09,1057.52,950.03,1156.02,578.65,1310.41,828.12,349.08,1027.09,1122.70,899.37,1144.67,859.24,372.88
1906,734.07,1399.08,423.03,364.39,1380.14,836.31,486.37,1072.16,1288.54,1263.78,1404.35,1360.81,1890.50,539.58,941.42,1004.52,808.06,692.09,1254.16,1243.27,1113.31,1250.11,1094.95,788.23,766.07,1364.78,988.27,453.38,641.84,321.09,1071.97,1202.02,383.97,976.17,1375.96,515.01,926.06,911.08,693.98,1045.38,1088.60,1362.06,582.51,1359.54,695.52,453.15,1009.33,1214.26,1073.28,1170.70,852.91,400.83
1907,694.54,1427.36,440.30,342.12,1210.02,676.80,396.26,1135.61,1262.01,1173.84,1268.92,1225.54,2265.06,525.29,1030.62,1111.13,802.49,642.53,1244.18,1372.76,1167.16,1225.57,1126.42,765.96,582.26,1342.23,1013.32,406.49,483.85,292.76,1141.84,1285.00,372.96,976.79,1224.61,357.26,1071.38,828.73,765.86,1102.71,1131.47,1191.97,423.18,1225.40,662.51,384.78,1088.20,1143.79,936.05,1325.27,731.66,355.53
1908,677.81,1285.51,413.96,345.76,1261.94,459.32,409.99,945.31,1018.27,1025.22,1267.78,1229.48,1664.98,424.07,889.73,866.41,874.30,783.90,1062.48,1411.10,964.23,1001.58,929.08,753.56,713.00,1347.39,1062.44,438.70,640.32,235.48,892.31,1085.57,311.62,862.10,1419.42,470.90,867.43,1149.54,512.62,970.07,1001.71,1341.16,563.35,1165.57,679.98,392.20,854.80,1172.95,904.16,1069.94,747.13,399.57
1909,700.21,1480.78,406.86,315.03,1111.98,871.01,462.31,1081.65,1005.39,927.03,1310.20,1215.09,1871.78,555.31,1098.86,1182.99,982.83,745.14,1290.06,1339.16,1179.42,956.26,1070.41,823.85,715.26,1459.89,1130.87,446.62,608.81,316.07,1013.58,1046.40,293.37,933.77,1156.59,464.74,1076.44,660.09,753.67,942.86,1104.91,1133.41,503.21,1324.37,497.89,449.79,1004.14,971.25,1023.56,1095.95,783.45,377.37
1910,575.31,1176.44,415.40,229.10,1099.30,383.03,315.68,1017.01,1065.70,955.03,1293.20,1133.54,2082.41,433.07,801.23,934.89,516.89,481.21,1196.52,1228.76,926.12,986.52,934.76,650.86,393.50,1168.30,928.55,343.31,415.75,193.49,945.02,993.51,228.39,970.48,1210.85,319.29,934.59,505.79,607.49,962.61,936.22,1153.50,337.81,1141.49,437.90,288.78,1013.65,1048.57,1024.45,1034.79,525.13,254.77
