Variable:,pr
,Cyprus,Famagusta,"Girne (Kyrenia)",Larnaca,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)",Limassol
1901,266.49,284.58,250.45,272.37,260.55,282.37,282.51,285.30
1902,483.61,508.04,436.28,496.09,470.42,515.33,514.19,522.40
1903,387.52,414.28,352.95,397.25,376.64,413.31,409.75,408.60
1904,554.70,581.98,512.56,560.34,543.65,598.35,581.65,587.90
1905,488.66,512.09,443.11,504.05,475.02,524.88,517.85,523.80
1906,613.65,624.71,575.44,607.81,608.37,673.63,635.56,656.20
1907,535.11,556.61,497.30,540.13,527.77,569.66,558.38,562.90
1908,570.30,577.48,518.81,578.43,558.89,631.84,599.24,621.40
1909,506.78,520.35,479.17,501.17,505.56,538.08,522.01,529.00
1910,507.54,509.22,464.07,504.29,500.27,569.98,529.50,554.90
1911,718.72,738.07,659.84,731.36,704.84,780.84,754.79,771.60
1912,478.37,506.60,432.38,494.06,463.94,507.24,508.08,509.70
1913,560.41,572.07,513.15,565.29,551.37,608.78,586.85,601.80
1914,506.96,531.66,469.88,512.26,498.58,538.36,531.20,537.80
1915,287.83,309.12,266.80,293.86,281.27,299.82,302.82,300.70
1916,493.38,509.13,444.77,506.49,480.73,539.55,521.27,535.20
1917,467.81,482.73,426.71,475.88,457.22,507.18,492.73,503.80
1918,617.12,648.60,581.74,623.07,609.62,645.09,640.10,638.40
1919,484.46,496.97,448.09,491.54,476.60,522.61,507.70,516.90
1920,540.22,528.86,503.88,526.76,536.40,608.53,560.30,596.30
1921,566.73,584.42,515.04,568.63,553.76,634.59,596.00,622.70
1922,463.41,468.62,415.21,469.13,452.00,510.78,490.99,513.80
1923,497.27,500.02,471.43,489.50,496.01,544.48,512.96,533.00
1924,584.13,596.34,536.70,579.85,576.99,644.08,608.75,626.00
1925,321.07,327.77,290.85,326.71,314.61,353.75,338.30,348.90
1926,638.91,624.45,586.93,629.37,632.25,722.92,665.03,707.30
1927,377.05,378.96,339.13,386.26,367.95,414.28,399.70,416.90
1928,498.08,498.92,453.59,498.05,490.25,549.30,521.37,544.30
1929,532.26,505.80,483.26,530.43,524.13,618.65,560.03,601.00
1930,477.70,455.58,440.70,465.14,475.81,546.95,491.35,529.90
1931,436.12,440.97,395.57,443.58,427.03,492.12,459.27,479.90
1932,276.93,290.90,250.63,279.72,269.73,301.19,294.04,301.60
1933,270.29,280.35,249.75,273.80,266.31,296.03,281.57,287.40
1934,492.47,491.25,443.74,507.12,480.12,542.33,520.08,538.50
1935,556.25,581.02,517.16,563.16,548.27,587.50,581.65,589.30
