Variable:,tas
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
1901,8.45,8.06,8.77
1902,8.38,8.04,8.66
1903,9.07,8.67,9.40
1904,9.21,8.85,9.52
1905,8.80,8.42,9.12
1906,8.71,8.31,9.05
1907,8.67,8.30,8.98
1908,8.23,7.86,8.54
1909,8.56,8.16,8.91
1910,9.34,8.93,9.69
1911,9.37,8.99,9.69
1912,8.40,8.04,8.69
1913,8.71,8.35,9.01
1914,8.25,7.90,8.54
1915,8.81,8.40,9.16
1916,9.54,9.14,9.89
1917,8.62,8.23,8.96
1918,8.85,8.47,9.18
1919,8.42,8.02,8.77
1920,9.34,9.00,9.61
1921,9.28,8.91,9.58
1922,8.42,8.08,8.70
1923,9.60,9.20,9.94
1924,8.37,8.02,8.66
1925,8.89,8.49,9.22
1926,9.56,9.17,9.89
1927,9.60,9.22,9.92
1928,9.27,8.90,9.58
1929,8.44,8.07,8.75
1930,9.73,9.34,10.05
1931,8.54,8.15,8.87
1932,8.87,8.53,9.15
1933,8.02,7.67,8.31
1934,10.01,9.62,10.33
1935,8.91,8.53,9.24
1936,9.33,8.94,9.67
1937,9.24,8.84,9.59
1938,8.96,8.57,9.29
1939,9.12,8.73,9.45
1940,7.37,7.02,7.66
1941,7.96,7.59,8.28
1942,8.56,8.21,8.85
1943,9.61,9.25,9.91
1944,8.84,8.44,9.17
1945,9.45,9.09,9.75
1946,9.77,9.39,10.10
1947,9.57,9.20,9.89
1948,9.39,9.03,9.70
1949,9.54,9.17,9.85
1950,10.12,9.74,10.44
1951,10.18,9.81,10.48
1952,9.68,9.30,10.01
1953,9.11,8.76,9.39
1954,8.33,7.98,8.63
1955,8.87,8.50,9.18
1956,8.12,7.77,8.42
1957,9.40,9.04,9.69
1958,9.64,9.27,9.95
1959,9.06,8.71,9.35
1960,9.50,9.13,9.80
1961,9.86,9.50,10.16
1962,8.73,8.36,9.04
1963,8.88,8.53,9.17
1964,8.67,8.32,8.96
1965,8.65,8.29,8.94
1966,9.55,9.17,9.88
1967,9.26,8.91,9.56
1968,9.21,8.84,9.52
1969,8.66,8.30,8.97
1970,8.86,8.49,9.16
1971,8.98,8.60,9.29
1972,9.10,8.72,9.43
1973,8.81,8.44,9.11
1974,9.20,8.86,9.49
1975,9.34,8.99,9.62
1976,8.50,8.17,8.78
1977,9.51,9.16,9.81
1978,8.31,7.94,8.62
1979,9.39,9.03,9.69
1980,8.26,7.90,8.56
1981,9.14,8.79,9.43
1982,9.52,9.18,9.80
1983,9.48,9.13,9.77
1984,8.76,8.40,9.07
1985,8.77,8.43,9.05
1986,9.06,8.69,9.37
1987,8.85,8.48,9.16
1988,9.54,9.19,9.83
1989,9.54,9.18,9.85
1990,9.99,9.62,10.30
1991,8.82,8.48,9.11
1992,10.03,9.68,10.32
1993,9.48,9.13,9.77
1994,10.74,10.39,11.03
1995,9.45,9.09,9.75
1996,8.88,8.53,9.17
1997,9.38,9.04,9.65
1998,9.77,9.41,10.07
1999,9.90,9.54,10.20
2000,10.88,10.51,11.19
2001,9.93,9.58,10.22
2002,10.58,10.23,10.88
2003,9.98,9.64,10.25
2004,9.61,9.25,9.91
2005,9.09,8.74,9.39
2006,9.89,9.55,10.18
2007,10.80,10.44,11.10
2008,10.77,10.41,11.07
2009,10.60,10.24,10.90
2010,9.79,9.43,10.10
2011,10.40,10.07,10.66
2012,10.73,10.37,11.02
2013,10.54,10.17,10.86
2014,11.05,10.69,11.36
2015,10.96,10.61,11.25
2016,10.59,10.23,10.89
2017,10.64,10.27,10.94
2018,11.40,11.05,11.69
2019,11.42,11.05,11.73
2020,10.96,10.60,11.26
