Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govi-Altai,Govisu'mber,O'mnogovi,O'vorxangai,Orxon,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Xentii,Xo'vsgol,Xovd,Zavxan
1901,-0.81,-4.38,-6.89,-0.28,-2.42,-1.53,-0.62,3.38,1.99,0.35,-1.35,4.87,1.10,-2.34,-2.04,0.49,-2.46,-2.98,-4.20,-2.33,-6.29,-1.15,-5.55
1902,-0.73,-4.26,-6.76,-0.24,-2.27,-1.37,-0.75,3.43,2.04,0.43,-1.26,4.89,1.13,-2.19,-1.87,0.54,-2.35,-2.84,-4.09,-2.22,-6.09,-0.99,-5.38
1903,-0.98,-4.58,-7.65,-0.39,-2.54,-1.59,-0.71,3.32,1.85,0.22,-1.50,4.83,0.97,-2.42,-2.10,0.42,-2.60,-3.10,-4.77,-2.46,-6.47,-1.62,-5.85
1904,-1.02,-4.60,-6.26,-0.39,-2.78,-2.08,-1.49,3.06,1.58,0.39,-1.93,4.78,0.80,-2.77,-2.57,-0.20,-3.04,-3.58,-3.67,-3.02,-6.31,-0.81,-5.42
1905,-0.91,-4.45,-7.45,-0.36,-2.42,-1.50,-0.75,3.35,1.92,0.28,-1.41,4.84,1.02,-2.32,-2.01,0.44,-2.49,-3.00,-4.63,-2.36,-6.32,-1.47,-5.72
1906,-0.93,-4.49,-7.35,-0.32,-2.50,-1.60,-0.89,3.41,1.99,0.25,-1.37,4.90,1.07,-2.41,-2.11,0.37,-2.53,-3.04,-4.58,-2.43,-6.43,-1.48,-5.75
1907,-0.96,-4.56,-7.55,-0.36,-2.55,-1.60,-0.71,3.39,1.95,0.22,-1.38,4.87,1.05,-2.46,-2.11,0.49,-2.51,-3.01,-4.79,-2.35,-6.61,-1.56,-5.88
1908,-0.83,-4.45,-7.04,-0.34,-2.39,-1.44,-0.78,3.36,1.93,0.35,-1.39,4.84,1.04,-2.28,-1.95,0.41,-2.46,-2.96,-4.11,-2.32,-6.25,-1.10,-5.58
1909,-1.25,-4.94,-7.44,-0.56,-3.00,-2.14,-1.43,3.15,1.62,0.14,-1.84,4.77,0.73,-2.93,-2.65,-0.09,-3.01,-3.54,-4.87,-2.91,-6.94,-1.58,-6.09
1910,-1.36,-5.11,-7.78,-0.65,-3.16,-2.21,-1.27,2.85,1.53,0.09,-1.89,4.67,0.61,-3.05,-2.72,-0.02,-3.09,-3.61,-5.24,-2.85,-7.15,-1.75,-6.27
1911,-0.64,-3.91,-6.97,-0.09,-1.84,-0.96,-0.64,3.13,2.21,0.44,-1.11,4.86,1.43,-1.74,-1.47,0.43,-1.99,-2.47,-4.09,-1.99,-5.77,-1.12,-5.26
1912,-1.45,-5.16,-8.13,-0.59,-3.33,-2.50,-1.63,3.05,1.49,0.10,-2.09,4.76,0.64,-3.28,-3.00,-0.24,-3.29,-3.84,-5.38,-3.22,-7.30,-1.85,-6.28
1913,-0.75,-4.23,-6.84,-0.24,-2.19,-1.30,-0.80,3.43,2.09,0.36,-1.26,4.90,1.20,-2.11,-1.80,0.41,-2.29,-2.80,-4.05,-2.23,-6.08,-1.15,-5.46
1914,-0.32,-3.62,-6.42,0.06,-1.54,-0.63,-0.11,3.63,2.49,0.55,-0.75,5.02,1.63,-1.43,-1.14,0.95,-1.68,-2.15,-3.54,-1.63,-5.42,-0.80,-4.95
1915,-1.16,-4.79,-6.65,-0.49,-2.93,-2.15,-1.72,2.97,1.60,0.31,-1.88,4.74,0.75,-2.87,-2.64,-0.32,-3.01,-3.55,-4.16,-2.96,-6.73,-1.01,-5.73
1916,-1.22,-4.91,-7.63,-0.46,-3.02,-2.10,-1.11,3.05,1.73,0.15,-1.71,4.71,0.79,-2.95,-2.61,0.13,-2.94,-3.47,-5.05,-2.73,-7.00,-1.68,-6.13
1917,-0.89,-4.38,-7.11,-0.30,-2.31,-1.39,-0.93,3.19,2.04,0.28,-1.33,4.79,1.16,-2.20,-1.90,0.28,-2.36,-2.86,-4.47,-2.33,-6.32,-1.33,-5.69
1918,-0.60,-3.88,-7.15,-0.15,-1.66,-0.69,-0.35,3.26,2.28,0.37,-0.96,4.75,1.43,-1.52,-1.21,0.65,-1.79,-2.26,-4.22,-1.78,-5.71,-1.29,-5.38
1919,-0.87,-4.43,-7.31,-0.30,-2.44,-1.54,-0.71,3.35,2.00,0.33,-1.34,4.85,1.07,-2.36,-2.03,0.51,-2.48,-2.98,-4.50,-2.30,-6.35,-1.35,-5.62
1920,-0.71,-4.20,-7.07,-0.17,-2.31,-1.48,-0.59,3.50,2.11,0.44,-1.24,4.96,1.20,-2.28,-1.98,0.66,-2.42,-2.93,-4.17,-2.23,-6.04,-1.11,-5.31
1921,-0.40,-3.61,-6.42,0.08,-1.60,-0.84,-0.45,3.48,2.36,0.59,-0.97,4.94,1.58,-1.54,-1.35,0.68,-1.90,-2.42,-3.39,-1.95,-5.35,-0.78,-4.84
1922,-1.12,-4.83,-6.95,-0.47,-2.98,-2.26,-1.48,3.27,1.79,0.25,-1.73,4.90,0.79,-2.94,-2.75,0.09,-3.09,-3.67,-4.32,-2.98,-6.73,-1.30,-5.78
1923,-0.89,-4.49,-6.29,-0.32,-2.63,-1.89,-1.25,3.27,1.87,0.42,-1.61,4.90,0.94,-2.60,-2.38,0.12,-2.82,-3.37,-3.74,-2.72,-6.29,-0.82,-5.40
1924,-0.58,-3.92,-6.67,-0.12,-1.84,-1.02,-0.86,3.54,2.25,0.47,-1.11,5.02,1.34,-1.75,-1.51,0.47,-2.11,-2.62,-3.79,-2.13,-5.64,-0.96,-5.16
1925,-0.31,-3.68,-6.45,0.01,-1.52,-0.51,0.12,3.64,2.45,0.51,-0.73,4.98,1.56,-1.38,-1.03,1.08,-1.64,-2.09,-3.57,-1.50,-5.45,-0.86,-5.01
1926,-0.22,-3.45,-6.64,0.11,-1.25,-0.32,0.11,3.75,2.62,0.51,-0.59,5.06,1.78,-1.13,-0.83,1.11,-1.44,-1.91,-3.63,-1.40,-5.24,-0.96,-4.95
1927,-0.68,-4.08,-7.19,-0.17,-2.01,-1.15,-0.53,3.49,2.23,0.34,-1.09,4.92,1.31,-1.92,-1.65,0.67,-2.14,-2.64,-4.23,-2.07,-5.96,-1.35,-5.40
1928,-1.03,-4.45,-7.31,-0.29,-2.56,-1.77,-1.27,3.05,1.73,0.27,-1.81,4.84,1.00,-2.53,-2.28,-0.07,-2.78,-3.32,-4.31,-2.82,-6.29,-1.50,-5.53
1929,-1.22,-4.90,-7.80,-0.50,-2.95,-2.03,-1.01,3.04,1.63,0.10,-1.84,4.75,0.81,-2.85,-2.54,0.15,-2.93,-3.45,-4.94,-2.79,-6.99,-1.87,-6.03
1930,-1.02,-4.67,-7.51,-0.42,-2.70,-1.77,-0.75,3.28,1.80,0.17,-1.59,4.83,0.86,-2.61,-2.28,0.43,-2.76,-3.29,-4.51,-2.57,-6.56,-1.71,-5.75
1931,-1.23,-4.94,-7.81,-0.60,-2.92,-1.94,-1.11,3.13,1.70,0.10,-1.75,4.77,0.71,-2.79,-2.46,0.09,-2.91,-3.42,-4.95,-2.75,-6.91,-1.85,-6.09
1932,0.09,-3.13,-5.96,0.28,-0.87,0.10,0.51,3.86,2.84,0.71,-0.33,5.24,2.01,-0.73,-0.40,1.32,-1.10,-1.55,-2.93,-1.09,-4.75,-0.50,-4.59
1933,-1.30,-5.21,-7.83,-0.60,-3.20,-2.14,-0.94,2.95,1.47,0.14,-1.91,4.75,0.56,-3.06,-2.65,0.17,-3.10,-3.59,-5.01,-2.80,-7.23,-1.80,-6.16
1934,-1.10,-4.68,-7.95,-0.57,-2.58,-1.48,-0.44,3.04,1.68,-0.11,-1.55,4.59,0.80,-2.40,-2.01,0.45,-2.57,-3.03,-4.81,-2.31,-6.50,-2.12,-5.91
1935,-0.90,-4.49,-7.59,-0.29,-2.53,-1.57,-0.45,3.37,1.97,0.24,-1.34,4.84,1.12,-2.42,-2.06,0.68,-2.50,-3.01,-4.67,-2.26,-6.52,-1.63,-5.76
1936,-1.43,-4.96,-7.68,-0.60,-3.33,-2.50,-1.70,2.90,1.49,-0.00,-2.24,4.49,0.68,-3.28,-3.00,-0.38,-3.40,-3.98,-4.73,-3.35,-7.00,-1.80,-5.91
1937,-1.54,-4.98,-8.38,-0.78,-3.06,-2.20,-1.51,2.92,1.37,-0.40,-2.18,4.62,0.58,-2.99,-2.72,-0.33,-3.18,-3.68,-5.37,-3.19,-7.09,-2.43,-6.46
1938,-0.66,-4.11,-7.66,-0.29,-1.89,-0.80,-0.11,3.74,2.36,-0.07,-0.84,5.16,1.42,-1.82,-1.37,1.00,-1.93,-2.40,-4.65,-1.68,-6.01,-1.83,-5.81
1939,-0.21,-3.58,-7.03,0.20,-1.26,-0.32,0.24,3.89,2.66,0.46,-0.61,5.42,1.87,-1.14,-0.82,1.21,-1.56,-2.07,-3.89,-1.35,-5.29,-1.22,-5.17
1940,-0.56,-3.97,-6.79,0.17,-2.06,-1.36,-0.74,3.55,2.28,0.68,-1.20,5.31,1.57,-2.07,-1.87,0.44,-2.19,-2.73,-3.94,-2.33,-5.96,-0.97,-5.29
1941,-0.39,-3.62,-6.50,0.48,-1.81,-1.25,-0.92,3.50,2.32,1.07,-1.19,5.44,1.73,-1.78,-1.67,0.38,-2.09,-2.67,-3.69,-2.30,-5.61,-0.58,-4.87
1942,-0.56,-3.93,-6.99,-0.01,-1.97,-1.13,-0.58,3.69,2.40,0.42,-0.96,5.18,1.47,-1.90,-1.65,0.73,-1.96,-2.45,-4.10,-1.97,-5.92,-1.28,-5.34
1943,-0.60,-4.09,-7.39,-0.42,-1.93,-0.93,0.21,3.73,2.28,-0.03,-0.86,4.91,1.19,-1.84,-1.44,1.29,-1.91,-2.39,-4.26,-1.53,-5.84,-1.62,-5.66
1944,-1.37,-4.89,-8.01,-1.23,-2.58,-1.61,-0.31,2.94,1.39,-0.89,-1.64,4.05,0.36,-2.47,-2.08,0.60,-2.67,-3.09,-5.03,-2.19,-6.60,-2.44,-6.55
1945,-0.94,-4.41,-7.51,-0.40,-2.41,-1.53,-0.59,3.36,1.89,-0.07,-1.37,4.83,1.00,-2.35,-2.02,0.62,-2.45,-2.91,-4.53,-2.24,-6.31,-1.68,-5.98
1946,-0.34,-3.71,-6.99,0.28,-1.79,-1.02,-0.30,3.90,2.63,0.61,-0.73,5.49,1.78,-1.74,-1.49,1.01,-1.78,-2.28,-3.92,-1.74,-5.78,-1.22,-5.16
1947,-2.10,-5.52,-8.03,-1.35,-3.59,-2.85,-2.02,1.82,0.47,-0.80,-2.88,3.71,-0.15,-3.56,-3.33,-1.06,-3.84,-4.31,-5.42,-3.85,-7.44,-2.46,-6.83
1948,-0.24,-3.71,-6.72,0.08,-1.61,-0.46,0.57,4.03,2.58,0.32,-0.52,5.28,1.65,-1.51,-0.99,1.45,-1.54,-1.99,-3.90,-1.21,-5.57,-1.15,-5.38
1949,-0.69,-4.26,-7.34,-0.36,-2.20,-1.12,0.24,3.56,2.06,0.03,-1.08,4.76,1.13,-2.12,-1.63,1.15,-2.18,-2.64,-4.20,-1.70,-6.04,-1.59,-5.64
1950,-0.81,-4.21,-8.02,-0.35,-2.05,-0.93,-0.07,3.54,2.07,-0.31,-1.12,4.84,1.25,-1.99,-1.49,1.02,-2.07,-2.56,-4.76,-1.80,-6.00,-2.08,-6.02
1951,-0.72,-4.17,-6.99,-0.17,-2.26,-1.43,-0.32,3.41,2.10,0.20,-1.21,4.90,1.25,-2.24,-1.94,0.67,-2.27,-2.74,-4.10,-2.17,-6.11,-1.34,-5.52
1952,-1.29,-4.60,-8.05,-0.66,-2.53,-1.71,-1.21,2.71,1.48,-0.15,-1.84,4.33,0.74,-2.48,-2.19,-0.13,-2.76,-3.26,-4.83,-2.71,-6.50,-2.03,-5.91
1953,-0.66,-4.11,-6.58,-0.08,-2.02,-1.10,-0.62,3.23,1.92,0.50,-1.39,4.90,1.19,-1.92,-1.63,0.41,-2.28,-2.77,-3.75,-2.25,-5.80,-0.97,-5.35
1954,-1.54,-4.71,-8.47,-0.91,-2.62,-1.84,-1.67,2.61,1.31,-0.56,-2.06,4.17,0.61,-2.54,-2.30,-0.46,-2.93,-3.45,-5.17,-3.03,-6.58,-2.44,-6.19
1955,-0.70,-4.13,-6.89,-0.17,-2.13,-1.06,-0.56,3.40,2.00,0.30,-1.22,4.82,1.23,-2.03,-1.61,0.50,-2.15,-2.64,-4.00,-2.09,-5.97,-1.20,-5.42
1956,-1.79,-5.39,-7.98,-1.25,-3.28,-2.19,-1.97,2.39,1.02,-0.57,-2.29,3.89,0.11,-3.25,-2.75,-0.62,-3.27,-3.74,-5.20,-3.19,-7.19,-2.11,-6.54
1957,-1.50,-4.95,-7.07,-0.72,-3.14,-2.18,-1.81,2.18,1.15,0.04,-2.45,4.04,0.46,-3.12,-2.74,-0.91,-3.24,-3.73,-4.32,-3.35,-6.75,-1.28,-5.86
1958,-0.14,-3.46,-7.05,0.36,-1.47,-0.41,0.11,4.07,2.81,0.75,-0.41,5.34,1.87,-1.38,-0.95,1.22,-1.42,-1.83,-3.79,-1.31,-5.30,-1.05,-4.84
