Variable:,tas
,"San Marino","Administrative unit not available"
1901,8.78,8.83
1902,9.15,9.19
1903,9.22,9.27
1904,9.75,9.79
1905,9.03,9.08
1906,9.07,9.11
1907,9.06,9.11
1908,8.86,8.90
1909,8.64,8.69
1910,9.08,9.13
1911,9.69,9.74
1912,8.94,8.99
1913,9.22,9.27
1914,9.11,9.15
1915,8.99,9.04
1916,9.62,9.66
1917,9.01,9.06
1918,9.13,9.18
1919,8.91,8.95
1920,10.20,10.25
1921,9.92,9.97
1922,9.16,9.20
1923,9.72,9.77
1924,9.44,9.48
1925,9.26,9.31
1926,9.92,9.97
1927,10.04,10.09
1928,9.91,9.95
1929,9.26,9.30
1930,9.91,9.96
1931,9.14,9.18
1932,9.41,9.46
1933,8.75,8.79
1934,10.13,10.18
1935,9.36,9.40
1936,9.70,9.75
1937,9.65,9.69
1938,9.48,9.52
1939,9.44,9.48
1940,8.37,8.41
1941,8.79,8.83
1942,9.61,9.65
1943,10.31,10.35
1944,9.11,9.15
1945,9.96,10.00
1946,9.83,9.88
1947,10.11,10.15
1948,9.93,9.97
1949,10.05,10.09
1950,10.34,10.39
1951,10.07,10.11
1952,9.73,9.77
1953,9.77,9.81
1954,9.09,9.13
1955,9.52,9.56
1956,8.75,8.79
1957,9.81,9.86
1958,9.96,10.00
1959,9.96,10.00
1960,9.71,9.75
1961,10.30,10.34
1962,9.26,9.31
1963,9.31,9.36
1964,9.60,9.65
1965,9.03,9.07
1966,9.78,9.83
1967,9.69,9.73
1968,9.50,9.54
1969,9.40,9.44
1970,9.48,9.52
1971,9.46,9.51
1972,9.55,9.59
1973,9.46,9.51
1974,9.63,9.67
1975,9.65,9.69
1976,9.31,9.35
1977,9.71,9.75
1978,8.98,9.02
1979,9.77,9.82
1980,9.01,9.05
1981,9.38,9.42
1982,10.24,10.28
1983,9.68,9.72
1984,9.20,9.24
1985,9.65,9.69
1986,9.68,9.72
1987,9.76,9.80
1988,10.12,10.16
1989,9.68,9.72
1990,10.28,10.32
1991,9.50,9.54
1992,10.35,10.40
1993,10.00,10.04
1994,10.86,10.91
1995,9.83,9.87
1996,9.58,9.62
1997,10.57,10.61
1998,10.30,10.35
1999,10.31,10.36
2000,10.78,10.83
2001,10.50,10.54
2002,10.88,10.93
2003,10.89,10.93
2004,10.36,10.40
2005,9.85,9.89
2006,10.62,10.66
2007,11.01,11.05
2008,10.79,10.84
2009,10.85,10.90
2010,10.06,10.11
2011,11.15,11.19
2012,10.93,10.98
2013,10.67,10.72
2014,11.41,11.46
2015,11.25,11.29
2016,11.11,11.15
2017,10.93,10.97
2018,11.64,11.68
2019,11.45,11.49
2020,11.33,11.37
