Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1901,21.63,11.12,NaN,17.62,25.00,16.64,23.13,19.16,9.77,14.03,22.04
1902,21.63,11.07,NaN,17.61,25.25,16.58,23.23,19.17,9.64,13.96,21.83
1903,21.27,10.62,NaN,17.09,24.78,16.20,22.84,18.58,9.64,13.58,21.72
1904,21.18,10.51,NaN,16.96,24.33,16.03,22.68,18.57,9.65,13.60,21.82
1905,21.28,10.25,NaN,16.75,24.99,15.83,22.72,18.49,9.51,13.30,21.87
1906,21.96,10.68,NaN,17.29,25.89,16.22,23.10,19.43,9.85,13.90,22.60
1907,21.29,10.66,NaN,17.10,24.64,16.17,22.42,18.78,9.74,13.68,22.04
1908,20.92,10.58,NaN,16.95,24.16,16.06,22.07,18.68,10.05,14.02,21.44
1909,21.07,10.07,NaN,16.43,24.86,15.71,22.34,18.42,9.49,13.05,21.70
1910,21.49,10.69,NaN,17.10,25.01,16.23,22.59,18.99,10.25,13.88,22.20
1911,21.28,10.40,NaN,16.80,24.71,15.98,22.25,18.91,9.92,13.56,22.11
1912,21.78,10.94,NaN,17.43,25.08,16.53,23.07,19.14,10.10,13.73,22.59
1913,21.20,10.81,NaN,17.17,24.41,16.55,22.15,18.79,9.84,13.63,22.02
1914,22.09,11.89,NaN,18.35,25.21,17.44,23.02,19.92,10.28,14.71,22.79
1915,22.07,11.18,NaN,17.69,25.76,16.83,23.70,19.37,9.90,13.71,22.51
1916,21.44,10.59,NaN,16.95,25.00,16.17,22.79,18.73,9.62,13.39,22.14
1917,20.75,10.20,NaN,16.49,24.20,15.77,21.79,18.44,9.75,13.38,21.39
1918,21.25,10.45,NaN,16.88,24.42,16.03,21.93,19.02,10.13,13.73,22.32
1919,21.74,11.53,NaN,18.06,24.67,17.12,22.84,19.48,10.25,14.32,22.44
1920,21.29,10.56,NaN,16.80,24.62,16.04,22.49,18.71,9.94,13.67,22.10
1921,21.61,11.03,NaN,17.44,24.54,16.69,22.62,19.38,10.57,14.33,22.51
1922,21.38,11.05,NaN,17.37,24.57,16.71,22.55,18.95,10.06,13.79,22.07
1923,21.50,10.97,NaN,17.46,24.63,16.63,22.65,19.13,9.71,13.68,22.27
1924,21.07,10.15,NaN,16.32,24.51,15.93,22.34,18.10,9.43,12.76,22.07
1925,21.04,10.37,NaN,16.63,24.33,16.03,22.16,18.67,9.56,13.35,21.83
1926,21.77,10.92,NaN,17.26,25.28,16.65,23.40,18.87,10.17,13.81,22.35
1927,21.41,10.39,NaN,16.72,24.97,16.04,22.56,18.79,9.65,13.49,22.24
1928,21.83,11.14,NaN,17.38,25.59,16.91,23.09,19.24,10.38,13.81,22.41
1929,21.04,10.43,NaN,16.74,24.48,16.18,22.37,18.35,9.54,13.07,21.71
1930,21.63,11.04,NaN,17.33,24.86,16.69,22.36,19.54,10.25,14.09,22.57
1931,21.28,10.56,NaN,16.68,25.08,16.33,23.13,18.39,9.61,13.16,21.61
1932,21.49,10.78,NaN,17.05,24.92,16.55,22.89,18.63,9.96,13.37,22.26
1933,21.35,10.63,NaN,17.00,24.71,16.24,22.67,18.61,9.74,13.44,22.12
1934,21.46,10.81,NaN,16.96,25.01,16.36,22.61,19.27,10.48,14.01,22.02
1935,21.37,10.44,NaN,16.85,25.06,15.99,23.00,18.73,9.91,13.45,21.76
1936,21.63,10.38,NaN,16.93,25.06,16.21,22.85,18.80,9.88,13.47,22.59
1937,21.50,10.80,NaN,17.22,24.79,16.43,22.77,18.98,9.95,13.75,22.23
1938,22.01,11.40,NaN,17.90,25.21,16.98,23.47,19.24,10.03,14.14,22.71
1939,21.35,11.15,NaN,17.34,24.41,16.81,22.51,19.06,10.09,13.84,22.06
1940,21.61,11.29,NaN,17.72,24.56,17.12,22.91,18.93,9.80,13.77,22.43
1941,21.23,10.63,NaN,16.90,24.25,16.44,22.22,18.74,9.72,13.54,22.28
1942,21.80,11.29,NaN,17.53,25.61,16.93,23.66,19.27,10.02,14.08,21.85
1943,21.14,10.10,NaN,16.59,24.62,15.70,22.80,18.41,9.36,13.05,21.70
1944,21.42,10.85,NaN,17.20,24.43,16.50,22.71,18.83,9.53,13.34,22.33
1945,21.46,10.75,NaN,17.18,24.52,16.43,23.07,18.65,9.53,13.33,22.23
1946,21.15,10.78,NaN,17.09,24.25,16.67,22.70,18.43,9.24,13.00,21.82
1947,21.42,10.89,NaN,16.99,24.78,16.53,22.84,19.01,10.20,13.75,22.00
1948,21.29,10.19,NaN,16.72,24.51,15.82,22.89,18.56,9.57,13.11,22.04
1949,20.89,10.26,NaN,16.55,23.85,15.94,22.21,18.04,9.31,12.82,21.91
1950,21.14,10.90,NaN,17.14,23.95,16.55,22.15,18.77,10.05,13.78,22.10
1951,21.31,10.67,NaN,17.01,24.53,16.31,22.35,19.25,10.07,13.81,22.03
1952,21.28,10.62,NaN,16.90,24.82,16.26,23.10,18.28,9.72,13.15,21.75
1953,21.28,10.46,NaN,17.00,24.42,16.24,22.49,18.86,9.80,13.50,22.08
1954,21.33,10.74,NaN,17.02,24.55,16.44,22.42,18.69,10.08,13.62,22.26
1955,21.33,10.70,NaN,17.00,25.00,16.34,22.64,18.88,9.88,13.57,21.80
1956,20.80,9.97,NaN,16.16,24.09,15.75,21.83,18.25,10.08,13.24,21.76
1957,21.71,10.71,NaN,17.35,24.94,16.38,22.86,19.18,9.79,13.48,22.63
1958,21.82,10.78,NaN,17.34,25.45,16.54,23.40,18.75,9.72,13.46,22.50
1959,21.95,11.02,NaN,17.44,25.31,16.48,22.83,19.44,10.43,14.23,22.96
