Variable:,tas
,Lebanon,Beirut,Bekaa,"Mount Lebanon",Nabatiye,North,South
1901,14.82,15.77,12.82,15.84,17.29,15.48,17.73
1902,14.35,15.30,12.34,15.37,16.80,15.00,17.25
1903,13.27,14.20,11.25,14.28,15.70,13.97,16.15
1904,13.87,14.83,11.85,14.90,16.35,14.52,16.81
1905,14.08,15.06,12.05,15.12,16.59,14.72,17.04
1906,14.29,15.27,12.27,15.32,16.82,14.92,17.27
1907,13.69,14.64,11.67,14.71,16.18,14.33,16.63
1908,13.80,14.77,11.78,14.83,16.33,14.43,16.77
1909,14.99,15.97,12.97,16.02,17.52,15.62,17.96
1910,14.00,14.93,12.00,15.01,16.44,14.69,16.89
1911,13.73,14.72,11.69,14.77,16.29,14.32,16.74
1912,14.18,15.12,12.18,15.20,16.61,14.85,17.06
1913,14.10,15.10,12.07,15.14,16.66,14.70,17.10
1914,14.55,15.53,12.52,15.58,17.08,15.16,17.52
1915,15.18,16.17,13.15,16.21,17.74,15.76,18.18
1916,15.48,16.47,13.46,16.52,18.01,16.09,18.45
1917,14.98,15.94,12.98,16.01,17.45,15.62,17.90
1918,14.88,15.85,12.87,15.90,17.37,15.50,17.81
1919,15.15,16.11,13.13,16.18,17.66,15.78,18.10
1920,14.49,15.48,12.45,15.52,17.08,15.05,17.52
1921,14.10,15.07,12.07,15.12,16.64,14.71,17.08
1922,15.06,16.02,13.05,16.08,17.55,15.69,18.00
1923,15.22,16.20,13.20,16.26,17.72,15.84,18.18
1924,15.01,15.96,13.00,16.01,17.53,15.61,17.97
1925,15.12,16.12,13.10,16.16,17.66,15.72,18.10
1926,15.12,16.12,13.10,16.17,17.61,15.75,18.07
1927,15.36,16.37,13.33,16.41,17.92,15.96,18.37
1928,15.27,16.31,13.23,16.33,17.91,15.80,18.36
1929,14.79,15.78,12.76,15.83,17.31,15.39,17.76
1930,15.52,16.47,13.51,16.52,18.02,16.14,18.45
1931,15.09,16.10,13.05,16.14,17.63,15.68,18.09
1932,15.09,16.09,13.07,16.14,17.62,15.69,18.06
1933,14.21,15.22,12.18,15.26,16.76,14.80,17.22
1934,14.99,16.02,12.95,16.07,17.55,15.58,18.01
1935,15.50,16.47,13.48,16.53,18.01,16.10,18.46
1936,15.22,16.24,13.18,16.29,17.75,15.81,18.21
1937,15.58,16.58,13.56,16.64,18.08,16.21,18.54
1938,14.83,15.82,12.80,15.88,17.32,15.45,17.78
1939,15.48,16.49,13.45,16.53,18.02,16.08,18.48
1940,15.27,16.21,13.27,16.27,17.77,15.90,18.20
1941,15.22,16.21,13.19,16.26,17.77,15.81,18.22
1942,15.09,16.07,13.05,16.12,17.64,15.69,18.09
1943,14.68,15.66,12.66,15.71,17.22,15.28,17.67
1944,15.01,15.98,12.99,16.04,17.52,15.64,17.96
1945,14.58,15.57,12.56,15.62,17.08,15.20,17.54
1946,15.22,16.23,13.20,16.27,17.74,15.83,18.20
1947,15.81,16.79,13.80,16.85,18.28,16.43,18.74
1948,14.35,15.33,12.32,15.39,16.87,14.97,17.33
1949,14.19,15.17,12.16,15.22,16.76,14.80,17.20
1950,14.55,15.57,12.51,15.62,17.07,15.16,17.53
1951,15.60,16.68,13.56,16.66,18.22,16.09,18.66
1952,15.64,16.59,13.63,16.67,18.15,16.24,18.59
1953,14.68,15.66,12.67,15.72,17.27,15.23,17.71
1954,15.55,16.52,13.54,16.59,18.02,16.16,18.48
1955,16.03,16.97,14.01,17.06,18.55,16.65,18.99
1956,14.75,15.76,12.71,15.81,17.35,15.30,17.79
1957,15.06,16.11,13.03,16.12,17.63,15.64,18.09
1958,15.42,16.48,13.36,16.47,18.14,15.90,18.56
1959,14.45,15.45,12.41,15.47,17.06,15.02,17.53
1960,16.00,16.94,13.97,16.97,18.69,16.55,19.12
1961,14.87,15.88,12.85,15.91,17.38,15.49,17.83
1962,16.03,17.00,14.00,17.06,18.59,16.66,19.03
1963,15.57,16.56,13.54,16.60,18.20,16.14,18.63
1964,14.57,15.56,12.55,15.62,17.11,15.17,17.57
1965,15.06,16.07,13.03,16.10,17.69,15.60,18.13
1966,16.00,16.94,14.01,17.03,18.39,16.69,18.85
1967,14.16,15.14,12.11,15.19,16.78,14.73,17.21
1968,15.31,16.29,13.31,16.37,17.67,16.00,18.15
1969,15.48,16.47,13.49,16.55,17.84,16.13,18.32
1970,15.43,16.40,13.46,16.49,17.66,16.16,18.16
1971,14.81,15.78,12.81,15.85,17.22,15.50,17.69
1972,14.37,15.37,12.32,15.41,17.03,14.90,17.46
1973,14.99,16.00,12.99,16.06,17.33,15.65,17.83
1974,14.91,15.90,12.90,15.96,17.26,15.61,17.75
1975,14.62,15.60,12.58,15.64,17.21,15.24,17.65
1976,14.39,15.42,12.32,15.42,17.11,14.91,17.53
1977,14.77,15.73,12.74,15.79,17.39,15.36,17.81
1978,15.18,16.15,13.18,16.22,17.63,15.82,18.09
1979,15.51,16.46,13.47,16.51,18.12,16.09,18.54
1980,14.72,15.71,12.65,15.74,17.48,15.22,17.89
1981,15.17,16.17,13.17,16.24,17.57,15.82,18.04
1982,14.22,15.26,12.17,15.29,16.84,14.76,17.28
1983,14.34,15.35,12.34,15.42,16.66,15.01,17.15
1984,14.72,15.71,12.69,15.78,17.26,15.28,17.71
1985,15.24,16.28,13.20,16.29,17.84,15.78,18.28
1986,15.16,16.11,13.16,16.17,17.63,15.81,18.07
1987,14.99,15.99,12.98,16.04,17.48,15.60,17.93
1988,14.90,15.90,12.85,15.94,17.56,15.45,17.98
1989,15.11,16.11,13.10,16.15,17.59,15.70,18.05
1990,15.21,16.19,13.18,16.24,17.81,15.80,18.24
1991,15.19,16.23,13.16,16.23,17.78,15.73,18.23
1992,14.05,15.10,11.98,15.11,16.74,14.57,17.18
1993,15.09,16.15,13.04,16.16,17.70,15.62,18.18
1994,15.93,16.96,13.91,16.98,18.40,16.56,18.88
1995,15.35,16.40,13.35,16.43,17.78,15.93,18.25
1996,15.72,16.73,13.68,16.73,18.42,16.24,18.84
1997,14.83,15.89,12.75,15.88,17.69,15.27,18.09
1998,16.33,17.34,14.29,17.37,18.95,16.88,19.41
1999,16.29,17.28,14.27,17.33,18.85,16.86,19.29
2000,15.61,16.59,13.60,16.65,18.11,16.22,18.56
2001,16.47,17.43,14.47,17.51,18.93,17.11,19.38
2002,16.04,17.02,14.02,17.07,18.58,16.61,19.03
2003,16.07,17.08,14.05,17.13,18.59,16.65,19.05
2004,15.91,16.93,13.89,16.97,18.46,16.47,18.92
2005,15.78,16.82,13.75,16.86,18.34,16.33,18.80
2006,15.69,16.70,13.67,16.76,18.19,16.28,18.64
2007,16.04,17.07,14.00,17.11,18.61,16.59,19.06
2008,16.20,17.22,14.16,17.28,18.76,16.76,19.21
2009,16.23,17.28,14.18,17.32,18.83,16.75,19.28
2010,17.62,18.66,15.58,18.69,20.22,18.14,20.66
2011,15.61,16.64,13.55,16.68,18.22,16.17,18.67
2012,16.43,17.44,14.38,17.49,19.04,17.00,19.48
2013,16.31,17.33,14.28,17.36,18.85,16.87,19.31
2014,16.45,17.45,14.44,17.50,18.96,17.06,19.41
2015,16.09,17.06,14.07,17.11,18.69,16.64,19.12
2016,16.55,17.53,14.52,17.58,19.16,17.12,19.60
2017,16.24,17.19,14.21,17.24,18.88,16.80,19.30
2018,17.03,18.05,14.99,18.10,19.55,17.63,20.01
2019,16.42,17.44,14.37,17.49,18.97,17.00,19.43
2020,16.57,17.60,14.54,17.66,19.02,17.21,19.49
