Variable:,tas
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1901,7.60,8.19,9.35,10.36,10.30,9.58,8.80,5.06,3.88,7.57,4.28,6.50,10.91
1902,6.51,6.91,8.16,9.17,9.15,8.69,7.81,4.07,2.74,6.36,3.21,5.44,9.92
1903,6.81,7.41,8.53,9.55,9.47,8.84,8.02,4.30,3.10,6.77,3.47,5.69,10.13
1904,6.31,6.86,8.03,9.05,8.96,8.34,7.59,3.81,2.56,6.25,3.01,5.19,9.73
1905,6.80,7.46,8.57,9.59,9.48,8.73,8.03,4.23,3.09,6.82,3.50,5.67,10.13
1906,7.11,7.70,8.82,9.83,9.79,9.11,8.33,4.60,3.40,7.09,3.77,6.00,10.45
1907,6.04,6.49,7.76,8.77,8.72,8.07,7.32,3.53,2.32,5.98,2.77,4.95,9.43
1908,6.02,6.62,7.76,8.78,8.74,7.88,7.26,3.45,2.36,6.03,2.73,4.95,9.39
1909,7.19,7.91,8.94,9.96,9.89,9.06,8.37,4.63,3.52,7.24,3.84,6.08,10.48
1910,7.10,7.79,8.77,9.80,9.77,9.06,8.32,4.58,3.40,7.10,3.74,5.97,10.46
1911,5.25,5.91,6.99,8.00,7.94,7.12,6.49,2.72,1.56,5.26,1.91,4.15,8.62
1912,6.84,7.14,8.53,9.54,9.49,8.99,8.19,4.36,3.10,6.76,3.52,5.74,10.29
1913,6.50,7.08,8.14,9.16,9.11,8.62,7.73,4.02,2.76,6.44,3.09,5.36,9.84
1914,7.03,7.42,8.67,9.69,9.66,9.17,8.34,4.57,3.31,6.93,3.66,5.92,10.48
1915,7.42,7.90,9.11,10.13,10.07,9.50,8.70,4.92,3.70,7.38,4.07,6.31,10.80
1916,7.18,7.64,8.91,9.93,9.86,9.20,8.49,4.66,3.44,7.11,3.93,6.10,10.58
1917,7.38,7.66,8.97,9.99,9.97,9.65,8.75,4.98,3.60,7.23,4.04,6.27,10.88
1918,7.13,7.78,8.95,9.95,9.84,9.03,8.30,4.58,3.44,7.16,3.81,5.97,10.43
1919,7.18,7.74,8.92,9.91,9.82,9.23,8.42,4.67,3.43,7.12,3.84,6.05,10.53
1920,5.71,6.27,7.48,8.48,8.38,7.76,6.93,3.20,1.98,5.67,2.37,4.57,9.05
1921,6.07,6.56,7.68,8.69,8.64,8.27,7.38,3.64,2.28,5.93,2.70,4.95,9.52
1922,7.39,7.85,9.05,10.07,10.02,9.47,8.67,4.92,3.65,7.29,4.08,6.29,10.79
1923,7.60,8.21,9.30,10.32,10.27,9.57,8.79,5.08,3.92,7.58,4.24,6.50,10.88
1924,7.09,7.54,8.79,9.80,9.75,9.14,8.42,4.61,3.34,7.01,3.80,5.99,10.55
1925,7.27,7.77,8.91,9.93,9.90,9.43,8.52,4.82,3.53,7.18,3.91,6.15,10.66
1926,6.91,7.39,8.60,9.62,9.57,8.94,8.20,4.45,3.19,6.86,3.57,5.80,10.34
1927,6.84,7.31,8.53,9.55,9.50,8.91,8.15,4.35,3.12,6.78,3.52,5.73,10.23
1928,5.84,6.47,7.63,8.65,8.58,7.71,7.05,3.23,2.17,5.88,2.54,4.71,9.17
1929,6.21,6.79,8.11,9.08,8.92,8.16,7.43,3.60,2.51,6.23,2.91,5.05,9.47
1930,7.50,8.08,9.43,10.44,10.30,9.33,8.66,4.86,3.80,7.58,4.27,6.30,10.75
1931,6.32,7.05,8.17,9.18,9.03,8.18,7.41,3.69,2.66,6.46,2.96,5.13,9.47
1932,6.29,6.88,8.08,9.09,9.01,8.28,7.46,3.72,2.60,6.33,2.97,5.12,9.56
1933,5.89,6.49,7.59,8.61,8.53,7.95,7.05,3.32,2.19,5.95,2.50,4.74,9.13
1934,6.60,7.40,8.32,9.34,9.24,8.54,7.64,4.02,2.98,6.73,3.15,5.44,9.72
1935,7.42,7.88,9.16,10.20,10.12,9.47,8.61,4.89,3.75,7.41,4.06,6.29,10.73
1936,7.16,7.91,8.86,9.90,9.84,9.13,8.29,4.58,3.51,7.24,3.76,5.99,10.41
1937,7.74,8.52,9.56,10.61,10.47,9.60,8.81,5.09,4.12,7.90,4.38,6.51,10.88
1938,7.43,7.96,8.96,10.00,10.07,9.56,8.63,5.01,3.78,7.39,4.01,6.35,10.81
1939,7.20,7.83,9.03,10.05,9.91,9.17,8.36,4.58,3.47,7.23,3.89,6.02,10.42
1940,7.36,7.71,9.24,10.24,10.12,9.38,8.62,4.81,3.56,7.28,4.16,6.24,10.63
1941,6.87,7.21,8.69,9.70,9.59,8.93,8.14,4.34,3.07,6.78,3.64,5.80,10.19
1942,6.52,6.93,8.35,9.35,9.22,8.56,7.75,4.02,2.77,6.47,3.25,5.44,9.76
1943,6.76,7.35,8.53,9.53,9.45,8.78,7.95,4.21,3.03,6.76,3.43,5.62,10.05
1944,7.23,7.76,8.95,9.98,9.91,9.29,8.44,4.69,3.51,7.22,3.90,6.10,10.52
1945,5.95,6.25,7.77,8.76,8.69,8.04,7.22,3.44,2.15,5.85,2.69,4.89,9.29
1946,6.67,7.34,8.44,9.47,9.38,8.64,7.79,4.10,3.01,6.73,3.31,5.52,9.90
1947,7.55,8.03,9.38,10.39,10.29,9.52,8.76,4.98,3.85,7.55,4.31,6.42,10.82
1948,6.80,7.26,8.50,9.51,9.48,8.93,7.98,4.31,3.09,6.76,3.39,5.69,10.08
1949,6.20,6.70,8.00,9.02,8.92,8.21,7.39,3.65,2.48,6.20,2.91,5.05,9.46
1950,6.54,7.19,8.24,9.28,9.22,8.53,7.66,4.00,2.92,6.62,3.12,5.41,9.82
1951,7.06,7.74,8.75,9.79,9.74,9.05,8.21,4.50,3.42,7.14,3.64,5.93,10.34
1952,7.45,7.96,9.21,10.23,10.17,9.48,8.65,4.95,3.71,7.42,4.11,6.32,10.77
1953,6.48,6.78,8.11,9.13,9.14,8.67,7.78,4.09,2.69,6.33,3.13,5.45,9.90
1954,7.16,7.65,8.98,10.01,9.90,9.14,8.36,4.61,3.45,7.19,3.87,6.03,10.43
1955,8.05,8.45,9.93,10.92,10.83,10.07,9.28,5.51,4.27,7.97,4.83,6.91,11.34
1956,5.55,5.94,7.31,8.31,8.25,7.67,6.83,3.06,1.75,5.46,2.24,4.46,8.87
1957,7.46,8.19,9.20,10.25,10.12,9.40,8.56,4.90,3.82,7.57,4.05,6.30,10.69
1958,6.90,7.37,8.69,9.69,9.58,9.00,8.14,4.42,3.08,6.80,3.58,5.78,10.23
1959,5.90,6.49,7.76,8.77,8.60,7.90,7.10,3.32,2.10,5.88,2.60,4.72,9.16
1960,7.16,7.73,9.06,10.06,9.89,9.16,8.38,4.59,3.36,7.12,3.89,5.98,10.43
1961,7.45,7.74,9.12,10.14,10.11,9.64,8.77,5.05,3.64,7.28,4.12,6.40,10.87
1962,8.12,8.63,9.88,10.90,10.81,10.17,9.34,5.63,4.36,8.07,4.79,6.99,11.46
1963,7.09,7.54,8.91,9.91,9.79,9.16,8.36,4.57,3.31,7.02,3.78,5.97,10.43
1964,6.17,6.72,7.85,8.89,8.83,8.23,7.33,3.71,2.49,6.18,2.79,5.07,9.52
1965,6.62,7.21,8.33,9.37,9.29,8.64,7.78,4.11,2.94,6.65,3.21,5.48,9.93
1966,8.98,9.46,10.72,11.73,11.66,11.06,10.24,6.49,5.26,8.91,5.63,7.84,12.35
1967,6.48,7.13,7.98,9.02,9.07,8.61,7.69,4.06,2.79,6.42,2.96,5.41,9.88
1968,7.21,7.82,8.91,9.94,9.89,9.27,8.42,4.70,3.51,7.19,3.81,6.07,10.55
1969,6.26,6.97,8.21,9.21,9.02,8.12,7.43,3.56,2.55,6.35,2.98,5.00,9.42
1970,7.68,8.06,9.45,10.44,10.37,9.80,9.06,5.17,3.85,7.53,4.40,6.58,11.04
1971,7.37,8.05,8.96,9.99,9.96,9.42,8.54,4.89,3.70,7.37,3.94,6.27,10.70
1972,6.39,7.40,8.07,9.12,9.02,8.25,7.35,3.79,2.83,6.60,2.89,5.20,9.58
1973,6.26,6.92,7.88,8.91,8.86,8.31,7.41,3.78,2.58,6.26,2.87,5.15,9.60
1974,6.66,7.46,8.31,9.35,9.29,8.61,7.74,4.11,3.04,6.74,3.26,5.48,9.93
