Variable:,tas
,"Norfolk Island","Administrative unit not available"
1901,18.95,18.95
1902,18.63,18.63
1903,18.97,18.97
1904,18.52,18.52
1905,18.64,18.64
1906,18.78,18.78
1907,19.03,19.03
1908,18.81,18.81
1909,19.11,19.11
1910,19.40,19.40
1911,18.78,18.78
1912,18.69,18.69
1913,18.74,18.74
1914,18.79,18.79
1915,19.58,19.58
1916,19.57,19.57
1917,19.09,19.09
1918,18.66,18.66
1919,18.63,18.63
1920,18.89,18.89
1921,19.04,19.04
1922,19.02,19.02
1923,18.68,18.68
1924,18.69,18.69
1925,18.53,18.53
1926,18.71,18.71
1927,18.86,18.86
1928,18.78,18.78
1929,19.08,19.08
1930,18.64,18.64
1931,19.24,19.24
1932,18.92,18.92
1933,19.25,19.25
1934,18.72,18.72
1935,18.90,18.90
1936,18.67,18.67
1937,18.61,18.61
1938,19.30,19.30
1939,18.63,18.63
1940,18.00,18.00
1941,18.40,18.40
1942,19.05,19.05
1943,18.63,18.63
1944,18.58,18.58
1945,18.28,18.28
1946,18.88,18.88
1947,18.53,18.53
1948,18.93,18.93
1949,18.74,18.74
1950,19.23,19.23
1951,18.25,18.25
1952,18.61,18.61
1953,18.74,18.74
1954,18.85,18.85
1955,19.19,19.19
1956,18.89,18.89
1957,18.48,18.48
1958,18.92,18.92
1959,18.60,18.60
1960,18.59,18.59
1961,18.56,18.56
1962,18.99,18.99
1963,18.65,18.65
1964,18.78,18.78
1965,18.19,18.19
1966,18.34,18.34
1967,18.82,18.82
1968,18.48,18.48
1969,18.44,18.44
1970,19.14,19.14
1971,19.00,19.00
1972,18.56,18.56
1973,19.43,19.43
1974,19.03,19.03
1975,19.08,19.08
1976,18.50,18.50
1977,18.36,18.36
1978,18.67,18.67
1979,18.80,18.80
1980,18.65,18.65
1981,19.07,19.07
1982,18.57,18.57
1983,18.85,18.85
1984,18.86,18.86
1985,18.83,18.83
1986,18.83,18.83
1987,18.64,18.64
1988,19.24,19.24
1989,18.93,18.93
1990,19.13,19.13
1991,18.60,18.60
1992,18.42,18.42
1993,18.39,18.39
1994,18.46,18.46
1995,19.20,19.20
1996,19.32,19.32
1997,18.57,18.57
1998,19.76,19.76
1999,19.19,19.19
2000,18.78,18.78
2001,19.08,19.08
2002,18.76,18.76
2003,18.75,18.75
2004,18.77,18.77
2005,19.03,19.03
2006,18.58,18.58
2007,19.03,19.03
2008,18.86,18.86
2009,18.94,18.94
2010,19.23,19.23
2011,19.18,19.18
2012,18.81,18.81
2013,18.94,18.94
2014,19.01,19.01
2015,19.19,19.19
2016,19.84,19.84
2017,19.64,19.64
2018,19.42,19.42
2019,19.42,19.42
2020,19.60,19.60
