Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,Oromia,SNNPR,Somali,Tigray
1901,22.62,16.32,27.16,19.87,23.85,24.00,26.61,20.09,19.75,20.23,25.72,23.27
1902,22.54,16.33,27.11,19.43,23.23,24.14,26.42,20.23,19.77,20.33,25.83,22.68
1903,22.62,16.43,27.18,19.35,23.08,24.35,26.41,20.44,19.90,20.49,25.98,22.54
1904,22.39,16.23,27.03,19.37,23.17,24.05,26.28,20.15,19.55,19.99,25.69,22.63
1905,22.48,16.39,27.15,19.33,23.06,24.27,26.36,20.37,19.69,20.14,25.83,22.51
1906,22.51,16.40,27.19,19.55,23.36,24.22,26.40,20.31,19.67,20.06,25.79,22.80
1907,22.24,16.03,26.85,19.18,22.99,23.88,26.12,19.98,19.40,19.86,25.57,22.47
1908,22.59,16.43,27.17,19.40,23.16,24.28,26.41,20.37,19.83,20.38,25.92,22.61
1909,21.97,15.74,26.62,19.08,22.96,23.53,25.93,19.61,19.04,19.41,25.27,22.45
1910,22.60,16.58,27.39,19.48,23.10,24.58,26.21,20.68,19.79,20.10,26.00,22.67
1911,22.52,16.62,27.49,19.64,23.28,24.40,26.35,20.40,19.73,20.14,25.60,22.84
1912,21.90,16.10,26.94,19.11,22.78,23.71,25.89,19.70,19.12,19.66,24.80,22.38
1913,21.98,16.10,26.90,18.97,22.58,23.86,25.77,19.91,19.17,19.63,25.21,22.18
1914,22.33,16.20,27.02,19.40,23.22,24.00,26.25,20.11,19.43,19.84,25.63,22.70
1915,22.33,16.23,27.08,19.50,23.31,23.97,26.24,20.02,19.46,19.86,25.51,22.86
1916,22.04,16.10,26.88,18.88,22.46,23.95,25.67,20.03,19.23,19.62,25.45,22.08
1917,22.05,16.11,26.91,18.91,22.47,23.99,25.64,20.09,19.21,19.50,25.53,22.13
1918,22.13,16.15,26.94,19.05,22.70,24.00,25.81,20.08,19.26,19.61,25.55,22.30
1919,22.33,16.23,27.06,19.54,23.44,24.00,26.36,20.09,19.38,19.73,25.56,22.87
1920,22.01,16.04,26.83,18.73,22.27,24.00,25.63,20.09,19.17,19.59,25.55,21.89
1921,22.39,16.14,26.91,19.04,22.74,24.09,26.05,20.22,19.61,20.12,25.96,22.25
1922,22.55,16.18,26.90,19.09,22.83,24.23,26.17,20.41,19.74,20.15,26.33,22.27
1923,22.26,16.12,26.86,19.01,22.74,24.00,26.06,20.09,19.49,20.04,25.68,22.18
1924,22.85,16.26,27.02,19.39,23.23,24.33,26.40,20.56,20.02,20.31,26.73,22.66
1925,22.53,16.19,26.95,19.16,22.90,24.15,26.14,20.33,19.74,20.17,26.18,22.40
1926,22.51,16.19,26.98,19.28,23.07,24.08,26.26,20.21,19.71,20.26,25.96,22.54
1927,22.57,16.23,27.05,19.50,23.37,24.06,26.47,20.17,19.74,20.24,25.91,22.82
1928,22.90,16.33,27.19,19.87,23.83,24.22,26.70,20.42,20.00,20.38,26.41,23.29
1929,22.22,16.19,26.98,19.24,22.97,24.01,25.99,20.11,19.33,19.62,25.59,22.51
1930,22.02,16.12,26.94,19.09,22.75,23.84,25.85,19.87,19.21,19.65,25.16,22.35
1931,22.54,16.25,27.09,19.49,23.28,24.14,26.25,20.28,19.64,19.97,26.02,22.85
1932,22.26,16.15,26.96,19.21,22.95,24.04,26.05,20.14,19.38,19.77,25.69,22.46
1933,22.55,16.26,27.09,19.67,23.62,24.07,26.51,20.20,19.64,19.98,25.85,23.01
1934,22.36,16.19,26.98,19.27,23.07,24.03,26.17,20.13,19.52,19.94,25.75,22.53
1935,22.38,16.21,27.01,19.41,23.26,24.01,26.28,20.12,19.53,19.89,25.69,22.71
1936,22.45,16.26,27.10,19.68,23.61,24.01,26.38,20.10,19.55,19.86,25.65,23.04
1937,22.55,16.24,27.03,19.43,23.28,24.16,26.29,20.33,19.66,19.93,26.12,22.73
1938,22.39,16.22,27.01,19.40,23.25,24.01,26.30,20.11,19.54,19.94,25.69,22.69
1939,22.71,16.31,27.17,19.88,23.85,24.14,26.51,20.28,19.78,20.08,26.05,23.29
1940,22.80,16.31,27.19,19.92,23.90,24.20,26.53,20.34,19.86,20.21,26.19,23.34
1941,22.50,16.21,26.85,19.23,23.15,24.06,26.37,20.20,19.68,20.15,26.03,22.47
1942,22.39,16.12,26.64,19.05,22.97,23.98,26.27,20.12,19.62,20.15,25.96,22.20
1943,22.05,15.78,26.05,18.35,22.24,23.77,25.69,19.98,19.37,19.86,25.93,21.40
1944,22.32,15.98,26.52,18.78,22.58,23.95,25.87,20.12,19.55,20.04,26.12,21.97
1945,22.15,15.82,26.31,18.53,22.34,23.87,25.67,20.03,19.42,19.91,25.97,21.69
1946,22.36,15.93,26.72,18.88,22.60,24.14,25.87,20.36,19.61,20.06,26.05,22.12
