Variable:,tas
1901,23.46
1902,23.45
1903,23.20
1904,23.11
1905,23.24
1906,23.25
1907,22.82
1908,23.21
1909,23.29
1910,23.22
1911,23.22
1912,23.32
1913,23.39
1914,23.17
1915,23.37
1916,23.07
1917,22.85
1918,22.65
1919,23.48
1920,22.58
1921,22.64
1922,22.91
1923,23.20
1924,23.18
1925,22.98
1926,23.96
1927,23.62
1928,23.41
1929,23.17
1930,23.22
1931,23.44
1932,23.14
1933,23.31
1934,23.28
1935,23.51
1936,23.42
1937,23.99
1938,23.43
1939,23.16
1940,23.62
1941,23.42
1942,23.20
1943,23.18
1944,23.35
1945,23.86
1946,23.21
1947,23.75
1948,23.59
1949,23.44
1950,23.44
1951,22.94
1952,23.16
1953,23.32
1954,22.97
1955,23.88
1956,22.76
1957,22.89
1958,23.60
1959,23.17
1960,23.33
1961,23.98
1962,23.59
1963,23.47
1964,23.70
1965,23.21
1966,23.71
1967,23.09
1968,23.04
1969,23.59
1970,23.71
1971,22.53
1972,22.42
1973,23.26
1974,22.76
1975,23.01
1976,22.75
1977,23.39
1978,23.55
1979,23.60
1980,23.38
1981,23.57
1982,23.09
1983,24.11
1984,23.30
1985,23.53
1986,23.16
1987,24.47
1988,23.61
1989,23.67
1990,24.03
1991,23.33
1992,23.41
1993,23.19
1994,23.41
1995,24.14
1996,23.93
1997,24.37
1998,24.50
1999,23.86
2000,23.90
2001,24.62
2002,24.24
2003,24.20
2004,24.05
2005,24.29
2006,24.16
2007,24.03
2008,24.16
2009,24.27
2010,24.87
2011,24.15
2012,24.20
2013,24.51
2014,24.23
2015,24.31
2016,24.42
2017,24.67
2018,23.54
2019,24.15
2020,24.63
