Variable:,tas
1901,26.11
1902,26.17
1903,26.15
1904,25.74
1905,25.95
1906,25.74
1907,25.59
1908,25.80
1909,25.91
1910,25.83
1911,25.05
1912,25.50
1913,25.03
1914,25.15
1915,25.57
1916,25.23
1917,24.99
1918,25.18
1919,25.40
1920,25.31
1921,25.20
1922,25.19
1923,25.25
1924,25.25
1925,25.30
1926,25.65
1927,25.37
1928,25.37
1929,25.21
1930,25.35
1931,25.75
1932,25.65
1933,25.42
1934,25.33
1935,25.50
1936,25.56
1937,25.62
1938,25.54
1939,25.59
1940,25.89
1941,25.86
1942,25.86
1943,25.59
1944,25.72
1945,25.73
1946,25.60
1947,25.72
1948,25.54
1949,25.34
1950,25.41
1951,25.43
1952,25.58
1953,25.51
1954,25.18
1955,25.18
1956,25.06
1957,25.49
1958,25.79
1959,25.33
1960,25.34
1961,25.37
1962,25.45
1963,25.56
1964,25.69
1965,25.46
1966,25.71
1967,25.33
1968,25.37
1969,25.84
1970,25.51
1971,25.36
1972,25.83
1973,25.94
1974,25.51
1975,25.50
1976,25.57
1977,25.88
1978,25.91
1979,26.06
1980,26.05
1981,25.63
1982,25.49
1983,25.68
1984,25.12
1985,25.26
1986,25.59
1987,26.15
1988,25.70
1989,25.38
1990,25.68
1991,25.52
1992,25.40
1993,25.33
1994,25.53
1995,25.96
1996,25.92
1997,26.09
1998,26.47
1999,25.87
2000,25.76
2001,25.91
2002,25.86
2003,26.14
2004,26.07
2005,26.45
2006,26.04
2007,26.01
2008,25.84
2009,26.02
2010,26.39
2011,26.05
2012,25.95
2013,25.96
2014,26.04
2015,26.35
2016,26.37
2017,26.15
2018,25.92
2019,26.21
2020,26.27
