Variable:,tas
1901,6.38
1902,6.07
1903,6.10
1904,6.25
1905,5.74
1906,5.69
1907,5.74
1908,5.73
1909,5.69
1910,6.05
1911,6.01
1912,6.15
1913,5.88
1914,5.80
1915,5.89
1916,6.20
1917,6.30
1918,6.05
1919,6.18
1920,6.22
1921,6.18
1922,6.31
1923,5.36
1924,6.13
1925,5.85
1926,5.95
1927,5.94
1928,5.91
1929,5.93
1930,5.86
1931,5.80
1932,5.56
1933,5.73
1934,5.78
1935,5.26
1936,5.79
1937,5.30
1938,5.44
1939,5.14
1940,5.93
1941,5.92
1942,6.15
1943,6.53
1944,5.98
1945,6.25
1946,5.61
1947,5.85
1948,5.40
1949,5.87
1950,5.50
1951,5.90
1952,6.26
1953,6.09
1954,5.70
1955,5.81
1956,6.23
1957,5.83
1958,5.70
1959,5.43
1960,6.10
1961,5.27
1962,6.24
1963,5.42
1964,5.54
1965,6.13
1966,5.56
1967,5.74
1968,6.18
1969,5.70
1970,6.01
1971,5.31
1972,5.50
1973,5.61
1974,6.13
1975,6.00
1976,5.31
1977,5.85
1978,6.21
1979,6.40
1980,5.74
1981,6.07
1982,6.05
1983,6.20
1984,5.59
1985,6.70
1986,5.86
1987,6.24
1988,6.06
1989,6.24
1990,6.09
1991,5.72
1992,5.73
1993,6.20
1994,5.73
1995,5.74
1996,6.25
1997,5.70
1998,6.60
1999,6.19
2000,5.65
2001,5.78
2002,5.48
2003,6.05
2004,6.56
2005,6.01
2006,6.15
2007,5.77
2008,6.24
2009,6.00
2010,6.04
2011,6.29
2012,6.06
2013,6.28
2014,6.00
2015,6.04
2016,6.36
2017,6.30
2018,6.26
2019,6.12
2020,6.37
