Variable:,tas
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1901,6.75,7.50,7.35,6.86,6.74,6.90,6.35,5.79
1902,4.77,5.61,5.40,4.85,4.70,4.87,4.39,3.76
1903,7.29,7.92,7.82,7.36,7.33,7.49,6.96,6.44
1904,5.56,6.42,6.13,5.74,5.53,5.67,5.11,4.55
1905,6.38,7.16,6.95,6.54,6.36,6.48,5.96,5.43
1906,6.99,7.66,7.53,7.13,7.00,7.13,6.61,6.10
1907,5.00,6.04,5.51,5.35,4.97,5.05,4.41,3.94
1908,5.35,6.32,5.76,5.71,5.39,5.48,4.69,4.40
1909,5.62,6.50,6.26,5.73,5.59,5.73,5.19,4.59
1910,7.33,8.11,7.80,7.57,7.37,7.48,6.84,6.42
1911,6.09,7.22,6.42,6.65,6.08,6.05,5.37,5.08
1912,5.44,6.34,5.93,5.71,5.42,5.51,4.95,4.47
1913,7.11,7.78,7.70,7.22,7.08,7.23,6.77,6.18
1914,6.88,7.59,7.40,7.08,6.87,7.01,6.50,5.98
1915,5.81,6.84,6.59,5.98,5.73,5.79,5.44,4.48
1916,6.52,7.55,7.03,6.81,6.57,6.74,5.95,5.38
1917,5.48,6.44,6.05,5.74,5.49,5.64,4.96,4.34
1918,6.70,7.66,7.33,6.91,6.71,6.79,6.24,5.51
1919,5.50,6.44,6.04,5.73,5.52,5.63,4.96,4.45
1920,6.81,7.65,7.15,7.07,6.86,6.97,6.24,6.01
1921,6.71,7.65,7.24,6.97,6.75,6.88,6.20,5.60
1922,5.52,6.20,6.28,5.48,5.40,5.53,5.33,4.50
1923,6.15,7.09,6.93,6.18,6.05,6.14,5.81,4.93
1924,5.60,6.40,6.20,5.71,5.54,5.59,5.19,4.68
1925,7.26,7.96,7.92,7.29,7.20,7.31,6.97,6.28
1926,6.31,7.35,6.89,6.58,6.23,6.33,5.82,5.18
1927,5.84,6.79,6.46,6.01,5.79,5.88,5.39,4.78
1928,5.55,6.57,5.95,5.88,5.53,5.60,4.96,4.60
1929,5.06,5.93,5.63,5.20,4.99,5.09,4.66,4.10
1930,6.90,7.84,7.45,7.12,6.81,6.90,6.42,5.89
1931,5.40,6.44,5.97,5.66,5.30,5.43,4.92,4.32
1932,6.87,7.67,7.43,6.97,6.80,6.94,6.51,5.96
1933,4.84,5.74,5.30,5.09,4.77,4.84,4.37,3.95
1934,7.84,8.77,8.30,8.13,7.81,7.88,7.30,6.90
1935,6.34,7.18,6.92,6.51,6.26,6.34,5.95,5.35
1936,7.31,8.15,7.85,7.45,7.25,7.38,6.93,6.37
1937,7.13,7.96,7.70,7.25,7.07,7.16,6.74,6.15
1938,7.53,8.21,8.07,7.61,7.47,7.62,7.23,6.69
1939,7.13,8.07,7.72,7.35,7.08,7.17,6.72,6.03
1940,4.45,5.13,5.11,4.47,4.36,4.55,4.25,3.49
1941,4.19,5.22,4.87,4.38,4.13,4.24,3.74,2.97
1942,4.13,5.32,4.51,4.54,4.13,4.29,3.48,3.03
1943,6.74,7.56,7.10,7.03,6.71,6.80,6.19,5.97
1944,6.83,7.70,7.36,7.01,6.78,6.91,6.43,5.87
1945,5.66,6.79,5.93,6.08,5.63,5.75,5.03,4.70
1946,6.23,7.27,6.79,6.44,6.11,6.23,5.78,5.14
1947,5.72,6.72,6.35,5.83,5.61,5.77,5.38,4.59
1948,6.87,7.82,7.25,7.13,6.83,6.96,6.43,5.92
1949,7.40,8.31,7.70,7.71,7.38,7.48,6.91,6.57
1950,6.45,7.50,6.93,6.74,6.41,6.55,5.96,5.37
1951,6.53,7.71,7.04,6.89,6.48,6.58,5.96,5.33
1952,5.81,6.68,6.44,5.94,5.72,5.83,5.46,4.74
1953,6.22,7.28,6.54,6.68,6.18,6.28,5.62,5.24
1954,5.75,6.55,6.18,5.94,5.74,5.88,5.37,4.89
1955,5.98,6.89,6.63,6.17,5.90,6.00,5.62,4.82
1956,4.62,5.54,5.12,4.88,4.57,4.68,4.15,3.61
1957,7.00,7.80,7.50,7.17,6.96,7.08,6.62,6.09
1958,6.20,7.22,6.80,6.41,6.16,6.28,5.74,5.05
1959,6.76,7.68,7.02,7.16,6.79,6.90,6.18,5.91
1960,6.51,7.40,7.16,6.62,6.47,6.59,6.14,5.41
1961,7.09,7.94,7.38,7.34,7.12,7.24,6.50,6.37
1962,5.92,6.67,6.57,5.93,5.88,6.03,5.53,5.00
1963,5.43,6.48,5.86,5.74,5.46,5.55,4.79,4.43
1964,5.96,6.77,6.31,6.19,6.00,6.14,5.42,5.20
1965,5.10,6.03,5.49,5.41,5.10,5.21,4.50,4.20
1966,6.68,7.59,7.60,6.67,6.58,6.71,6.44,5.32
1967,6.84,7.89,7.26,7.19,6.81,6.93,6.32,5.79
1968,5.90,6.98,6.46,6.22,5.80,5.91,5.38,4.76
1969,4.86,5.84,5.41,5.12,4.77,4.88,4.40,3.81
1970,5.89,6.66,6.66,5.85,5.78,5.92,5.63,4.84
1971,6.60,7.43,7.06,6.88,6.52,6.64,6.15,5.70
1972,6.89,7.58,7.42,7.00,6.84,6.97,6.56,6.05
1973,6.47,7.30,6.91,6.73,6.43,6.53,6.03,5.59
1974,7.00,7.68,7.52,7.07,6.93,7.05,6.65,6.21
1975,8.07,8.69,8.66,8.18,8.02,8.15,7.77,7.20
1976,5.12,6.18,5.62,5.45,5.05,5.15,4.59,4.05
1977,6.28,7.20,6.86,6.46,6.18,6.33,5.86,5.25
1978,5.43,6.24,6.00,5.62,5.35,5.46,5.04,4.46
1979,6.08,6.77,6.79,6.05,5.97,6.08,5.82,5.17
1980,5.20,5.85,5.75,5.30,5.12,5.23,4.88,4.40
1981,6.76,7.34,7.46,6.68,6.65,6.77,6.58,5.87
1982,6.87,7.65,7.42,7.02,6.83,6.94,6.50,5.94
1983,7.70,8.45,8.23,7.86,7.66,7.78,7.35,6.77
1984,6.56,7.31,6.94,6.82,6.53,6.64,6.10,5.78
1985,4.99,5.84,5.50,5.19,4.90,5.03,4.59,4.04
1986,6.24,7.01,6.82,6.35,6.14,6.25,5.89,5.32
1987,4.63,5.60,5.09,4.90,4.57,4.69,4.14,3.65
1988,6.67,7.40,7.05,6.89,6.64,6.78,6.26,5.91
1989,8.30,8.80,8.84,8.37,8.27,8.43,8.03,7.53
1990,7.97,8.71,8.44,8.16,7.97,8.07,7.54,7.10
1991,7.17,7.82,7.62,7.31,7.14,7.27,6.81,6.43
1992,7.41,8.13,7.83,7.62,7.41,7.51,6.96,6.63
1993,6.37,7.16,6.88,6.56,6.33,6.42,5.93,5.46
1994,7.00,7.98,7.57,7.24,6.96,7.07,6.45,5.93
1995,7.15,7.78,7.66,7.24,7.10,7.21,6.84,6.35
1996,5.77,6.40,6.27,5.79,5.73,5.91,5.51,4.97
1997,6.53,7.23,6.85,6.78,6.55,6.63,6.08,5.84
1998,6.76,7.55,7.24,6.93,6.73,6.84,6.33,5.89
1999,7.90,8.58,8.42,8.02,7.87,8.00,7.55,7.06
2000,8.14,8.97,8.55,8.38,8.13,8.21,7.66,7.28
2001,7.23,7.94,7.71,7.39,7.21,7.33,6.85,6.39
2002,7.88,8.73,8.37,8.11,7.88,7.99,7.44,6.92
2003,6.86,7.62,7.25,7.06,6.87,6.98,6.41,6.06
2004,7.07,7.76,7.61,7.14,7.04,7.19,6.74,6.22
2005,7.10,7.82,7.68,7.20,7.06,7.20,6.79,6.17
2006,7.19,7.95,7.54,7.47,7.19,7.27,6.69,6.41
2007,8.08,8.82,8.74,8.16,8.01,8.18,7.78,7.09
2008,8.25,8.97,8.71,8.41,8.23,8.32,7.86,7.43
2009,7.39,8.08,8.07,7.44,7.31,7.44,7.07,6.45
2010,6.98,7.63,7.76,6.89,6.90,7.10,6.80,5.94
2011,7.71,8.42,8.16,7.86,7.70,7.80,7.32,6.93
2012,7.09,7.89,7.78,7.19,7.00,7.14,6.77,6.04
2013,7.79,8.45,8.39,7.84,7.75,7.87,7.48,6.92
2014,8.03,8.88,8.51,8.23,8.00,8.11,7.63,7.10
2015,8.73,9.45,9.32,8.81,8.70,8.86,8.38,7.81
2016,7.92,8.73,8.48,8.09,7.88,8.01,7.51,6.98
2017,7.81,8.58,8.49,7.89,7.73,7.92,7.49,6.78
2018,8.16,9.12,8.58,8.48,8.14,8.26,7.64,7.20
2019,8.91,9.71,9.45,9.09,8.88,8.98,8.52,7.95
2020,9.20,9.86,9.76,9.28,9.18,9.33,8.86,8.33
