Variable:,tas
,Tajikistan,"Badakhshoni Kuni",Khatlon,Sogd,"Tadzhikistan Territories"
1901,2.84,-3.40,14.24,6.67,3.99
1902,3.16,-3.07,14.51,7.04,4.29
1903,1.75,-4.43,13.08,5.56,2.82
1904,2.64,-3.46,13.82,6.39,3.73
1905,2.10,-4.01,13.33,5.84,3.18
1906,2.88,-3.17,14.02,6.58,3.94
1907,2.07,-3.95,13.21,5.72,3.10
1908,2.68,-3.44,13.93,6.43,3.76
1909,3.38,-2.89,14.69,7.29,4.59
1910,2.72,-3.44,13.97,6.55,3.83
1911,2.56,-3.46,13.61,6.24,3.64
1912,3.22,-2.86,14.28,6.98,4.34
1913,2.81,-3.43,14.13,6.68,3.96
1914,3.73,-2.47,14.95,7.59,4.90
1915,4.27,-2.05,15.63,8.21,5.49
1916,2.85,-3.10,13.89,6.43,3.88
1917,3.71,-2.49,14.91,7.57,4.89
1918,2.37,-3.56,13.49,5.87,3.35
1919,2.29,-3.71,13.42,5.90,3.31
1920,1.39,-4.49,12.47,4.88,2.33
1921,2.36,-3.54,13.41,5.89,3.30
1922,3.40,-2.64,14.49,7.11,4.45
1923,2.30,-3.61,13.31,5.87,3.29
1924,2.61,-3.36,13.63,6.27,3.63
1925,3.14,-2.97,14.27,6.94,4.24
1926,3.04,-3.08,14.17,6.86,4.16
1927,2.95,-3.15,14.07,6.71,4.07
1928,2.13,-3.79,13.23,5.71,3.07
1929,1.82,-4.22,12.99,5.52,2.84
1930,2.02,-4.07,13.23,5.76,3.08
1931,2.15,-3.80,13.31,5.74,3.09
1932,2.46,-3.50,13.67,6.02,3.39
1933,2.65,-3.38,13.83,6.30,3.66
1934,1.66,-4.24,12.91,5.13,2.51
1935,1.92,-4.20,13.19,5.69,2.97
1936,2.73,-3.44,14.09,6.52,3.79
1937,1.91,-4.14,13.14,5.61,2.93
1938,2.81,-3.33,14.04,6.61,3.91
1939,3.05,-3.10,14.26,6.87,4.15
1940,3.70,-2.45,14.92,7.46,4.82
1941,4.14,-1.96,15.32,7.90,5.20
1942,3.12,-2.97,14.35,6.82,4.19
1943,2.48,-3.48,13.64,6.03,3.46
1944,3.32,-2.90,14.69,7.12,4.46
1945,2.26,-3.79,13.49,5.95,3.27
1946,3.19,-2.80,14.38,6.78,4.20
1947,3.62,-2.51,14.89,7.35,4.73
1948,2.65,-3.50,13.94,6.44,3.75
1949,1.73,-4.21,12.90,5.28,2.69
1950,1.82,-4.21,13.02,5.43,2.85
1951,2.39,-3.72,13.68,6.09,3.47
1952,2.78,-3.35,14.08,6.52,3.88
1953,2.81,-3.26,14.06,6.48,3.85
1954,2.00,-4.04,13.21,5.62,3.03
1955,3.40,-2.84,14.71,7.29,4.58
1956,3.16,-2.85,14.28,6.76,4.21
1957,1.58,-4.38,12.63,5.23,2.58
1958,3.08,-3.00,14.27,6.82,4.14
1959,2.75,-3.28,13.88,6.42,3.81
1960,2.41,-3.59,13.54,6.06,3.42
1961,3.21,-2.94,14.40,7.05,4.31
1962,2.88,-3.20,14.01,6.67,3.94
1963,3.62,-2.53,14.83,7.43,4.73
1964,1.93,-4.01,12.94,5.54,2.92
1965,2.90,-3.21,13.99,6.74,3.98
1966,3.30,-2.90,14.51,7.19,4.45
1967,2.60,-3.51,13.68,6.44,3.71
1968,2.89,-3.18,13.98,6.63,3.98
1969,1.92,-3.89,12.96,5.33,2.79
1970,3.62,-2.42,14.79,7.27,4.67
1971,3.83,-2.22,14.98,7.49,4.90
1972,1.68,-4.05,12.58,5.01,2.57
1973,3.26,-2.63,14.21,6.83,4.24
1974,2.43,-3.53,13.46,6.05,3.43
1975,2.60,-3.49,13.60,6.47,3.70
1976,2.73,-3.28,13.79,6.41,3.77
1977,3.55,-2.47,14.66,7.23,4.61
1978,3.23,-2.79,14.32,6.92,4.26
1979,3.53,-2.52,14.64,7.22,4.58
1980,3.75,-2.27,14.81,7.42,4.82
1981,3.59,-2.57,14.77,7.43,4.72
1982,2.74,-3.27,13.79,6.43,3.79
1983,3.57,-2.67,14.78,7.52,4.76
1984,2.83,-3.20,14.12,6.42,3.85
1985,3.50,-2.62,14.77,7.19,4.59
1986,3.30,-2.90,14.53,7.15,4.44
1987,3.36,-2.80,14.62,7.19,4.47
1988,4.00,-2.20,15.30,7.85,5.12
1989,2.79,-3.34,13.97,6.61,3.86
1990,3.80,-2.26,14.96,7.49,4.85
1991,2.95,-3.19,14.08,6.79,4.05
1992,2.86,-3.23,13.93,6.68,3.93
1993,2.69,-3.22,13.78,6.23,3.66
1994,3.00,-2.96,14.02,6.68,3.99
1995,3.17,-3.05,14.32,7.17,4.32
1996,2.70,-3.35,13.84,6.43,3.74
1997,3.23,-2.85,14.20,7.15,4.31
1998,3.36,-2.64,14.35,7.11,4.40
1999,4.11,-1.95,15.23,7.86,5.17
2000,3.94,-2.06,14.93,7.69,4.96
2001,4.12,-1.93,15.08,7.98,5.18
2002,3.98,-2.10,14.96,7.87,5.07
2003,3.45,-2.63,14.46,7.30,4.56
2004,4.49,-1.64,15.47,8.42,5.65
2005,3.89,-2.31,14.89,7.90,5.07
2006,4.24,-1.81,15.24,8.02,5.34
2007,4.29,-1.71,15.15,8.04,5.38
2008,3.95,-2.07,14.99,7.57,5.07
2009,3.92,-2.17,14.91,7.77,5.06
2010,4.20,-2.03,15.18,8.31,5.41
2011,3.83,-2.17,14.76,7.55,4.91
2012,3.18,-2.91,14.16,7.05,4.28
2013,4.30,-1.78,15.19,8.20,5.42
2014,3.48,-2.58,14.62,7.17,4.56
2015,4.20,-1.94,15.09,8.19,5.39
2016,4.54,-1.65,15.51,8.56,5.75
2017,3.96,-2.23,15.04,7.92,5.13
2018,4.26,-1.92,15.46,8.13,5.40
2019,4.17,-2.10,15.17,8.35,5.38
2020,3.62,-2.48,14.40,7.58,4.80
