Variable:,tas
,Monaco,"Administrative unit not available"
1901,11.87,11.87
1902,12.20,12.20
1903,12.33,12.33
1904,12.99,12.99
1905,12.15,12.15
1906,12.37,12.37
1907,12.33,12.33
1908,12.13,12.13
1909,11.78,11.78
1910,12.25,12.25
1911,13.12,13.12
1912,12.17,12.17
1913,12.54,12.54
1914,12.23,12.23
1915,12.20,12.20
1916,12.55,12.55
1917,11.80,11.80
1918,12.45,12.45
1919,12.11,12.11
1920,13.22,13.22
1921,13.27,13.27
1922,12.10,12.10
1923,12.96,12.96
1924,12.47,12.47
1925,12.38,12.38
1926,13.08,13.08
1927,12.96,12.96
1928,13.22,13.22
1929,12.54,12.54
1930,13.06,13.06
1931,12.16,12.16
1932,12.33,12.33
1933,12.19,12.19
1934,13.03,13.03
1935,12.60,12.60
1936,12.78,12.78
1937,13.10,13.10
1938,12.58,12.58
1939,12.39,12.39
1940,11.77,11.77
1941,11.85,11.85
1942,12.68,12.68
1943,13.78,13.78
1944,12.64,12.64
1945,13.53,13.53
1946,12.98,12.98
1947,13.49,13.49
1948,13.18,13.18
1949,13.45,13.45
1950,13.28,13.28
1951,12.90,12.90
1952,12.93,12.93
1953,12.99,12.99
1954,12.36,12.36
1955,12.95,12.95
1956,11.97,11.97
1957,12.73,12.73
1958,12.98,12.98
1959,13.32,13.32
1960,12.69,12.69
1961,13.64,13.64
1962,12.53,12.53
1963,12.23,12.23
1964,13.09,13.09
1965,12.32,12.32
1966,12.89,12.89
1967,13.00,13.00
1968,12.60,12.60
1969,12.33,12.33
1970,12.73,12.73
1971,12.78,12.78
1972,12.53,12.53
1973,12.82,12.82
1974,12.78,12.78
1975,12.83,12.83
1976,12.76,12.76
1977,12.69,12.69
1978,12.23,12.23
1979,12.82,12.82
1980,12.29,12.29
1981,12.74,12.74
1982,13.43,13.43
1983,13.12,13.12
1984,12.30,12.30
1985,12.75,12.75
1986,13.14,13.14
1987,12.94,12.94
1988,13.48,13.48
1989,13.63,13.63
1990,13.66,13.66
1991,13.04,13.04
1992,13.42,13.42
1993,13.13,13.13
1994,14.13,14.13
1995,13.43,13.43
1996,13.15,13.15
1997,14.13,14.13
1998,13.56,13.56
1999,13.83,13.83
2000,14.11,14.11
2001,13.78,13.78
2002,13.99,13.99
2003,14.26,14.26
2004,13.75,13.75
2005,13.31,13.31
2006,14.18,14.18
2007,14.08,14.08
2008,13.78,13.78
2009,14.22,14.22
2010,13.23,13.23
2011,14.42,14.42
2012,14.02,14.02
2013,13.58,13.58
2014,14.70,14.70
2015,14.51,14.51
2016,14.30,14.30
2017,14.29,14.29
2018,14.92,14.92
2019,14.54,14.54
2020,14.66,14.66
