Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1901,1.76,5.16,2.79,-0.88,1.29,4.11,3.65
1902,-0.81,2.85,0.12,-3.32,-1.38,1.55,1.08
1903,1.97,5.18,3.30,-1.07,1.65,4.56,3.92
1904,0.61,4.08,1.70,-1.96,0.20,2.91,2.34
1905,1.56,4.98,2.78,-1.24,1.14,4.02,3.43
1906,1.97,5.44,3.22,-0.98,1.59,4.55,3.94
1907,1.10,4.15,1.69,-0.78,0.72,2.78,2.62
1908,1.26,4.55,2.16,-1.15,0.88,3.38,2.99
1909,1.19,4.13,2.35,-1.52,0.88,3.45,2.98
1910,2.25,5.72,3.52,-0.70,1.79,4.88,4.24
1911,1.85,5.52,2.78,-0.69,1.39,4.11,3.74
1912,0.40,4.53,1.60,-2.65,-0.19,3.16,2.62
1913,1.81,5.62,3.07,-1.26,1.33,4.49,3.94
1914,2.02,5.97,3.18,-0.91,1.46,4.63,4.14
1915,-0.78,3.01,0.23,-3.35,-1.33,1.66,1.09
1916,1.21,4.50,2.39,-1.46,0.86,3.57,2.95
1917,0.43,4.04,1.69,-2.63,0.09,2.99,2.51
1918,1.55,4.84,2.42,-0.88,1.15,3.68,3.35
1919,0.83,4.22,1.87,-1.84,0.47,3.11,2.73
1920,3.16,5.77,4.20,0.78,2.88,5.21,4.73
1921,1.78,5.42,2.83,-0.89,1.38,4.09,3.68
1922,1.17,4.05,2.19,-1.18,0.83,3.22,2.72
1923,1.00,4.05,1.86,-1.25,0.65,3.01,2.58
1924,2.03,4.87,3.11,-0.54,1.69,4.22,3.79
1925,2.02,5.26,3.17,-0.77,1.64,4.40,3.93
1926,0.67,4.36,1.64,-1.85,0.26,2.96,2.46
1927,1.00,4.56,2.03,-1.64,0.53,3.40,2.91
1928,1.28,4.25,2.31,-1.21,0.90,3.50,2.97
1929,1.47,4.37,2.32,-0.86,1.20,3.38,3.16
1930,2.89,6.37,3.90,0.14,2.46,5.24,4.94
1931,1.30,3.92,2.16,-0.83,1.08,3.11,2.73
1932,2.61,5.41,3.65,0.09,2.37,4.69,4.29
1933,1.51,4.99,2.31,-0.86,1.00,3.63,3.39
1934,3.64,6.85,4.68,0.95,3.26,5.92,5.55
1935,2.23,5.54,3.27,-0.46,1.89,4.50,4.15
1936,2.42,5.68,3.63,-0.35,2.00,4.90,4.24
1937,3.11,5.88,4.10,0.70,2.90,5.07,4.71
1938,3.96,6.62,4.80,1.73,3.76,5.80,5.49
1939,2.13,5.58,3.15,-0.67,1.85,4.42,4.12
1940,0.49,3.24,1.44,-1.75,0.20,2.41,2.00
1941,-0.58,2.82,0.06,-2.59,-1.01,1.29,1.01
1942,0.01,2.72,0.96,-2.29,-0.16,1.84,1.51
1943,3.22,6.26,4.24,0.57,3.06,5.31,5.00
1944,2.62,5.60,3.57,0.14,2.39,4.68,4.34
1945,1.35,5.18,2.21,-1.21,0.90,3.55,3.32
1946,1.99,5.05,2.86,-0.34,1.71,3.93,3.65
1947,1.16,4.36,2.15,-1.28,0.81,3.24,2.85
1948,2.47,5.39,3.52,-0.04,2.16,4.62,4.17
1949,3.16,6.51,4.29,0.34,2.85,5.56,5.06
1950,2.22,5.28,3.08,-0.13,1.99,4.15,3.87
1951,1.68,5.26,2.85,-1.15,1.39,4.05,3.57
1952,1.21,4.23,2.32,-1.40,0.97,3.35,2.91
1953,2.81,6.07,3.63,0.41,2.45,4.87,4.63
1954,2.34,4.91,3.36,-0.05,2.17,4.24,3.90
1955,-0.09,4.25,0.98,-3.12,-0.70,2.73,2.19
1956,0.06,3.37,1.04,-2.46,-0.40,2.34,1.87
1957,2.12,4.96,3.24,-0.45,1.84,4.33,3.78
1958,0.64,4.03,1.55,-1.74,0.20,2.87,2.34
1959,2.64,6.03,3.48,0.25,2.13,4.90,4.44
1960,1.82,4.85,2.84,-0.62,1.54,3.84,3.47
1961,3.06,6.08,4.27,0.21,2.81,5.40,4.94
1962,1.04,4.20,2.31,-1.77,0.72,3.42,2.84
1963,1.35,4.29,2.23,-1.03,0.98,3.41,3.07
1964,1.96,4.90,2.89,-0.40,1.62,4.03,3.62
1965,1.00,4.24,2.21,-1.91,0.67,3.47,2.97
