Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
1901,7.04,7.04,6.63,6.65,7.25,6.84,6.68,7.81
1902,7.36,7.37,6.97,6.99,7.59,7.14,7.01,8.15
1903,7.36,7.36,6.93,6.95,7.56,7.18,6.99,8.14
1904,7.91,7.91,7.56,7.57,8.12,7.65,7.58,8.66
1905,7.13,7.14,6.73,6.74,7.34,6.93,6.78,7.90
1906,7.45,7.45,7.09,7.10,7.65,7.24,7.13,8.18
1907,7.32,7.32,6.96,6.97,7.52,7.09,6.99,8.06
1908,7.47,7.47,7.08,7.09,7.68,7.24,7.12,8.25
1909,6.92,6.93,6.53,6.55,7.15,6.68,6.57,7.72
1910,7.27,7.28,6.88,6.89,7.48,7.06,6.92,8.04
1911,7.91,7.91,7.48,7.50,8.11,7.73,7.54,8.67
1912,7.30,7.30,6.86,6.88,7.50,7.12,6.92,8.07
1913,7.79,7.80,7.34,7.36,8.00,7.62,7.41,8.58
1914,7.36,7.37,6.95,6.97,7.57,7.17,7.00,8.13
1915,7.34,7.35,6.91,6.93,7.55,7.14,6.97,8.13
1916,7.57,7.58,7.14,7.16,7.79,7.37,7.20,8.36
1917,6.84,6.85,6.43,6.45,7.07,6.62,6.48,7.65
1918,7.28,7.28,6.86,6.87,7.47,7.10,6.92,8.04
1919,7.05,7.06,6.65,6.66,7.26,6.85,6.70,7.82
1920,7.70,7.71,7.27,7.29,7.93,7.49,7.33,8.51
1921,8.05,8.05,7.70,7.71,8.24,7.85,7.74,8.77
1922,7.26,7.26,6.84,6.86,7.47,7.06,6.89,8.04
1923,7.88,7.87,7.57,7.58,8.02,7.71,7.60,8.51
1924,7.76,7.76,7.34,7.36,7.97,7.55,7.39,8.54
1925,7.10,7.11,6.70,6.72,7.32,6.90,6.75,7.87
1926,8.31,8.32,7.86,7.88,8.54,8.11,7.92,9.13
1927,8.02,8.03,7.58,7.60,8.26,7.81,7.64,8.83
1928,8.23,8.24,7.78,7.80,8.46,8.03,7.84,9.04
1929,7.70,7.71,7.25,7.27,7.93,7.51,7.31,8.52
1930,8.24,8.25,7.81,7.83,8.47,8.02,7.86,9.04
