Variable:,tas
1901,26.41
1902,26.66
1903,26.48
1904,26.43
1905,26.51
1906,26.46
1907,26.44
1908,26.65
1909,26.49
1910,26.38
1911,26.43
1912,26.74
1913,26.70
1914,26.82
1915,26.83
1916,26.47
1917,26.41
1918,26.58
1919,26.73
1920,26.57
1921,26.52
1922,26.35
1923,26.93
1924,26.77
1925,26.71
1926,27.19
1927,26.73
1928,26.83
1929,26.89
1930,26.59
1931,26.28
1932,26.48
1933,26.48
1934,26.33
1935,26.52
1936,26.64
1937,26.68
1938,26.68
1939,26.68
1940,26.27
1941,26.63
1942,26.53
1943,26.06
1944,26.65
1945,26.68
1946,26.51
1947,26.60
1948,26.72
1949,26.51
1950,26.44
1951,26.48
1952,26.47
1953,26.49
1954,26.41
1955,26.31
1956,26.09
1957,26.26
1958,26.50
1959,26.28
1960,26.20
1961,26.88
1962,26.37
1963,26.17
1964,26.09
1965,26.01
1966,26.63
1967,26.56
1968,26.08
1969,26.78
1970,26.55
1971,25.89
1972,26.18
1973,26.13
1974,25.70
1975,25.89
1976,26.03
1977,26.45
1978,26.30
1979,26.32
1980,26.33
1981,26.18
1982,26.31
1983,26.43
1984,25.78
1985,25.96
1986,26.08
1987,26.62
1988,26.55
1989,25.98
1990,26.42
1991,26.25
1992,26.31
1993,26.23
1994,26.59
1995,26.48
1996,26.28
1997,26.60
1998,26.83
1999,26.44
2000,26.42
2001,26.51
2002,26.48
2003,26.58
2004,26.41
2005,26.73
2006,26.57
2007,26.95
2008,26.50
2009,26.90
2010,26.97
2011,26.86
2012,26.73
2013,26.76
2014,26.80
2015,27.00
2016,26.76
2017,27.07
2018,26.88
2019,27.22
2020,27.12
