Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
1901,26.09,25.80,26.70,25.54,26.39
1902,26.09,25.80,26.70,25.54,26.39
1903,26.09,25.80,26.69,25.49,26.39
1904,26.07,25.79,26.62,25.44,26.34
1905,26.08,25.80,26.67,25.48,26.38
1906,26.09,25.80,26.69,25.50,26.39
1907,26.08,25.80,26.67,25.47,26.38
1908,26.09,25.80,26.68,25.49,26.39
1909,26.09,25.80,26.68,25.50,26.39
1910,26.08,25.80,26.67,25.49,26.38
1911,26.08,25.80,26.67,25.47,26.38
1912,26.09,25.80,26.70,25.51,26.39
1913,26.09,25.80,26.68,25.49,26.39
1914,26.09,25.80,26.70,25.52,26.39
1915,26.09,25.80,26.70,25.54,26.39
1916,26.09,25.80,26.68,25.48,26.39
1917,26.09,25.80,26.68,25.49,26.39
1918,26.08,25.79,26.65,25.46,26.36
1919,26.09,25.80,26.70,25.52,26.39
1920,26.09,25.80,26.70,25.51,26.39
1921,26.09,25.80,26.68,25.50,26.39
1922,26.09,25.80,26.70,25.52,26.39
1923,26.09,25.80,26.68,25.50,26.39
1924,26.09,25.80,26.70,25.52,26.39
1925,26.09,25.80,26.69,25.50,26.39
1926,26.09,25.80,26.70,25.53,26.39
1927,26.09,25.80,26.70,25.52,26.39
1928,26.09,25.80,26.70,25.55,26.39
1929,26.09,25.80,26.69,25.49,26.39
1930,26.09,25.80,26.70,25.53,26.39
1931,26.09,25.80,26.71,25.55,26.39
1932,26.09,25.80,26.70,25.52,26.39
1933,26.09,25.80,26.70,25.53,26.39
1934,26.09,25.80,26.70,25.52,26.39
1935,26.09,25.80,26.70,25.53,26.39
1936,26.09,25.80,26.71,25.56,26.39
1937,26.09,25.80,26.70,25.53,26.39
1938,26.09,25.80,26.70,25.53,26.39
1939,26.09,25.80,26.70,25.52,26.39
1940,26.16,25.87,26.76,25.61,26.46
1941,26.69,26.40,27.30,26.14,26.99
1942,26.09,25.80,26.70,25.54,26.39
1943,26.09,25.80,26.70,25.54,26.39
1944,26.09,25.80,26.70,25.54,26.39
1945,26.09,25.80,26.70,25.54,26.39
1946,26.09,25.80,26.70,25.54,26.39
1947,26.10,25.80,26.74,25.58,26.42
1948,26.09,25.80,26.69,25.51,26.39
1949,26.09,25.80,26.69,25.51,26.39
1950,26.37,26.08,26.95,25.77,26.66
1951,26.45,26.16,27.03,25.85,26.73
1952,26.37,26.09,26.95,25.75,26.65
1953,26.48,26.21,27.04,25.85,26.75
1954,26.25,25.97,26.82,25.63,26.52
1955,26.15,25.88,26.72,25.53,26.43
1956,25.97,25.69,26.55,25.36,26.25
1957,26.36,26.08,26.95,25.76,26.65
1958,26.44,26.16,27.03,25.83,26.73
1959,26.15,25.87,26.75,25.55,26.45
1960,26.26,25.98,26.85,25.66,26.55
1961,25.94,25.65,26.56,25.38,26.25
1962,25.82,25.52,26.44,25.26,26.13
1963,25.80,25.51,26.40,25.22,26.10
1964,25.86,25.57,26.47,25.29,26.16
1965,25.72,25.42,26.33,25.16,26.02
1966,26.07,25.77,26.68,25.51,26.37
1967,25.83,25.54,26.44,25.26,26.13
1968,25.79,25.49,26.40,25.22,26.09
1969,26.01,25.71,26.62,25.44,26.31
1970,25.91,25.62,26.52,25.36,26.21
1971,25.96,25.67,26.56,25.39,26.26
1972,26.31,26.02,26.92,25.73,26.61
1973,26.42,26.13,27.03,25.86,26.72
1974,26.01,25.72,26.61,25.45,26.31
1975,26.06,25.77,26.67,25.51,26.36
1976,25.72,25.42,26.33,25.16,26.02
1977,25.90,25.60,26.52,25.36,26.21
1978,26.04,25.74,26.66,25.50,26.34
1979,26.13,25.83,26.75,25.60,26.43
1980,26.11,25.82,26.73,25.59,26.41
1981,26.36,26.07,26.97,25.81,26.66
1982,26.39,26.10,26.99,25.82,26.69
1983,26.67,26.37,27.28,26.11,26.97
1984,25.95,25.65,26.57,25.41,26.26
1985,26.14,25.84,26.76,25.61,26.45
1986,26.17,25.87,26.80,25.65,26.48
1987,26.51,26.21,27.14,25.99,26.83
1988,26.33,26.04,26.94,25.79,26.63
1989,26.13,25.84,26.74,25.58,26.43
1990,26.43,26.14,27.06,25.92,26.74
1991,26.47,26.18,27.09,25.92,26.78
1992,26.34,26.05,26.96,25.81,26.64
1993,26.28,25.99,26.90,25.75,26.59
1994,26.36,26.06,26.97,25.81,26.66
1995,26.37,26.08,26.99,25.84,26.68
1996,26.28,25.98,26.89,25.74,26.58
1997,26.59,26.30,27.20,26.03,26.89
1998,26.96,26.67,27.56,26.38,27.26
1999,26.46,26.16,27.07,25.92,26.76
2000,26.52,26.22,27.13,25.96,26.82
2001,26.60,26.30,27.21,26.04,26.90
2002,26.67,26.38,27.29,26.12,26.98
2003,26.50,26.21,27.11,25.95,26.80
2004,26.46,26.17,27.08,25.93,26.76
2005,26.53,26.23,27.14,25.98,26.83
2006,26.49,26.20,27.10,25.95,26.79
2007,26.40,26.11,27.01,25.85,26.70
2008,26.16,25.86,26.77,25.61,26.46
2009,26.54,26.25,27.14,25.97,26.84
2010,26.49,26.20,27.09,25.91,26.78
2011,26.38,26.09,26.99,25.83,26.68
2012,26.61,26.32,27.22,26.05,26.91
2013,26.68,26.39,27.28,26.11,26.98
2014,26.51,26.22,27.12,25.95,26.81
2015,26.86,26.57,27.47,26.30,27.16
2016,27.15,26.85,27.76,26.59,27.45
2017,26.71,26.42,27.32,26.15,27.01
2018,26.78,26.49,27.39,26.22,27.08
2019,26.98,26.68,27.58,26.40,27.27
2020,26.81,26.52,27.43,26.26,27.12
