Variable:,tas
,"American Samoa","Administrative unit not available"
1901,26.20,26.20
1902,26.20,26.20
1903,25.95,25.95
1904,25.69,25.69
1905,25.78,25.78
1906,26.23,26.23
1907,25.78,25.78
1908,25.80,25.80
1909,25.56,25.56
1910,25.66,25.66
1911,26.23,26.23
1912,26.62,26.62
1913,26.44,26.44
1914,26.69,26.69
1915,26.10,26.10
1916,25.83,25.83
1917,25.71,25.71
1918,25.90,25.90
1919,26.67,26.67
1920,26.62,26.62
1921,26.65,26.65
1922,26.88,26.88
1923,26.24,26.24
1924,26.77,26.77
1925,26.43,26.43
1926,26.61,26.61
1927,26.74,26.74
1928,26.53,26.53
1929,26.32,26.32
1930,26.35,26.35
1931,26.32,26.32
1932,26.57,26.57
1933,26.39,26.39
1934,26.36,26.36
1935,26.68,26.68
1936,26.48,26.48
1937,26.46,26.46
1938,26.76,26.76
1939,26.29,26.29
1940,26.56,26.56
1941,26.79,26.79
1942,26.58,26.58
1943,26.56,26.56
1944,26.34,26.34
1945,26.44,26.44
1946,26.44,26.44
1947,26.62,26.62
1948,26.30,26.30
1949,26.59,26.59
1950,26.63,26.63
1951,26.53,26.53
1952,26.93,26.93
1953,26.68,26.68
1954,26.76,26.76
1955,26.63,26.63
1956,26.46,26.46
1957,26.63,26.63
1958,26.76,26.76
1959,26.86,26.86
1960,26.69,26.69
1961,26.62,26.62
1962,26.55,26.55
1963,26.57,26.57
1964,26.50,26.50
1965,26.24,26.24
1966,26.59,26.59
1967,26.31,26.31
1968,26.52,26.52
1969,26.62,26.62
1970,26.63,26.63
1971,26.14,26.14
1972,26.49,26.49
1973,26.67,26.67
1974,26.13,26.13
1975,26.38,26.38
1976,26.28,26.28
1977,26.63,26.63
1978,26.53,26.53
1979,26.74,26.74
1980,26.79,26.79
1981,26.58,26.58
1982,26.68,26.68
1983,26.83,26.83
1984,26.69,26.69
1985,26.71,26.71
1986,26.72,26.72
1987,26.53,26.53
1988,26.88,26.88
1989,26.53,26.53
1990,27.00,27.00
1991,27.05,27.05
1992,27.06,27.06
1993,26.87,26.87
1994,26.98,26.98
1995,27.36,27.36
1996,27.45,27.45
1997,27.33,27.33
1998,27.42,27.42
1999,27.23,27.23
2000,27.49,27.49
2001,28.00,28.00
2002,28.01,28.01
2003,27.53,27.53
2004,27.38,27.38
2005,27.65,27.65
2006,27.34,27.34
2007,27.68,27.68
2008,27.43,27.43
2009,27.34,27.34
2010,27.36,27.36
2011,27.03,27.03
2012,27.13,27.13
2013,27.39,27.39
2014,27.23,27.23
2015,27.16,27.16
2016,27.64,27.64
2017,27.48,27.48
2018,27.33,27.33
2019,27.57,27.57
2020,27.52,27.52
