Variable:,tas
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1978,5.42,5.63,5.54,6.03,5.74,5.13,5.41,5.67,5.59,4.85,5.24
1979,5.73,5.99,5.83,6.12,5.98,5.53,5.66,5.88,5.72,5.32,5.64
1980,5.22,5.30,5.29,5.77,5.45,5.05,5.24,5.42,5.40,4.75,5.01
1981,6.42,6.63,6.56,6.80,6.67,6.21,6.34,6.60,6.41,6.02,6.32
1982,6.76,7.01,6.88,7.20,7.09,6.51,6.70,6.96,6.80,6.26,6.65
1983,7.58,7.86,7.73,7.95,7.91,7.33,7.50,7.75,7.57,7.10,7.50
1984,6.75,6.89,6.84,7.26,7.01,6.54,6.77,6.99,6.88,6.24,6.56
1985,4.97,5.21,5.08,5.50,5.28,4.70,4.95,5.23,5.06,4.42,4.82
1986,6.12,6.34,6.24,6.54,6.40,5.90,6.08,6.30,6.15,5.65,6.00
1987,4.68,4.92,4.78,5.24,5.00,4.36,4.68,4.93,4.82,4.09,4.54
1988,6.77,6.94,6.87,7.27,7.04,6.55,6.77,6.99,6.89,6.28,6.61
1989,8.22,8.40,8.33,8.62,8.47,8.05,8.17,8.39,8.27,7.80,8.12
1990,7.98,8.19,8.10,8.47,8.24,7.72,7.94,8.17,8.09,7.50,7.86
1991,7.27,7.37,7.40,7.69,7.52,7.08,7.23,7.51,7.31,6.86,7.12
1992,7.56,7.66,7.68,8.05,7.80,7.34,7.54,7.78,7.67,7.09,7.43
1993,6.43,6.58,6.55,6.97,6.72,6.18,6.44,6.66,6.60,5.89,6.26
1994,6.86,7.19,7.03,7.32,7.28,6.54,6.76,7.07,6.88,6.31,6.77
1995,7.11,7.22,7.23,7.52,7.32,6.94,7.07,7.29,7.15,6.69,6.99
1996,5.61,5.72,5.69,6.08,5.79,5.44,5.61,5.78,5.70,5.18,5.47
1997,6.82,6.87,6.91,7.38,7.02,6.61,6.84,7.05,6.98,6.34,6.65
1998,6.74,6.94,6.88,7.15,7.03,6.54,6.70,6.93,6.78,6.28,6.61
1999,7.79,8.00,7.93,8.19,8.07,7.58,7.72,7.95,7.80,7.37,7.71
2000,8.18,8.41,8.33,8.56,8.47,7.95,8.11,8.37,8.18,7.71,8.09
2001,7.21,7.39,7.36,7.62,7.47,7.00,7.18,7.39,7.25,6.76,7.12
2002,7.80,8.08,7.96,8.21,8.13,7.54,7.73,7.98,7.81,7.30,7.73
2003,6.91,7.08,7.02,7.40,7.18,6.68,6.89,7.09,7.01,6.44,6.78
2004,6.97,7.10,7.07,7.43,7.20,6.78,6.92,7.14,7.06,6.55,6.84
2005,6.92,7.17,7.03,7.42,7.23,6.67,6.87,7.07,6.99,6.40,6.81
2006,7.41,7.54,7.48,8.01,7.62,7.20,7.43,7.60,7.61,6.88,7.25
2007,7.84,8.11,8.00,8.27,8.18,7.58,7.77,8.01,7.86,7.34,7.75
2008,8.23,8.43,8.35,8.68,8.51,8.02,8.20,8.41,8.27,7.74,8.12
2009,7.19,7.42,7.32,7.64,7.50,6.95,7.12,7.36,7.22,6.70,7.10
2010,6.36,6.76,6.53,6.66,6.72,6.09,6.22,6.47,6.24,5.91,6.36
2011,7.70,7.87,7.85,8.13,7.97,7.49,7.67,7.88,7.75,7.23,7.59
2012,6.84,7.17,6.98,7.32,7.19,6.53,6.75,7.01,6.87,6.30,6.77
2013,7.60,7.79,7.74,8.00,7.88,7.39,7.54,7.75,7.61,7.14,7.52
2014,7.90,8.19,8.03,8.36,8.23,7.63,7.84,8.11,7.94,7.41,7.79
2015,8.49,8.74,8.62,8.85,8.74,8.28,8.42,8.64,8.49,8.08,8.42
2016,7.79,8.08,7.93,8.21,8.10,7.50,7.69,7.99,7.80,7.32,7.72
2017,7.55,7.82,7.69,7.94,7.87,7.29,7.46,7.74,7.55,7.08,7.47
2018,8.24,8.55,8.37,8.72,8.56,7.94,8.19,8.46,8.32,7.67,8.11
2019,8.71,9.08,8.83,9.08,9.02,8.41,8.55,8.87,8.67,8.30,8.70
2020,9.06,9.24,9.14,9.48,9.27,8.84,9.06,9.22,9.14,8.63,8.96
