Variable:,tas
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
1901,15.49,15.84,14.83,16.43,13.69,15.13,16.23
1902,15.51,16.13,14.40,16.63,13.74,14.82,16.24
1903,14.50,14.76,14.18,15.35,12.68,14.30,15.13
1904,14.61,15.13,13.90,15.65,12.81,14.13,15.24
1905,14.62,15.03,14.11,15.63,12.72,14.27,15.23
1906,14.97,15.50,14.40,16.04,13.02,14.58,15.55
1907,14.24,14.70,13.43,15.24,12.48,13.80,14.91
1908,14.56,15.22,13.50,15.78,12.61,13.91,15.25
1909,15.52,16.12,14.59,16.57,13.75,14.93,16.21
1910,14.92,15.29,14.49,15.74,13.19,14.65,15.52
1911,13.95,14.76,12.70,15.20,12.11,13.15,14.62
1912,15.00,15.53,14.32,16.06,13.07,14.57,15.62
1913,15.05,15.59,14.37,16.09,13.23,14.60,15.63
1914,15.75,16.41,14.81,16.89,13.94,15.16,16.33
1915,16.32,17.01,15.24,17.52,14.46,15.66,16.99
1916,14.53,15.05,14.11,15.51,12.60,14.21,15.06
1917,15.58,16.23,14.95,16.66,13.64,15.10,16.13
1918,14.34,14.80,13.94,15.44,12.39,14.02,14.83
1919,14.72,14.91,14.37,15.58,12.85,14.58,15.37
1920,13.66,13.95,13.36,14.43,11.99,13.51,14.15
1921,14.60,15.01,13.89,15.50,12.95,14.18,15.26
1922,15.57,16.07,14.84,16.57,13.75,15.14,16.22
1923,14.52,14.81,14.44,15.25,12.75,14.41,15.05
1924,14.65,15.06,14.16,15.51,12.89,14.34,15.24
1925,15.52,16.01,14.84,16.46,13.77,15.12,16.13
1926,15.03,15.64,14.24,16.10,13.17,14.55,15.61
1927,14.96,15.47,14.26,16.01,13.01,14.56,15.56
1928,13.86,14.47,13.02,14.99,11.91,13.38,14.46
1929,13.69,14.21,13.15,14.75,11.73,13.40,14.16
1930,13.96,14.42,13.69,14.87,12.15,13.69,14.39
1931,13.70,14.30,13.17,14.82,11.68,13.32,14.20
1932,14.25,14.65,13.85,15.11,12.51,13.99,14.77
1933,14.53,15.02,13.87,15.58,12.64,14.15,15.13
1934,13.71,14.02,13.53,14.63,11.75,13.57,14.26
1935,14.68,14.99,14.39,15.58,12.81,14.50,15.25
1936,15.04,15.48,14.56,16.07,13.08,14.75,15.61
1937,14.53,14.71,14.46,15.33,12.65,14.48,15.09
1938,15.35,15.65,15.02,16.28,13.46,15.16,15.94
1939,15.47,15.85,14.89,16.43,13.63,15.16,16.11
1940,15.98,16.50,15.04,17.12,14.05,15.46,16.67
1941,16.25,16.92,15.00,17.48,14.40,15.55,16.96
1942,15.26,15.85,14.19,16.43,13.40,14.68,15.95
1943,14.23,14.67,13.84,15.23,12.27,13.95,14.79
1944,15.72,16.12,15.14,16.73,13.89,15.37,16.34
1945,14.40,14.94,13.55,15.59,12.39,13.89,15.07
1946,15.00,15.53,14.34,16.07,13.10,14.57,15.58
1947,15.70,16.32,14.75,16.93,13.73,15.11,16.35
1948,15.16,15.57,14.63,16.13,13.37,14.83,15.72
1949,13.68,14.03,13.40,14.60,11.76,13.49,14.22
1950,13.84,14.15,13.57,14.81,11.77,13.67,14.44
1951,14.65,15.01,14.19,15.67,12.65,14.39,15.26
1952,14.82,15.28,14.36,15.86,12.82,14.50,15.38
1953,15.12,15.59,14.37,16.14,13.34,14.65,15.78
1954,14.30,14.62,13.97,15.27,12.26,14.11,14.92
1955,16.10,16.52,15.40,17.16,14.27,15.66,16.77
1956,14.65,15.29,13.70,15.81,12.72,14.07,15.31
1957,14.31,14.40,14.34,14.94,12.67,14.30,14.89
1958,15.54,16.07,14.69,16.59,13.70,15.03,16.21
1959,14.28,14.95,13.38,15.42,12.28,13.75,14.89
1960,14.97,15.31,14.42,15.86,13.13,14.71,15.65
1961,15.75,16.15,15.32,16.49,14.17,15.49,16.27
1962,15.20,15.49,15.13,15.90,13.46,15.12,15.66
1963,15.89,16.46,15.00,17.01,14.03,15.32,16.58
1964,14.18,14.54,13.76,14.97,12.50,13.94,14.73
1965,15.38,15.92,14.44,16.52,13.59,14.81,16.03
1966,16.01,16.39,15.65,16.96,14.14,15.73,16.60
1967,15.03,15.48,14.50,15.88,13.38,14.71,15.54
1968,15.24,15.75,14.70,16.20,13.44,14.86,15.76
1969,13.60,14.15,12.86,14.74,11.68,13.13,14.19
1970,15.61,16.12,14.89,16.67,13.70,15.20,16.25
1971,15.92,16.45,15.21,16.93,14.15,15.48,16.50
1972,13.57,13.66,13.73,14.18,11.81,13.73,14.03
1973,15.28,15.83,14.32,16.42,13.43,14.68,16.01
1974,14.18,14.59,13.92,14.99,12.43,13.98,14.64
1975,15.39,15.69,15.04,16.10,13.83,15.18,15.96
1976,14.50,15.00,13.83,15.55,12.56,14.10,15.12
1977,15.44,16.08,14.37,16.67,13.54,14.77,16.12
1978,15.14,15.66,14.38,16.23,13.24,14.67,15.77
1979,15.74,16.10,15.21,16.63,14.05,15.41,16.33
1980,15.42,15.96,14.49,16.61,13.40,14.88,16.17
1981,16.04,16.48,15.45,17.06,14.19,15.62,16.66
1982,14.59,15.03,13.95,15.45,12.88,14.28,15.14
1983,16.24,16.77,15.31,17.16,14.74,15.70,16.86
1984,14.54,15.08,13.85,15.68,12.55,14.06,15.20
1985,15.50,16.05,14.60,16.51,13.65,15.00,16.20
1986,15.47,16.02,14.84,16.27,13.82,15.11,16.01
1987,15.73,16.29,14.53,16.90,13.74,15.10,16.60
1988,16.03,16.70,14.98,17.18,14.12,15.39,16.75
1989,15.73,15.94,15.33,16.37,14.11,15.62,16.36
1990,15.91,16.42,14.99,16.82,14.22,15.50,16.55
1991,15.53,15.98,14.83,16.43,13.80,15.15,16.16
1992,14.87,15.57,13.91,15.97,13.18,14.23,15.44
1993,14.80,15.27,13.90,15.88,12.94,14.37,15.47
1994,15.26,15.78,14.25,16.41,13.24,14.79,15.96
1995,16.48,16.87,15.79,17.27,14.91,16.12,17.14
1996,15.30,15.67,14.72,16.26,13.34,15.05,15.96
1997,16.16,16.63,15.22,17.16,14.44,15.68,16.87
1998,16.03,16.35,15.45,16.96,14.09,15.83,16.70
1999,16.66,17.11,15.81,17.66,14.95,16.19,17.30
2000,16.51,17.00,15.68,17.45,14.78,16.11,17.11
2001,16.72,17.15,15.85,17.72,14.85,16.37,17.39
2002,16.54,17.01,15.57,17.51,14.85,16.11,17.18
2003,15.73,16.28,14.71,16.79,13.91,15.27,16.36
2004,16.63,17.24,15.89,17.52,15.12,16.15,17.09
2005,16.39,16.84,15.79,17.11,14.86,16.09,16.92
2006,16.49,16.97,15.64,17.52,14.64,16.10,17.13
2007,16.15,16.73,15.58,17.01,14.59,15.70,16.61
2008,15.85,16.31,15.17,16.78,14.04,15.50,16.48
2009,16.22,16.79,15.44,17.18,14.45,15.74,16.85
2010,17.05,17.47,16.49,17.98,15.17,16.72,17.71
2011,15.69,16.29,14.88,16.81,13.73,15.17,16.36
2012,15.90,16.24,15.52,16.75,14.02,15.69,16.52
2013,16.89,17.36,16.02,17.88,15.19,16.45,17.53
2014,15.79,16.13,15.32,16.76,13.75,15.59,16.45
2015,16.64,17.15,15.84,17.63,14.85,16.22,17.26
2016,16.84,17.52,15.70,17.98,15.10,16.19,17.48
2017,16.45,16.93,15.72,17.45,14.59,16.08,17.06
2018,16.64,17.14,15.87,17.74,14.58,16.24,17.32
2019,16.86,17.42,16.06,17.86,15.09,16.36,17.47
2020,16.02,16.39,15.66,16.81,14.41,15.73,16.55
