Variable:,tas
,Comoros,Anjouan,Moheli,Ngazidja
1901,23.97,25.51,25.98,24.06
1902,24.20,25.69,26.18,24.30
1903,24.06,25.55,26.05,24.15
1904,23.90,25.48,25.95,24.00
1905,24.11,25.58,26.08,24.20
1906,23.91,25.50,25.97,24.00
1907,23.96,25.50,25.97,24.05
1908,24.18,25.67,26.16,24.27
1909,24.01,25.55,26.03,24.10
1910,23.92,25.47,25.96,24.01
1911,24.04,25.56,26.03,24.13
1912,24.19,25.71,26.19,24.28
1913,24.28,25.81,26.29,24.37
1914,24.32,25.89,26.36,24.41
1915,24.34,25.90,26.36,24.43
1916,24.17,25.63,26.15,24.27
1917,24.15,25.58,26.08,24.25
1918,24.23,25.73,26.22,24.33
1919,24.29,25.84,26.33,24.39
1920,24.21,25.70,26.20,24.31
1921,24.21,25.66,26.16,24.31
1922,24.14,25.55,26.07,24.24
1923,24.37,25.97,26.42,24.46
1924,24.30,25.86,26.34,24.39
1925,24.28,25.83,26.31,24.38
1926,24.39,26.10,26.50,24.48
1927,24.22,25.79,26.24,24.32
1928,24.26,25.85,26.31,24.36
1929,24.31,25.93,26.38,24.41
1930,24.18,25.73,26.18,24.28
1931,24.18,25.55,26.10,24.28
1932,24.16,25.61,26.11,24.26
1933,24.14,25.60,26.11,24.24
1934,24.12,25.55,26.06,24.22
1935,24.10,25.60,26.07,24.20
1936,24.19,25.75,26.19,24.29
1937,24.20,25.77,26.22,24.30
1938,24.21,25.77,26.23,24.31
1939,24.16,25.72,26.15,24.26
1940,24.09,25.49,26.02,24.20
1941,24.35,25.82,26.32,24.45
1942,24.31,25.73,26.23,24.41
1943,23.99,25.33,25.87,24.09
1944,24.33,25.81,26.27,24.43
1945,24.24,25.79,26.21,24.34
1946,24.15,25.63,26.09,24.25
1947,24.27,25.78,26.24,24.38
1948,24.51,25.93,26.46,24.61
1949,24.37,25.74,26.28,24.47
1950,24.24,25.65,26.17,24.34
1951,24.38,25.73,26.27,24.49
1952,24.47,25.77,26.32,24.57
1953,24.38,25.76,26.30,24.49
1954,24.27,25.68,26.21,24.38
1955,24.11,25.53,26.05,24.22
1956,23.90,25.36,25.88,24.01
1957,24.08,25.52,26.03,24.19
1958,24.38,25.74,26.27,24.48
1959,24.20,25.55,26.09,24.30
1960,24.06,25.45,25.98,24.17
1961,24.66,26.10,26.61,24.76
1962,24.16,25.58,26.10,24.27
1963,23.96,25.38,25.89,24.06
1964,23.91,25.32,25.84,24.01
1965,23.85,25.23,25.78,23.95
1966,24.45,25.88,26.40,24.55
1967,24.36,25.79,26.30,24.46
1968,23.92,25.31,25.84,24.03
1969,24.52,25.99,26.49,24.62
1970,24.36,25.78,26.29,24.46
1971,23.72,25.13,25.64,23.83
1972,24.01,25.41,25.93,24.11
1973,24.02,25.36,25.89,24.13
1974,23.62,24.95,25.51,23.72
1975,23.77,25.14,25.68,23.88
1976,23.85,25.24,25.75,23.96
1977,24.21,25.66,26.17,24.31
1978,24.09,25.50,26.02,24.19
1979,24.14,25.53,26.04,24.24
1980,24.15,25.54,26.05,24.25
1981,23.96,25.36,25.87,24.07
1982,24.12,25.52,26.03,24.22
1983,24.35,25.67,26.17,24.45
1984,23.70,25.02,25.54,23.80
1985,23.83,25.18,25.70,23.93
1986,23.97,25.31,25.83,24.08
1987,24.51,25.87,26.39,24.61
1988,24.48,25.78,26.34,24.59
1989,23.83,25.22,25.73,23.93
1990,24.29,25.64,26.18,24.39
1991,24.13,25.49,26.02,24.23
1992,24.24,25.59,26.13,24.34
1993,24.16,25.51,26.05,24.26
1994,24.41,25.80,26.32,24.51
1995,24.36,25.71,26.23,24.46
1996,24.16,25.50,26.03,24.26
1997,24.44,25.81,26.33,24.54
1998,24.71,26.06,26.60,24.82
1999,24.27,25.64,26.17,24.37
2000,24.29,25.66,26.18,24.39
2001,24.37,25.75,26.28,24.48
2002,24.36,25.75,26.28,24.46
2003,24.42,25.83,26.35,24.52
2004,24.30,25.66,26.19,24.41
2005,24.61,25.98,26.53,24.71
2006,24.46,25.81,26.34,24.56
2007,24.75,26.14,26.66,24.85
2008,24.33,25.74,26.24,24.43
2009,24.66,26.07,26.59,24.77
2010,24.74,26.18,26.69,24.84
2011,24.56,26.04,26.53,24.66
2012,24.48,25.93,26.43,24.58
2013,24.56,25.95,26.47,24.66
2014,24.57,26.01,26.50,24.68
2015,24.80,26.19,26.71,24.90
2016,24.60,25.96,26.50,24.70
2017,24.83,26.23,26.74,24.93
2018,24.66,26.08,26.58,24.76
2019,24.99,26.39,26.90,25.09
2020,24.93,26.33,26.83,25.03
