Variable:,tas
,Fiji,Central,Eastern,Northern,Western
1901,23.98,23.82,24.26,24.49,23.71
1902,23.97,23.82,24.26,24.49,23.71
1903,23.97,23.82,24.25,24.46,23.71
1904,23.96,23.82,24.24,24.44,23.71
1905,23.96,23.82,24.24,24.44,23.71
1906,23.98,23.82,24.26,24.49,23.71
1907,23.96,23.82,24.24,24.45,23.71
1908,23.96,23.82,24.24,24.45,23.71
1909,23.95,23.82,24.23,24.42,23.71
1910,23.95,23.82,24.24,24.43,23.71
1911,23.98,23.82,24.26,24.49,23.71
1912,23.99,23.82,24.27,24.52,23.71
1913,23.98,23.82,24.26,24.51,23.71
1914,23.99,23.82,24.27,24.53,23.71
1915,23.97,23.82,24.25,24.48,23.71
1916,23.96,23.82,24.25,24.45,23.71
1917,23.96,23.82,24.24,24.44,23.71
1918,23.96,23.82,24.24,24.45,23.71
1919,23.99,23.82,24.27,24.53,23.71
1920,23.99,23.82,24.27,24.53,23.71
1921,23.98,23.82,24.27,24.49,23.71
1922,23.98,23.82,24.27,24.51,23.71
1923,23.97,23.82,24.26,24.48,23.71
1924,23.98,23.82,24.27,24.50,23.71
1925,23.98,23.82,24.26,24.49,23.71
1926,23.99,23.82,24.27,24.52,23.71
1927,23.99,23.82,24.27,24.52,23.71
1928,23.98,23.82,24.27,24.50,23.71
1929,23.98,23.82,24.26,24.50,23.71
1930,23.99,23.82,24.26,24.52,23.71
1931,23.98,23.82,24.26,24.50,23.71
1932,23.99,23.82,24.27,24.52,23.73
1933,23.82,23.64,24.13,24.37,23.55
1934,23.89,23.71,24.18,24.45,23.61
1935,23.98,23.81,24.26,24.51,23.71
1936,24.12,23.94,24.37,24.66,23.86
1937,23.77,23.57,24.07,24.34,23.48
1938,23.81,23.62,24.13,24.37,23.52
1939,23.77,23.61,24.10,24.28,23.51
1940,24.04,23.85,24.30,24.60,23.76
1941,24.03,23.83,24.29,24.62,23.73
1942,23.92,23.73,24.21,24.48,23.63
1943,24.09,23.91,24.37,24.63,23.83
1944,23.93,23.77,24.22,24.45,23.66
1945,23.88,23.71,24.16,24.42,23.61
1946,24.22,24.06,24.51,24.74,23.95
1947,24.33,24.17,24.61,24.85,24.07
1948,23.97,23.80,24.25,24.49,23.71
1949,24.16,24.01,24.45,24.67,23.89
1950,24.04,23.88,24.34,24.55,23.77
1951,23.90,23.71,24.16,24.46,23.61
1952,24.26,24.09,24.53,24.80,23.97
1953,24.16,23.99,24.44,24.71,23.87
1954,24.06,23.90,24.38,24.58,23.77
1955,23.93,23.79,24.26,24.43,23.66
1956,23.99,23.82,24.27,24.52,23.71
1957,24.00,23.81,24.26,24.57,23.71
1958,24.17,23.97,24.40,24.77,23.88
1959,24.27,24.09,24.52,24.83,23.98
1960,24.15,23.96,24.40,24.73,23.85
1961,24.17,24.00,24.45,24.71,23.90
1962,23.93,23.74,24.18,24.48,23.65
1963,23.96,23.76,24.21,24.54,23.66
1964,24.06,23.88,24.33,24.58,23.79
1965,23.39,23.18,23.63,23.99,23.09
1966,23.66,23.45,23.90,24.25,23.35
1967,23.71,23.54,24.00,24.23,23.44
1968,23.82,23.63,24.09,24.39,23.52
1969,23.96,23.74,24.17,24.56,23.65
1970,23.93,23.77,24.21,24.46,23.66
1971,23.85,23.70,24.16,24.33,23.59
1972,23.74,23.55,23.99,24.29,23.46
1973,24.24,24.08,24.53,24.73,23.99
1974,24.00,23.85,24.30,24.48,23.75
1975,24.10,23.95,24.40,24.59,23.86
1976,23.94,23.78,24.22,24.43,23.68
1977,23.88,23.70,24.15,24.42,23.61
1978,23.79,23.61,24.05,24.33,23.52
1979,23.90,23.71,24.17,24.46,23.61
1980,23.83,23.64,24.12,24.39,23.54
1981,24.12,23.96,24.41,24.64,23.85
1982,24.02,23.83,24.27,24.57,23.74
1983,24.15,23.97,24.42,24.69,23.88
1984,24.34,24.19,24.67,24.80,24.09
1985,24.31,24.15,24.61,24.81,24.04
1986,23.87,23.68,24.14,24.44,23.59
1987,23.81,23.64,24.10,24.34,23.54
1988,24.45,24.33,24.78,24.90,24.21
1989,24.03,23.88,24.33,24.51,23.77
1990,24.23,24.05,24.50,24.78,23.96
1991,23.95,23.74,24.17,24.55,23.65
1992,23.90,23.70,24.15,24.48,23.61
1993,23.58,23.36,23.81,24.18,23.28
1994,23.89,23.68,24.13,24.48,23.58
1995,24.18,23.98,24.42,24.72,23.90
1996,24.24,24.07,24.51,24.77,23.97
1997,24.15,23.95,24.37,24.71,23.87
1998,24.48,24.31,24.75,24.98,24.21
1999,24.21,24.02,24.46,24.76,23.94
2000,24.43,24.24,24.68,24.97,24.15
2001,24.53,24.36,24.80,25.07,24.26
2002,24.11,23.88,24.30,24.72,23.81
2003,24.33,24.14,24.58,24.86,24.06
2004,24.33,24.15,24.59,24.88,24.05
2005,24.44,24.25,24.70,25.02,24.14
2006,24.19,24.00,24.45,24.76,23.91
2007,24.71,24.52,24.96,25.24,24.44
2008,24.24,24.06,24.50,24.78,23.96
2009,24.09,23.90,24.34,24.63,23.81
2010,24.57,24.40,24.84,25.12,24.29
2011,24.37,24.20,24.66,24.90,24.10
2012,24.12,23.94,24.37,24.68,23.82
2013,24.36,24.18,24.63,24.91,24.07
2014,24.20,24.02,24.47,24.74,23.92
2015,24.15,23.97,24.41,24.70,23.86
2016,24.59,24.42,24.86,25.14,24.30
2017,24.61,24.44,24.90,25.13,24.33
2018,24.44,24.26,24.68,24.98,24.15
2019,24.65,24.47,24.93,25.20,24.37
2020,24.92,24.75,25.20,25.43,24.65
