Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1901,15.00,15.18,16.85,10.95,22.33,10.48,17.71,20.58,18.19,23.47,10.70,15.61,16.20,12.73,20.15,10.87,12.70,17.09,10.84,17.11,8.57,19.13,21.48,6.29,17.87
1902,14.63,14.97,16.68,10.53,22.25,9.75,17.38,20.67,18.05,23.51,10.46,15.23,15.78,12.31,20.73,10.34,12.17,16.83,10.43,16.74,7.79,18.93,21.22,5.50,17.49
1903,14.30,14.71,16.37,9.99,21.54,9.87,16.94,20.08,17.56,22.75,9.87,14.99,15.27,11.95,20.05,10.26,12.14,16.19,9.93,16.36,7.89,18.42,20.60,5.54,16.87
1904,14.49,14.67,16.17,10.17,21.62,10.40,17.00,20.13,17.62,22.70,9.77,15.19,15.42,12.18,19.81,10.64,12.51,16.21,10.16,16.47,8.37,18.50,20.76,5.80,17.12
1905,14.12,14.40,15.98,9.86,21.38,9.89,16.67,19.92,17.33,22.51,9.55,14.87,15.09,11.87,19.94,10.30,12.12,15.96,9.83,16.16,7.57,18.21,20.47,4.53,16.83
1906,14.68,15.05,16.81,10.54,22.30,10.24,17.33,20.79,18.22,23.41,10.26,15.33,15.54,12.29,20.55,10.50,12.48,16.76,10.24,16.70,7.67,19.05,21.36,4.30,17.61
1907,13.98,14.35,15.98,9.68,21.44,9.57,16.53,20.10,17.34,22.63,9.43,14.71,14.73,11.59,19.84,9.93,11.85,15.89,9.47,15.98,7.37,18.18,20.45,4.53,16.73
1908,14.36,14.86,16.52,10.00,21.73,10.00,16.98,20.35,17.80,22.86,9.73,15.21,15.14,12.05,19.90,10.38,12.36,16.20,9.90,16.46,7.54,18.59,20.77,4.47,17.04
1909,14.24,14.68,16.32,9.92,21.62,10.00,16.80,20.08,17.61,22.75,9.70,15.05,15.01,11.84,19.87,10.27,12.32,16.13,9.76,16.23,7.49,18.42,20.68,4.35,16.95
1910,14.29,14.74,16.37,9.84,21.57,9.97,16.86,20.18,17.64,22.71,9.47,15.11,14.97,11.93,20.06,10.30,12.23,15.97,9.69,16.35,7.92,18.43,20.63,5.42,16.87
