Variable:,tas
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1901,-5.27,0.31,0.70,-2.56,3.90,-1.06,-9.38,6.19,-14.53,0.12,5.80,-2.89,-0.56,-7.42
1902,-5.58,-0.42,0.30,-2.82,3.92,-1.26,-9.89,6.04,-14.87,0.29,5.60,-2.91,-1.38,-7.88
1903,-5.67,-0.26,0.44,-3.39,3.49,-2.28,-9.41,5.30,-14.79,-0.34,4.70,-3.24,-1.57,-7.48
1904,-5.97,-0.07,0.73,-3.58,2.08,-2.70,-9.62,4.20,-14.86,-1.32,3.69,-4.04,-1.72,-7.90
1905,-5.19,0.69,1.35,-2.59,2.70,-2.29,-8.50,4.66,-14.45,-0.35,4.16,-3.57,-0.45,-6.03
1906,-5.25,0.46,1.16,-2.32,3.62,-1.81,-9.35,5.69,-14.70,0.46,5.24,-3.05,-0.53,-7.39
1907,-6.27,-1.02,0.06,-3.88,2.52,-2.70,-10.38,4.55,-15.19,-1.11,4.01,-3.85,-2.33,-7.81
1908,-5.40,0.20,0.46,-2.60,3.59,-1.58,-9.76,5.65,-14.57,0.47,5.15,-3.14,-0.74,-7.41
1909,-6.11,-1.37,-0.79,-3.21,3.62,-1.44,-10.73,5.81,-15.02,-0.13,5.30,-3.11,-1.87,-9.17
1910,-5.31,0.44,0.64,-2.35,3.98,-1.49,-9.64,6.18,-14.54,0.34,5.63,-2.98,-0.42,-7.88
1911,-5.90,-0.87,-0.38,-3.52,3.41,-2.16,-9.94,5.41,-15.01,0.11,4.81,-3.17,-1.98,-7.79
1912,-5.56,0.45,0.93,-3.32,3.03,-2.54,-8.99,5.00,-14.54,-1.09,4.41,-3.87,-1.19,-6.22
1913,-5.64,-0.32,0.07,-3.13,4.06,-1.91,-9.95,6.01,-14.76,0.03,5.46,-3.01,-1.13,-7.64
1914,-5.61,-0.02,0.80,-2.68,2.60,-2.43,-9.67,4.70,-14.81,-0.22,4.09,-3.87,-0.66,-6.55
1915,-4.64,1.13,1.98,-2.03,4.32,-1.39,-8.42,6.07,-14.33,0.70,5.55,-2.44,0.06,-5.64
1916,-6.08,-1.12,-0.53,-4.13,3.47,-1.93,-9.97,5.18,-15.00,-0.68,4.81,-3.29,-2.30,-7.68
1917,-6.52,-1.22,-0.28,-4.27,2.34,-2.11,-10.79,4.64,-15.09,-2.01,4.14,-4.18,-2.23,-8.30
1918,-5.87,0.01,0.61,-2.76,2.59,-2.88,-10.46,4.77,-14.93,-0.28,4.23,-3.85,-0.72,-8.11
1919,-5.72,-0.67,-0.12,-2.84,3.52,-2.32,-10.23,5.37,-14.73,0.41,4.99,-3.23,-0.97,-7.90
1920,-5.53,-0.26,0.18,-2.44,3.39,-2.16,-9.66,5.27,-14.73,0.21,4.89,-3.14,-0.44,-8.02
1921,-5.23,0.21,0.33,-2.00,4.07,-2.85,-9.34,5.64,-14.64,1.27,5.29,-2.90,-0.16,-7.52
1922,-5.92,-0.50,-0.08,-2.37,3.34,-2.86,-10.10,5.13,-15.53,0.32,4.68,-3.67,-0.93,-7.79
1923,-5.53,0.54,1.31,-2.48,2.52,-3.13,-9.49,4.51,-14.84,-0.17,3.96,-4.09,-0.48,-6.48
1924,-5.47,-0.18,0.75,-3.10,3.11,-2.47,-9.65,5.24,-13.89,-0.81,4.75,-3.16,-1.05,-7.51
1925,-5.58,-0.01,1.13,-2.76,3.10,-2.60,-9.98,5.24,-14.43,-0.27,4.65,-3.69,-0.80,-7.57
1926,-5.32,1.17,1.96,-2.71,2.46,-2.98,-8.61,4.71,-14.42,-1.10,4.02,-4.67,-0.19,-5.07
1927,-5.80,-1.18,-0.12,-3.26,4.06,-2.08,-10.26,5.98,-14.53,-0.05,5.53,-2.92,-1.94,-8.18
1928,-4.80,1.45,1.54,-1.68,3.59,-2.39,-8.51,5.66,-13.92,0.33,5.17,-3.33,0.32,-6.46
1929,-5.85,-0.16,0.52,-3.64,3.37,-2.43,-9.47,5.34,-14.84,-0.81,4.80,-4.26,-1.40,-6.62
