Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1934,3.92,8.81,4.22,4.78,8.63,8.67,2.71,7.62,8.29,8.21,0.09,6.72,7.76,9.07,7.61,7.70,7.37,6.21,1.95,3.72,6.70,7.88
1935,2.44,7.63,2.79,3.27,7.39,7.43,1.05,6.35,7.09,6.98,-1.50,5.47,6.55,7.87,6.38,6.47,6.06,4.93,0.27,2.06,5.39,6.65
1936,2.54,7.55,2.94,3.41,7.57,7.45,1.30,6.37,7.10,6.95,-1.39,5.51,6.57,7.80,6.45,6.57,6.16,4.99,0.37,2.18,5.50,6.70
1937,2.95,7.65,3.02,3.67,7.68,7.40,1.66,6.39,7.22,7.00,-0.48,5.56,6.69,7.86,6.59,6.71,6.32,4.86,1.12,2.67,5.62,6.55
1938,3.91,8.46,4.02,4.60,8.28,8.27,2.68,7.26,7.94,7.84,0.54,6.39,7.45,8.68,7.30,7.40,7.08,5.89,2.16,3.70,6.39,7.51
1939,2.52,7.86,2.84,3.46,7.77,7.53,1.31,6.53,7.34,7.16,-1.57,5.52,6.74,8.02,6.57,6.62,6.18,4.82,0.43,2.26,5.51,6.64
1940,0.64,5.33,0.75,1.14,5.22,5.30,-0.71,4.17,4.83,4.74,-2.72,3.31,4.33,5.66,4.19,4.22,3.82,2.91,-1.33,0.06,3.19,4.63
1941,0.44,5.65,0.66,1.01,5.21,5.49,-0.83,4.34,5.03,5.00,-3.21,3.22,4.41,5.94,4.10,4.07,3.62,2.73,-1.75,-0.22,3.07,4.60
1942,0.29,5.10,0.53,0.86,4.70,5.12,-0.87,3.87,4.49,4.52,-3.24,2.90,3.89,5.55,3.66,3.66,3.32,2.56,-1.68,-0.18,2.77,4.25
1943,3.20,8.14,3.47,4.09,7.94,7.90,1.94,6.88,7.62,7.49,-0.58,6.04,7.09,8.36,6.97,7.10,6.72,5.43,1.25,3.02,6.01,7.08
1944,2.65,7.67,2.81,3.35,7.55,7.49,1.27,6.41,7.19,7.04,-1.01,5.46,6.59,7.94,6.40,6.50,6.09,4.90,0.65,2.29,5.40,6.66
1945,2.41,7.82,2.80,3.16,7.45,7.70,1.13,6.58,7.23,7.20,-1.67,5.46,6.62,8.11,6.29,6.31,5.87,5.00,0.19,1.94,5.27,6.82
1946,2.42,7.09,2.56,3.00,6.89,7.01,1.21,5.94,6.61,6.51,-1.10,5.01,6.08,7.40,5.88,5.97,5.58,4.60,0.58,2.07,4.93,6.25
1947,1.51,6.64,1.74,2.24,6.31,6.50,0.23,5.36,6.07,5.99,-2.27,4.28,5.46,6.96,5.24,5.30,4.85,3.76,-0.56,1.13,4.21,5.59
1948,2.69,7.74,2.81,3.33,7.38,7.60,1.47,6.42,7.07,7.09,-0.93,5.28,6.45,8.05,6.19,6.26,5.86,4.80,0.77,2.36,5.20,6.64
1949,3.41,8.55,3.81,4.24,8.35,8.40,2.06,7.37,8.04,7.94,-0.59,6.42,7.49,8.80,7.29,7.36,6.97,5.96,1.29,3.06,6.32,7.66
1950,2.40,7.67,2.48,3.06,7.45,7.45,1.02,6.36,7.13,7.01,-1.31,5.23,6.50,7.90,6.27,6.32,5.85,4.58,0.31,1.93,5.17,6.49
1951,1.91,7.64,2.39,2.83,7.31,7.41,0.47,6.30,7.03,6.95,-2.34,5.20,6.39,7.89,6.18,6.25,5.75,4.58,-0.54,1.39,5.14,6.43
1952,1.11,6.57,1.37,1.85,6.23,6.32,-0.29,5.16,5.93,5.85,-2.84,4.13,5.30,6.83,5.12,5.19,4.70,3.57,-1.14,0.66,4.08,5.39
1953,3.36,8.21,3.58,4.04,7.83,8.02,2.20,6.94,7.63,7.58,-0.26,6.02,7.08,8.44,6.89,6.96,6.58,5.55,1.45,3.04,5.96,7.22
1954,2.09,6.77,2.07,2.64,6.58,6.65,0.80,5.56,6.27,6.17,-1.25,4.61,5.70,6.98,5.56,5.68,5.29,4.08,0.30,1.77,4.61,5.82
1955,0.90,6.65,1.72,2.02,6.55,6.47,-0.27,5.36,6.14,5.97,-3.84,4.36,5.53,6.86,5.36,5.40,4.90,3.93,-1.68,0.47,4.32,5.68
1956,0.66,5.81,1.03,1.31,5.51,5.85,-0.44,4.66,5.26,5.23,-3.27,3.50,4.66,6.12,4.36,4.38,3.95,3.20,-1.58,0.15,3.36,5.01
1957,2.16,7.32,2.32,2.73,7.01,7.26,0.80,6.06,6.70,6.69,-1.52,4.91,6.08,7.63,5.77,5.81,5.40,4.51,0.10,1.70,4.79,6.35
1958,1.25,6.57,1.44,1.82,6.34,6.44,-0.14,5.25,5.98,5.89,-2.47,4.08,5.31,6.90,5.06,5.10,4.64,3.64,-0.94,0.59,4.01,5.49
1959,3.20,8.25,3.37,3.88,7.96,8.13,1.95,6.98,7.67,7.61,-0.49,5.91,7.07,8.50,6.83,6.92,6.51,5.38,1.23,2.84,5.83,7.18
1960,1.93,7.04,2.14,2.63,6.82,6.82,0.54,5.71,6.48,6.38,-1.67,4.75,5.89,7.33,5.72,5.82,5.38,4.17,-0.21,1.40,4.70,5.88
1961,3.05,8.01,3.27,3.87,7.99,7.82,1.86,6.77,7.56,7.38,-0.81,5.83,7.00,8.20,6.85,6.95,6.53,5.23,1.12,2.87,5.84,7.00
1962,1.18,6.33,1.36,1.89,6.16,6.13,-0.03,4.99,5.77,5.64,-2.64,3.97,5.15,6.56,5.01,5.09,4.64,3.42,-0.85,0.79,3.95,5.26
1963,1.69,6.19,1.62,2.25,6.13,6.02,0.71,4.90,5.74,5.56,-1.57,3.95,5.11,6.43,5.02,5.16,4.75,3.38,0.01,1.44,3.99,5.09
1964,2.35,7.00,2.43,3.00,6.78,6.85,1.26,5.77,6.49,6.38,-1.10,4.88,5.96,7.21,5.80,5.85,5.47,4.32,0.57,2.07,4.82,6.04
1965,1.23,6.28,1.47,2.01,6.07,6.15,0.12,4.94,5.72,5.59,-2.67,4.01,5.13,6.55,5.00,5.08,4.68,3.48,-0.73,0.97,4.00,5.28
1966,0.54,6.37,1.03,1.41,5.91,6.15,-0.77,4.93,5.67,5.67,-3.82,3.81,5.01,6.75,4.72,4.75,4.28,3.25,-1.92,-0.07,3.67,5.14
1967,2.25,7.77,2.58,3.04,7.35,7.53,0.91,6.37,7.13,7.06,-1.76,5.29,6.49,8.05,6.22,6.24,5.79,4.72,-0.05,1.74,5.19,6.57
1968,1.31,7.36,1.64,2.14,7.03,7.06,-0.10,5.92,6.78,6.63,-3.08,4.62,6.04,7.57,5.72,5.74,5.18,3.90,-1.17,0.66,4.52,5.98
1969,1.35,6.82,1.73,2.16,6.30,6.65,0.08,5.48,6.20,6.15,-2.71,4.47,5.62,7.03,5.35,5.36,4.92,3.88,-0.99,0.76,4.33,5.76
1970,1.18,6.08,1.18,1.67,5.66,5.93,0.02,4.64,5.38,5.36,-2.19,3.59,4.70,6.43,4.50,4.58,4.21,3.18,-0.68,0.81,3.51,4.96
1971,1.92,7.41,2.63,2.97,7.03,7.37,0.86,6.14,6.79,6.79,-2.59,5.18,6.22,7.74,5.98,6.00,5.62,4.82,-0.48,1.55,5.05,6.55
1972,2.77,7.48,2.91,3.50,7.36,7.31,1.51,6.24,7.01,6.86,-0.72,5.52,6.55,7.64,6.45,6.54,6.18,4.84,0.83,2.41,5.49,6.51
1973,2.34,7.71,2.89,3.39,7.53,7.45,1.21,6.32,7.17,7.00,-1.98,5.43,6.58,7.87,6.43,6.46,6.05,4.90,0.17,2.15,5.41,6.60
1974,3.18,7.87,3.41,3.89,7.60,7.84,1.81,6.67,7.32,7.29,-0.34,5.96,6.86,8.13,6.78,6.83,6.53,5.48,1.21,2.83,5.91,7.10
1975,3.38,8.55,3.92,4.43,8.46,8.38,2.06,7.29,8.06,7.91,-0.82,6.53,7.56,8.70,7.45,7.50,7.15,5.96,1.28,3.21,6.52,7.63
1976,1.46,6.87,1.94,2.23,6.26,6.76,0.13,5.49,6.15,6.17,-2.62,4.56,5.61,7.17,5.37,5.34,4.93,4.17,-0.81,0.93,4.42,5.91
1977,1.58,7.14,2.00,2.38,6.59,6.99,0.16,5.74,6.42,6.45,-2.52,4.69,5.81,7.48,5.52,5.54,5.13,4.21,-0.70,1.12,4.56,6.02
1978,1.06,6.80,1.48,1.78,6.34,6.67,-0.40,5.49,6.16,6.15,-3.07,4.26,5.52,7.06,5.15,5.11,4.61,3.78,-1.42,0.35,4.11,5.74
1979,1.20,6.12,1.14,1.73,6.05,5.85,-0.24,4.79,5.61,5.47,-2.15,3.78,5.01,6.40,4.88,5.05,4.56,3.10,-0.67,0.77,3.81,4.90
1980,1.21,6.32,1.53,1.99,6.24,6.24,0.00,5.04,5.75,5.69,-2.64,4.03,5.17,6.69,5.06,5.23,4.78,3.53,-0.95,0.76,4.05,5.36
1981,1.00,6.64,1.45,1.90,6.50,6.44,-0.34,5.27,6.02,5.96,-3.24,4.09,5.33,7.01,5.16,5.29,4.80,3.58,-1.35,0.53,4.07,5.43
1982,2.29,7.36,2.53,2.94,7.14,7.22,0.98,6.04,6.73,6.71,-1.45,5.08,6.16,7.71,6.00,6.10,5.69,4.64,0.27,1.84,5.03,6.36
1983,2.50,7.84,3.08,3.40,7.68,7.68,1.26,6.55,7.24,7.19,-1.73,5.58,6.66,8.15,6.46,6.56,6.12,5.23,0.26,2.15,5.49,6.86
1984,2.54,7.45,2.89,3.36,7.42,7.39,1.28,6.28,6.97,6.87,-1.30,5.43,6.49,7.69,6.38,6.52,6.13,4.92,0.50,2.20,5.43,6.57
1985,0.07,5.54,0.34,0.63,5.25,5.39,-1.11,4.18,4.89,4.88,-3.83,2.92,4.16,6.00,3.89,3.97,3.47,2.55,-2.26,-0.64,2.81,4.41
1986,1.45,6.37,1.76,2.16,6.38,6.16,0.22,5.08,5.87,5.73,-2.21,4.21,5.32,6.70,5.23,5.37,4.90,3.74,-0.60,1.01,4.22,5.33
1987,0.62,5.52,0.72,1.11,5.25,5.42,-0.34,4.20,4.89,4.87,-2.92,3.05,4.23,5.97,4.02,4.19,3.74,2.72,-1.29,0.18,2.98,4.41
1988,2.38,7.54,2.83,3.23,7.25,7.52,1.33,6.27,6.88,6.92,-1.76,5.17,6.27,7.99,6.05,6.21,5.83,4.90,0.31,2.13,5.09,6.62
1989,3.70,8.81,4.04,4.50,8.56,8.57,2.37,7.47,8.19,8.13,-0.12,6.56,7.65,9.06,7.46,7.56,7.16,6.09,1.66,3.41,6.49,7.74
1990,3.76,8.95,4.07,4.46,8.64,8.71,2.46,7.55,8.31,8.25,-0.05,6.58,7.71,9.20,7.50,7.58,7.17,6.13,1.69,3.34,6.51,7.81
1991,2.75,7.62,3.11,3.60,7.63,7.44,1.58,6.35,7.09,6.96,-1.08,5.53,6.57,7.88,6.51,6.66,6.28,5.08,0.80,2.54,5.56,6.66
1992,3.22,8.29,3.60,4.06,8.18,8.07,1.85,6.91,7.66,7.58,-0.56,6.09,7.12,8.61,7.05,7.19,6.80,5.62,1.14,2.83,6.10,7.22
1993,2.25,7.16,2.51,3.09,7.28,6.86,0.92,5.82,6.65,6.47,-1.44,4.99,6.09,7.40,6.05,6.27,5.86,4.43,0.32,1.97,5.04,5.99
1994,2.21,7.94,2.54,2.97,7.58,7.69,0.58,6.51,7.22,7.22,-1.77,5.39,6.60,8.30,6.36,6.44,5.94,4.76,-0.18,1.54,5.30,6.64
1995,2.40,7.64,2.66,3.18,7.47,7.38,1.06,6.17,6.97,6.91,-1.48,5.15,6.33,7.97,6.19,6.38,5.94,4.69,0.43,2.16,5.16,6.41
1996,1.72,6.31,1.79,2.36,6.27,6.05,0.41,4.99,5.79,5.64,-1.60,4.28,5.28,6.57,5.30,5.46,5.06,3.67,-0.00,1.38,4.32,5.26
1997,3.01,7.75,3.50,3.95,7.74,7.51,1.90,6.43,7.24,7.07,-0.83,5.78,6.74,8.04,6.74,6.89,6.53,5.40,1.11,2.87,5.81,6.80
1998,2.18,7.35,2.71,3.13,7.14,7.14,1.16,5.99,6.71,6.68,-1.99,5.08,6.13,7.73,6.00,6.15,5.75,4.69,0.09,1.96,5.05,6.26
1999,2.86,8.16,3.38,3.84,8.15,7.87,1.59,6.79,7.63,7.49,-1.24,5.94,7.07,8.48,7.02,7.19,6.70,5.39,0.61,2.47,5.98,6.97
2000,3.75,8.74,4.16,4.61,8.58,8.49,2.44,7.48,8.19,8.10,-0.09,6.67,7.67,9.03,7.55,7.67,7.31,6.19,1.69,3.41,6.64,7.76
2001,2.45,7.69,2.81,3.41,7.73,7.33,1.12,6.27,7.16,6.96,-1.47,5.49,6.64,7.96,6.53,6.70,6.25,4.85,0.21,2.08,5.52,6.46
2002,3.03,8.31,3.54,4.03,8.24,8.16,1.90,6.99,7.76,7.63,-1.16,6.08,7.21,8.64,7.07,7.14,6.71,5.59,0.77,2.69,6.05,7.28
2003,2.96,7.69,3.33,3.77,7.67,7.60,1.86,6.41,7.18,7.01,-0.74,5.66,6.73,8.07,6.59,6.72,6.30,5.24,0.95,2.60,5.61,6.83
2004,3.00,7.73,3.36,3.92,7.68,7.63,1.94,6.47,7.22,7.05,-0.74,5.73,6.77,8.04,6.64,6.76,6.35,5.31,0.99,2.73,5.69,6.91
2005,3.31,7.97,3.60,4.15,7.88,7.81,2.09,6.71,7.47,7.28,-0.26,6.02,7.04,8.26,6.92,7.04,6.63,5.58,1.38,2.98,5.93,7.13
2006,3.56,8.51,4.04,4.54,8.46,8.35,2.48,7.24,8.01,7.83,-0.42,6.44,7.53,8.80,7.38,7.52,7.09,5.99,1.47,3.29,6.39,7.60
2007,3.38,8.55,3.69,4.24,8.43,8.40,2.04,7.22,7.96,7.84,-0.47,6.25,7.39,8.88,7.21,7.37,6.94,5.79,1.27,2.99,6.21,7.51
2008,3.59,8.72,4.04,4.60,8.74,8.61,2.39,7.48,8.23,8.08,-0.59,6.66,7.73,9.01,7.59,7.76,7.32,6.18,1.48,3.35,6.60,7.82
2009,2.89,7.89,3.17,3.60,7.82,7.80,1.68,6.61,7.33,7.25,-0.87,5.69,6.77,8.22,6.63,6.72,6.25,5.25,0.84,2.49,5.59,6.92
2010,1.03,6.44,1.09,1.61,6.37,6.07,-0.56,4.98,5.85,5.72,-2.50,3.90,5.13,6.68,5.01,5.20,4.57,3.23,-1.19,0.37,3.87,5.08
2011,3.75,8.26,3.97,4.51,8.35,8.17,2.59,7.01,7.80,7.63,0.28,6.33,7.38,8.59,7.25,7.39,6.96,5.91,1.91,3.50,6.27,7.42
2012,2.32,7.64,2.77,3.27,7.52,7.49,1.01,6.27,7.06,6.98,-1.73,5.38,6.47,7.95,6.35,6.46,5.99,4.87,0.02,1.89,5.31,6.59
2013,3.13,7.87,3.26,3.84,7.97,7.70,1.78,6.53,7.38,7.22,-0.29,5.75,6.83,8.13,6.74,6.93,6.47,5.25,1.24,2.80,5.72,6.83
2014,4.01,9.21,4.52,4.75,8.62,9.24,2.85,7.97,8.54,8.62,-0.10,6.96,7.96,9.63,7.69,7.66,7.31,6.69,1.89,3.66,6.79,8.37
2015,3.73,8.70,3.96,4.54,8.69,8.40,2.50,7.33,8.12,7.99,0.03,6.48,7.55,8.85,7.49,7.66,7.24,5.88,1.80,3.47,6.53,7.54
2016,3.28,8.43,3.42,3.89,8.14,8.17,1.92,7.02,7.80,7.70,-0.26,6.01,7.18,8.65,7.00,7.09,6.64,5.48,1.20,2.75,5.97,7.27
2017,2.97,8.26,3.30,3.75,7.90,8.06,1.79,6.85,7.61,7.55,-0.97,5.81,6.98,8.54,6.81,6.89,6.46,5.29,0.88,2.59,5.77,7.06
2018,3.41,8.89,3.61,4.17,8.60,8.66,1.96,7.47,8.23,8.18,-0.50,6.37,7.62,9.20,7.46,7.54,7.07,5.72,1.21,2.92,6.37,7.63
2019,3.17,8.99,3.62,4.14,8.77,8.69,1.84,7.50,8.32,8.22,-1.24,6.34,7.62,9.27,7.43,7.62,7.09,5.76,0.82,2.78,6.36,7.67
2020,4.32,9.44,4.70,5.33,9.53,9.30,3.04,8.20,8.92,8.79,0.30,7.29,8.42,9.65,8.38,8.64,8.20,6.69,2.16,4.12,7.42,8.43
