Variable:,tas
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
1901,21.65,21.17,20.43,22.65,22.46
1902,22.02,21.56,20.73,23.07,22.79
1903,22.08,21.65,20.69,23.24,22.78
1904,21.42,20.89,20.33,22.30,22.31
1905,21.99,21.54,20.64,23.11,22.72
1906,21.52,21.04,20.31,22.51,22.36
1907,21.41,20.90,20.25,22.35,22.29
1908,21.86,21.40,20.56,22.94,22.63
1909,21.72,21.26,20.45,22.76,22.50
1910,21.44,20.94,20.25,22.41,22.28
1911,21.43,20.92,20.30,22.35,22.33
1912,21.92,21.50,20.57,23.05,22.64
1913,22.03,21.63,20.65,23.15,22.75
1914,22.52,22.19,21.03,23.71,23.15
1915,22.31,21.93,20.93,23.41,23.03
1916,22.25,21.87,20.86,23.37,22.96
1917,22.16,21.78,20.77,23.27,22.87
1918,21.51,20.96,20.38,22.44,22.42
1919,21.67,21.16,20.46,22.66,22.52
1920,22.28,21.87,20.90,23.41,23.01
1921,21.97,21.50,20.72,22.98,22.79
1922,22.54,22.20,21.04,23.74,23.17
1923,22.15,21.73,20.80,23.25,22.90
1924,21.97,21.50,20.70,23.00,22.77
1925,21.77,21.25,20.60,22.74,22.65
1926,22.05,21.57,20.75,23.12,22.84
1927,21.77,21.27,20.56,22.76,22.62
1928,22.16,21.73,20.79,23.28,22.90
1929,22.09,21.67,20.71,23.22,22.82
1930,21.73,21.24,20.52,22.71,22.57
1931,22.29,21.87,20.85,23.48,22.99
1932,21.80,21.33,20.56,22.82,22.62
1933,21.71,21.26,20.45,22.73,22.52
1934,21.85,21.44,20.44,22.99,22.57
1935,21.48,21.04,20.28,22.39,22.34
1936,21.68,21.21,20.44,22.68,22.51
1937,21.78,21.33,20.46,22.87,22.56
1938,21.98,21.54,20.66,23.05,22.74
1939,21.54,21.05,20.33,22.52,22.39
1940,21.93,21.47,20.63,23.01,22.72
1941,22.32,21.87,20.99,23.43,23.10
1942,22.17,21.73,20.80,23.31,22.92
1943,21.83,21.37,20.52,22.90,22.62
1944,22.02,21.58,20.70,23.11,22.79
1945,21.61,21.13,20.42,22.58,22.46
1946,21.80,21.34,20.53,22.83,22.60
1947,21.98,21.54,20.62,23.09,22.73
1948,22.06,21.59,20.79,23.12,22.88
1949,22.35,21.85,21.14,23.34,23.18
1950,21.67,21.19,20.36,22.76,22.47
1951,21.85,21.35,20.53,22.95,22.67
1952,21.99,21.49,20.72,23.05,22.83
1953,21.90,21.39,20.71,22.87,22.80
1954,21.96,21.46,20.66,23.02,22.80
1955,21.78,21.30,20.53,22.79,22.64
1956,21.54,21.05,20.19,22.65,22.38
1957,22.20,21.75,20.78,23.37,22.99
1958,22.17,21.67,20.87,23.21,23.03
1959,22.17,21.69,20.85,23.24,23.02
1960,21.94,21.47,20.61,23.02,22.75
1961,22.03,21.51,20.75,23.11,22.87
1962,21.66,21.16,20.33,22.78,22.47
1963,21.34,20.83,20.11,22.34,22.19
1964,21.53,21.06,20.26,22.57,22.35
1965,21.26,20.74,20.04,22.28,22.12
1966,22.00,21.52,20.76,23.00,22.84
1967,21.85,21.35,20.55,22.94,22.68
1968,21.69,21.25,20.37,22.75,22.48
1969,22.14,21.64,20.88,23.19,22.98
1970,22.10,21.65,20.78,23.19,22.88
1971,21.67,21.21,20.33,22.79,22.45
1972,21.83,21.37,20.61,22.82,22.67
1973,21.98,21.49,20.71,23.03,22.79
1974,21.36,20.84,20.20,22.34,22.23
1975,21.64,21.16,20.44,22.60,22.48
1976,21.67,21.17,20.45,22.67,22.52
1977,22.16,21.70,20.91,23.17,22.96
1978,21.81,21.31,20.57,22.85,22.64
1979,21.88,21.41,20.63,22.89,22.70
1980,21.83,21.34,20.61,22.83,22.68
1981,21.66,21.17,20.56,22.52,22.55
1982,21.82,21.36,20.65,22.75,22.66
1983,22.80,22.37,21.59,23.75,23.58
1984,22.04,21.61,20.79,23.06,22.80
1985,21.72,21.28,20.48,22.71,22.50
1986,21.78,21.31,20.53,22.82,22.57
1987,22.52,22.08,21.32,23.45,23.34
1988,22.17,21.68,20.99,23.12,23.04
1989,21.70,21.22,20.51,22.70,22.50
1990,22.29,21.83,21.12,23.22,23.12
1991,22.08,21.58,20.85,23.14,22.87
1992,22.60,22.16,21.29,23.68,23.33
1993,22.22,21.73,20.89,23.36,22.98
1994,22.31,21.87,21.16,23.19,23.16
1995,22.76,22.35,21.51,23.74,23.52
1996,22.32,21.89,21.07,23.31,23.12
1997,22.42,21.98,21.21,23.35,23.25
1998,22.75,22.31,21.48,23.77,23.56
1999,22.11,21.61,20.87,23.14,22.95
2000,22.13,21.65,20.93,23.11,22.98
2001,22.35,21.87,21.11,23.36,23.17
2002,22.52,22.07,21.27,23.51,23.33
2003,22.62,22.14,21.43,23.59,23.47
2004,22.46,22.02,21.17,23.49,23.23
2005,23.24,22.84,21.94,24.27,24.00
2006,22.58,22.19,21.16,23.73,23.29
2007,22.62,22.21,21.24,23.73,23.35
2008,22.37,21.96,20.98,23.48,23.10
