Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1901,5.68,2.07,5.83,5.75,9.05,8.64,4.00,3.10,9.45,11.82,11.14,2.08,1.21,2.25,10.97,7.49,7.25
1902,5.72,1.80,5.55,6.53,8.29,9.37,4.42,2.71,9.92,11.11,10.71,1.88,0.67,2.47,11.65,6.42,8.01
1903,4.99,1.37,5.26,4.82,8.67,7.75,3.31,2.55,8.62,11.28,10.56,1.22,0.65,1.27,10.09,7.28,6.31
1904,5.72,2.59,5.18,6.41,7.89,8.92,4.49,3.11,9.09,10.69,10.18,2.94,1.87,3.09,10.91,6.18,7.67
1905,5.17,1.74,5.28,5.22,8.39,8.15,3.59,2.84,8.78,11.01,10.38,1.60,1.09,1.57,10.37,6.99,6.69
1906,5.80,2.40,5.80,6.13,8.91,8.98,4.35,3.36,9.42,11.41,10.73,2.20,1.65,2.13,11.10,7.49,7.62
1907,4.71,1.15,4.33,5.49,7.13,8.23,3.45,1.92,8.44,10.13,9.60,1.30,0.27,1.59,10.31,5.44,6.93
1908,4.51,0.68,3.62,5.80,6.47,8.64,3.32,1.31,8.52,9.80,9.29,1.12,-0.18,1.77,10.78,4.61,7.39
1909,5.96,2.47,5.75,6.64,8.32,9.66,4.64,3.53,9.96,11.21,10.76,2.18,1.77,2.30,11.83,6.63,8.31
1910,5.54,1.90,5.46,6.00,8.53,9.03,4.17,2.95,9.39,11.42,10.81,1.59,1.05,1.73,11.17,6.92,7.62
1911,5.03,1.78,4.47,6.00,6.92,8.73,3.86,2.56,8.66,9.39,8.97,1.87,1.07,2.13,10.66,5.52,7.47
1912,5.31,1.41,5.27,6.23,8.08,9.37,3.93,2.63,9.38,11.03,10.44,1.05,0.51,1.31,11.40,6.39,8.01
1913,5.98,2.63,6.07,6.04,8.75,9.02,4.63,3.56,9.87,11.35,10.83,2.60,1.76,2.44,11.39,7.15,7.56
1914,6.20,2.41,5.96,7.07,8.67,9.93,4.88,3.30,10.24,11.50,11.02,2.54,1.38,2.94,12.14,6.91,8.59
1915,6.72,3.23,6.46,7.32,8.99,10.49,5.52,4.08,10.85,11.86,11.42,3.13,2.39,3.14,12.74,7.14,9.11
1916,5.34,1.94,5.04,6.11,7.74,8.94,4.04,2.87,8.98,10.93,10.23,1.80,1.19,1.96,10.89,5.96,7.69
1917,6.08,2.35,5.88,6.81,8.63,9.99,4.69,3.40,10.07,11.76,11.10,2.19,1.60,2.55,12.09,6.80,8.66
1918,5.09,1.84,4.67,5.78,7.78,8.45,3.69,2.45,8.46,10.91,10.06,1.88,1.13,1.95,10.32,6.05,7.21
1919,5.01,1.16,4.70,5.82,7.77,8.63,3.70,2.09,8.82,11.10,10.43,1.22,0.14,1.84,10.56,5.68,7.28
1920,4.96,2.09,4.96,4.80,7.72,7.69,3.57,2.88,8.16,10.32,9.79,1.95,1.50,1.76,9.65,6.21,6.20
1921,5.90,2.91,5.90,6.05,8.41,8.77,4.56,3.76,9.31,10.76,10.36,2.92,2.18,2.77,10.76,6.92,7.30
1922,6.31,2.97,5.96,7.04,8.58,9.90,5.12,3.74,10.11,11.54,11.03,2.93,2.09,2.98,11.87,6.84,8.54
1923,6.28,3.55,5.97,6.69,8.54,9.10,5.08,4.19,9.45,11.53,10.85,3.51,2.78,3.34,10.84,6.85,7.75
1924,5.72,2.42,5.45,6.34,8.05,9.08,4.40,3.30,9.33,11.00,10.39,2.44,1.67,2.62,11.05,6.41,7.81
1925,6.77,3.53,7.00,6.91,9.55,9.78,5.45,4.62,10.51,11.83,11.31,3.21,2.65,3.18,11.82,8.13,8.35
1926,5.69,2.00,5.24,6.67,7.94,9.46,4.43,2.88,9.56,10.96,10.39,2.13,1.18,2.66,11.46,6.18,8.24
1927,5.52,1.92,5.11,6.53,7.81,9.41,4.28,2.88,9.23,10.88,10.23,1.84,1.14,2.28,11.26,6.11,8.16
1928,4.59,1.07,3.90,5.66,6.56,8.30,3.34,1.89,8.14,9.62,8.97,1.49,0.45,1.94,10.25,4.95,7.11
1929,4.59,1.44,4.06,5.27,6.43,7.91,3.47,2.33,8.27,9.71,9.04,1.43,0.74,1.60,10.04,4.79,6.56
1930,5.32,2.12,5.37,5.54,8.09,8.20,3.94,3.14,8.90,10.83,10.09,1.93,1.34,1.92,10.31,6.60,6.81
1931,4.87,1.81,4.58,5.34,7.24,8.07,3.53,2.77,8.21,10.13,9.39,1.80,1.38,1.61,10.12,5.71,6.65
1932,6.03,3.27,5.68,6.36,8.06,8.70,4.87,3.94,9.25,10.64,10.19,3.54,2.55,3.32,10.64,6.72,7.33
1933,4.96,1.29,4.54,6.14,6.98,8.80,3.73,2.19,8.70,10.22,9.75,1.31,0.34,1.97,10.75,5.25,7.57
1934,4.43,1.11,3.97,4.90,7.18,7.59,2.90,2.02,7.71,10.57,9.67,1.40,0.67,1.38,9.60,5.57,6.30
1935,5.41,2.22,5.42,5.46,8.17,8.18,4.05,3.27,9.05,11.33,10.58,2.13,1.51,1.92,10.42,6.48,6.68
1936,5.68,2.54,5.76,5.57,8.55,8.63,4.23,3.64,9.35,11.42,10.73,2.29,2.00,1.90,10.97,6.94,7.06
1937,5.05,1.40,5.51,4.84,8.62,8.01,3.44,2.68,8.90,11.49,10.68,1.14,0.61,1.02,10.25,7.06,6.32
1938,5.78,1.91,5.78,6.31,9.09,9.22,4.19,2.86,9.47,12.06,11.27,2.00,1.07,2.23,11.23,7.57,7.83
1939,5.89,2.17,5.61,6.65,8.40,9.57,4.50,3.12,9.67,11.41,10.84,2.39,1.40,2.68,11.60,6.72,8.15
1940,6.34,2.72,6.19,7.34,8.36,10.16,5.30,3.60,10.32,11.40,10.98,2.62,1.46,3.13,12.03,6.45,8.84
1941,5.67,1.18,4.88,7.72,7.33,10.41,4.51,1.93,10.11,10.95,10.65,1.48,-0.22,3.16,12.43,5.14,9.36
1942,5.23,1.74,4.36,6.38,6.48,9.16,4.20,2.23,9.23,10.09,9.71,2.30,0.97,2.71,11.25,4.55,7.79
1943,5.06,1.40,4.82,5.93,7.77,8.47,3.45,2.54,8.40,10.80,10.01,1.70,0.95,2.09,10.30,6.19,7.40
1944,6.38,3.05,6.62,6.29,9.09,9.62,5.12,4.19,10.39,11.92,11.41,2.70,2.26,2.37,11.84,7.33,7.81
1945,4.69,1.16,4.02,5.90,6.50,8.48,3.57,1.79,8.27,9.83,9.27,1.47,0.21,2.16,10.39,4.64,7.19
1946,5.49,1.55,5.65,6.04,8.57,8.83,3.81,2.77,9.25,11.33,10.77,1.75,0.80,2.25,10.98,6.90,7.60
1947,5.72,1.90,5.63,6.38,8.51,9.48,4.26,2.88,9.67,11.48,10.89,1.88,1.04,2.14,11.65,6.81,8.03
1948,6.33,2.87,6.64,6.47,9.36,9.09,4.91,3.97,10.00,11.83,11.26,2.86,2.05,3.00,11.15,7.71,7.66
1949,4.89,1.59,4.72,5.38,7.70,7.88,3.40,2.56,8.09,10.44,9.68,1.76,1.06,1.88,9.67,6.37,6.66
1950,4.57,1.07,4.21,5.42,7.26,8.04,3.10,1.95,7.73,10.33,9.49,1.32,0.45,1.54,9.76,5.80,6.87
1951,5.62,2.44,5.45,5.90,8.13,8.58,4.33,3.32,8.94,11.00,10.27,2.72,1.81,2.67,10.56,6.47,7.17
1952,5.20,1.62,5.33,5.48,8.03,8.64,3.76,2.88,9.10,11.19,10.43,1.34,0.80,1.40,10.85,6.27,7.04
1953,5.86,2.39,5.57,6.45,8.09,9.10,4.65,3.21,9.60,11.08,10.59,2.68,1.42,3.10,11.17,6.23,7.75
1954,4.23,0.47,4.39,4.58,7.29,7.68,2.66,1.83,8.07,10.63,9.82,0.04,-0.33,0.39,9.88,5.64,6.25
1955,6.27,2.57,6.21,6.54,9.16,9.66,4.95,3.47,10.22,12.23,11.61,2.68,1.52,2.91,11.91,7.23,7.95
1956,5.10,1.64,4.63,6.27,6.78,9.10,4.03,2.43,8.93,9.95,9.56,1.69,0.65,2.02,11.02,4.89,7.92
1957,5.66,2.38,5.78,5.74,8.87,8.28,4.14,3.50,9.02,11.67,10.84,2.29,1.74,2.30,10.13,7.40,7.15
1958,5.62,1.86,5.69,6.23,8.50,9.00,3.94,3.09,9.60,11.37,10.87,1.74,1.26,2.13,11.35,6.72,7.86
1959,4.87,1.65,4.29,5.80,6.86,8.65,3.59,2.39,8.41,9.89,9.29,1.63,1.00,1.78,10.72,5.32,7.35
1960,4.67,0.79,4.65,5.21,7.94,8.20,2.89,2.00,8.56,11.04,10.35,0.51,0.05,0.97,10.57,6.33,6.87
1961,6.62,3.28,6.71,6.86,9.46,9.79,5.18,4.28,10.45,12.26,11.73,3.07,2.53,2.93,11.94,7.62,8.28
1962,6.94,3.99,6.77,7.22,9.63,9.78,5.68,4.79,10.23,12.37,11.61,3.86,3.31,3.78,11.63,7.93,8.46
1963,6.91,3.86,6.41,7.60,8.65,10.30,5.97,4.39,10.58,11.53,11.15,4.05,2.82,4.14,12.29,6.68,8.92
1964,5.26,1.97,4.96,5.72,7.68,8.41,3.93,2.76,8.83,10.64,10.06,2.23,1.17,2.33,10.39,5.93,7.17
1965,6.49,3.47,6.17,7.27,8.45,9.96,5.41,4.07,10.04,11.13,10.75,3.34,2.60,3.38,11.74,6.79,8.70
1966,6.12,2.00,6.46,6.53,9.75,9.67,4.55,3.24,10.19,12.74,11.92,1.53,0.80,2.15,11.87,7.99,8.11
1967,6.27,3.23,6.59,6.14,9.08,9.28,4.93,4.22,9.88,11.46,10.99,3.04,2.62,2.31,11.37,7.55,7.59
1968,5.69,2.14,5.45,6.51,8.36,9.27,4.37,2.98,9.47,11.51,10.87,1.95,1.06,2.35,11.28,6.40,8.07
1969,4.17,0.59,3.95,5.04,6.73,7.86,2.93,1.34,8.04,9.79,9.16,0.33,-0.47,0.75,9.80,4.88,6.73
