Variable:,tas
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1901,5.17,3.52,9.40,7.91,3.64,8.37,7.00,8.63,3.96,9.60,6.55,-0.10
1902,5.37,3.68,9.82,8.25,3.48,8.75,7.28,8.96,4.16,10.06,6.84,-0.06
1903,5.46,3.77,9.81,8.29,3.84,8.74,7.28,8.95,4.27,10.00,6.86,0.14
1904,5.27,3.59,9.66,8.12,3.52,8.58,7.14,8.80,4.07,9.85,6.70,-0.09
1905,5.32,3.60,9.51,8.15,3.77,8.53,7.08,8.81,4.18,9.73,6.73,-0.00
1906,4.70,2.95,9.00,7.57,3.10,7.98,6.46,8.22,3.54,9.21,6.12,-0.65
1907,5.00,3.28,9.27,7.83,3.41,8.28,6.79,8.53,3.83,9.50,6.42,-0.36
1908,4.72,2.97,9.02,7.59,3.15,8.00,6.46,8.23,3.57,9.21,6.13,-0.63
1909,4.52,2.74,9.04,7.47,2.85,7.87,6.26,8.00,3.35,9.24,5.91,-0.91
1910,4.21,2.44,8.76,7.17,2.50,7.58,5.97,7.72,3.04,8.93,5.62,-1.23
1911,4.57,2.82,9.05,7.50,2.98,7.87,6.25,7.99,3.43,9.18,5.93,-0.79
1912,4.35,2.58,8.86,7.31,2.68,7.68,6.08,7.83,3.18,9.02,5.74,-1.07
1913,4.22,2.51,8.60,7.07,2.66,7.46,5.92,7.62,3.07,8.81,5.56,-1.09
1914,5.61,3.86,10.09,8.52,3.97,8.96,7.35,9.12,4.42,10.27,6.99,0.19
1915,4.25,2.38,9.10,7.41,2.32,7.88,6.04,7.93,3.03,9.22,5.72,-1.40
1916,4.78,3.04,9.31,7.72,3.19,8.15,6.47,8.26,3.59,9.43,6.09,-0.63
1917,4.15,2.47,8.50,7.01,2.64,7.39,5.85,7.59,3.01,8.59,5.48,-1.19
1918,4.65,2.95,9.03,7.50,3.09,7.93,6.38,8.11,3.48,9.20,5.99,-0.71
1919,4.95,3.20,9.40,7.83,3.39,8.27,6.64,8.44,3.77,9.59,6.30,-0.41
1920,5.41,3.68,9.80,8.26,3.85,8.72,7.13,8.93,4.24,9.99,6.78,0.06
1921,4.92,3.20,9.16,7.71,3.51,8.12,6.61,8.35,3.74,9.35,6.23,-0.32
1922,4.81,3.01,9.42,7.84,3.03,8.28,6.58,8.46,3.60,9.59,6.28,-0.73
1923,4.60,2.84,9.03,7.50,3.09,7.91,6.27,8.12,3.41,9.14,5.94,-0.74
1924,4.77,3.02,9.20,7.68,3.15,8.12,6.51,8.34,3.59,9.39,6.18,-0.64
1925,4.91,3.19,9.10,7.71,3.49,8.10,6.62,8.35,3.73,9.30,6.24,-0.34
1926,4.80,3.08,9.11,7.63,3.31,8.08,6.55,8.29,3.60,9.33,6.16,-0.53
1927,4.97,3.21,9.39,7.86,3.37,8.31,6.73,8.51,3.77,9.60,6.37,-0.44
1928,4.82,3.06,9.29,7.74,3.19,8.19,6.60,8.37,3.62,9.47,6.22,-0.57
1929,4.93,3.13,9.52,7.93,3.20,8.39,6.73,8.54,3.71,9.69,6.37,-0.54
1930,5.39,3.65,9.82,8.25,3.80,8.68,7.14,8.87,4.21,9.96,6.77,0.02
1931,4.50,2.68,9.13,7.53,2.71,8.00,6.33,8.14,3.27,9.28,5.97,-1.02
1932,5.33,3.65,9.61,8.06,3.84,8.53,7.11,8.78,4.14,9.85,6.71,0.04
1933,4.72,2.98,9.17,7.57,3.18,8.01,6.44,8.19,3.53,9.31,6.07,-0.61
1934,4.71,3.04,8.96,7.41,3.30,7.85,6.41,8.08,3.55,9.18,6.00,-0.52
1935,5.53,3.79,9.97,8.41,3.80,8.89,7.38,9.11,4.32,10.22,6.98,0.07
1936,4.21,2.48,8.64,7.05,2.64,7.49,5.95,7.69,3.07,8.79,5.58,-1.15
1937,5.23,3.41,9.97,8.32,3.39,8.78,7.01,8.93,4.01,10.08,6.72,-0.34
