Variable:,tas
,Kiribati,"Administrative unit not available"
1901,27.49,27.65
1902,27.49,27.65
1903,27.49,27.65
1904,27.49,27.65
1905,27.49,27.65
1906,27.49,27.65
1907,27.49,27.65
1908,27.49,27.65
1909,27.49,27.65
1910,27.49,27.65
1911,27.49,27.65
1912,27.49,27.65
1913,27.49,27.65
1914,27.49,27.65
1915,27.49,27.65
1916,27.49,27.65
1917,27.49,27.65
1918,27.49,27.65
1919,27.49,27.65
1920,27.49,27.65
1921,27.49,27.60
1922,28.07,28.02
1923,28.33,28.15
1924,28.06,27.96
1925,28.08,28.12
1926,27.49,27.65
1927,27.49,27.88
1928,27.49,27.86
1929,28.02,28.16
1930,28.20,28.18
1931,27.49,27.75
1932,27.49,27.79
1933,27.49,27.76
1934,27.49,27.78
1935,27.49,27.78
1936,27.49,27.66
1937,27.49,27.71
1938,27.49,27.63
1939,27.49,27.64
1940,27.49,27.60
1941,27.49,27.63
1942,27.49,27.67
1943,27.49,27.66
1944,27.49,27.66
1945,27.49,27.66
1946,27.49,27.66
1947,27.49,27.66
1948,27.49,27.49
1949,27.49,27.52
1950,27.49,27.52
1951,27.54,27.70
1952,27.06,27.42
1953,26.69,27.12
1954,26.89,27.26
1955,27.14,27.32
1956,27.05,27.33
1957,27.06,27.37
1958,27.37,27.61
1959,27.49,27.71
1960,27.49,27.67
1961,27.49,27.63
1962,27.49,27.65
1963,27.79,27.86
1964,27.49,27.55
1965,27.49,27.56
1966,27.49,27.67
1967,27.53,27.64
1968,27.48,27.61
1969,27.86,27.92
1970,27.32,27.50
1971,26.75,27.04
1972,27.43,27.55
1973,27.03,27.37
1974,27.21,27.42
1975,26.99,27.20
1976,27.19,27.34
1977,27.85,27.87
1978,27.57,27.74
1979,27.64,27.77
1980,27.85,27.93
1981,27.46,27.68
1982,27.87,27.94
1983,27.81,27.96
1984,27.33,27.61
1985,27.44,27.72
1986,27.68,27.85
1987,28.11,28.08
1988,27.48,27.64
1989,27.14,27.40
1990,27.53,27.72
1991,27.49,27.68
1992,27.49,27.68
1993,27.49,27.64
1994,27.49,27.70
1995,27.49,27.74
1996,27.49,27.71
1997,27.49,27.71
1998,27.49,27.74
1999,27.49,27.62
2000,27.49,27.68
2001,27.49,27.74
2002,27.49,27.75
2003,27.49,27.75
2004,27.49,27.76
2005,27.49,27.76
2006,27.49,27.74
2007,27.49,27.72
2008,27.49,27.69
2009,27.49,27.71
2010,27.49,27.65
2011,27.49,27.68
2012,27.49,27.75
2013,27.49,27.74
2014,27.49,27.75
2015,27.49,27.76
2016,27.49,27.77
2017,27.49,27.76
2018,27.49,27.75
2019,27.49,27.80
2020,27.49,27.86
