Variable:,tas
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1901,6.50,14.65,9.27,15.56,17.28,5.21,20.40,20.01,15.15,23.97,8.57,1.15,13.70,14.99,16.25,13.94,16.95,4.36,7.28,3.26,7.27,-2.48,10.09,12.26,15.07,7.95,8.75,11.94,5.11,-2.71,15.08,15.07
1902,6.59,15.47,10.00,15.60,17.88,5.21,20.98,20.49,15.32,24.48,9.30,0.15,14.37,15.31,16.67,14.85,17.51,3.85,7.50,3.16,7.27,-2.62,10.18,13.25,15.84,8.43,8.52,12.81,5.40,-2.82,14.80,15.78
1903,6.41,14.82,9.57,15.54,17.22,5.21,20.25,19.81,15.06,23.74,8.86,1.09,13.91,15.02,16.13,14.24,16.90,4.41,7.48,3.30,7.27,-2.54,10.12,12.63,15.32,8.14,8.66,12.28,4.63,-2.86,14.97,15.13
1904,6.42,14.86,9.57,15.54,17.17,5.21,20.19,19.81,15.06,23.75,8.85,0.34,13.95,15.05,16.13,14.28,16.90,3.94,7.33,2.91,7.27,-2.58,10.13,12.67,15.34,8.15,8.57,12.31,5.35,-2.95,14.85,15.16
1905,6.29,15.01,9.18,15.04,17.62,5.16,20.59,19.89,14.93,23.80,8.53,0.66,13.69,14.72,16.16,14.41,17.16,3.95,7.09,3.11,7.19,-2.62,9.74,12.54,15.61,7.90,8.44,11.95,4.79,-3.25,14.77,15.53
1906,6.35,14.84,8.79,15.07,17.71,5.16,20.63,19.90,14.93,23.89,8.18,0.32,13.51,14.69,16.14,14.13,17.17,3.43,6.50,2.94,7.20,-2.56,9.72,12.20,15.46,7.72,8.52,11.54,5.23,-2.88,14.96,15.56
1907,6.37,14.96,9.15,15.32,17.54,5.18,20.62,20.03,15.05,24.01,8.52,0.61,13.78,14.87,16.27,14.32,17.18,3.79,6.88,3.13,7.23,-2.59,9.94,12.53,15.50,7.96,8.53,11.90,4.94,-3.02,14.87,15.45
1908,6.43,15.01,8.85,15.46,17.58,5.20,20.55,19.96,15.09,23.85,8.28,0.47,13.82,14.96,16.29,14.30,17.24,3.50,6.50,3.03,7.26,-2.49,10.02,12.40,15.49,7.92,8.73,11.61,5.13,-2.71,15.05,15.58
1909,6.44,15.11,8.82,15.45,17.86,5.20,20.86,20.19,15.15,24.20,8.27,-0.29,13.88,15.04,16.45,14.41,17.42,3.04,6.30,2.70,7.25,-2.44,10.01,12.47,15.69,7.93,8.78,11.61,5.43,-2.74,15.16,15.77
1910,6.14,14.51,8.36,14.94,17.43,5.13,20.48,19.87,14.90,23.92,7.77,-0.32,13.23,14.41,15.96,13.85,16.93,2.86,6.05,2.50,6.95,-2.55,9.42,11.95,15.14,7.20,8.53,11.17,5.13,-3.03,14.90,15.23
