Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1901,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77
1902,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39
1903,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.48
1904,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
1905,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34
1906,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16
1907,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86
1908,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07
1909,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95
1910,23.94,23.94,23.94,23.94,23.94,23.94,23.94,23.94
1911,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98
1912,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.29
1913,23.66,23.66,23.66,23.66,23.66,23.66,23.66,23.66
1914,24.01,24.01,24.01,24.01,24.01,24.01,24.01,24.01
1915,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.57
1916,24.12,24.12,24.12,24.12,24.12,24.12,24.12,24.12
1917,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95
1918,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.03
1919,24.08,24.08,24.08,24.08,24.08,24.08,24.08,24.08
1920,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91
1921,23.97,23.97,23.97,23.97,23.97,23.97,23.97,23.97
1922,23.84,23.84,23.84,23.84,23.84,23.84,23.84,23.84
1923,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21
1924,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53
1925,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15
1926,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67
1927,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.28
1928,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34
1929,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.03
1930,24.23,24.23,24.23,24.23,24.23,24.23,24.23,24.23
1931,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89
1932,24.90,24.90,24.90,24.90,24.90,24.90,24.90,24.90
1933,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53
1934,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.43
1935,24.28,24.28,24.28,24.28,24.28,24.28,24.28,24.28
1936,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.57
1937,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83
1938,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.36
1939,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53
