Variable:,tas
,"Wallis and Futuna","Administrative unit not available"
1901,26.55,26.51
1902,26.56,26.52
1903,26.33,26.32
1904,26.10,26.13
1905,26.18,26.18
1906,26.58,26.53
1907,26.19,26.19
1908,26.20,26.21
1909,25.99,26.02
1910,26.08,26.10
1911,26.58,26.54
1912,26.91,26.82
1913,26.77,26.70
1914,26.98,26.88
1915,26.47,26.44
1916,26.22,26.22
1917,26.12,26.14
1918,26.30,26.29
1919,26.95,26.85
1920,26.91,26.83
1921,26.76,26.68
1922,26.91,26.80
1923,26.53,26.49
1924,26.88,26.79
1925,26.66,26.60
1926,26.93,26.85
1927,27.00,26.89
1928,26.84,26.77
1929,26.73,26.68
1930,26.78,26.72
1931,26.63,26.58
1932,26.80,26.72
1933,26.74,26.67
1934,26.78,26.70
1935,26.90,26.80
1936,26.93,26.85
1937,26.90,26.80
1938,26.85,26.75
1939,26.63,26.56
1940,27.01,26.92
1941,27.13,27.03
1942,26.91,26.81
1943,26.90,26.83
1944,26.75,26.68
1945,26.79,26.70
1946,26.92,26.85
1947,27.11,27.02
1948,26.81,26.74
1949,26.93,26.86
1950,26.86,26.79
1951,26.91,26.81
1952,27.17,27.08
1953,27.03,26.95
1954,26.90,26.82
1955,26.71,26.64
1956,26.81,26.74
1957,26.98,26.90
1958,27.21,27.11
1959,27.23,27.14
1960,27.08,27.00
1961,26.92,26.87
1962,26.87,26.79
1963,26.93,26.85
1964,26.82,26.76
1965,26.52,26.41
1966,26.79,26.69
1967,26.58,26.51
1968,26.79,26.70
1969,27.00,26.91
1970,26.83,26.74
1971,26.55,26.48
1972,26.76,26.66
1973,26.97,26.90
1974,26.59,26.55
1975,26.77,26.72
1976,26.71,26.64
1977,26.86,26.76
1978,26.80,26.69
1979,27.00,26.88
1980,26.98,26.86
1981,26.98,26.91
1982,27.02,26.92
1983,27.04,26.95
1984,27.01,26.94
1985,27.11,27.03
1986,26.98,26.87
1987,26.83,26.72
1988,27.09,27.02
1989,26.81,26.73
1990,27.26,27.16
1991,27.22,27.08
1992,27.11,26.98
1993,26.90,26.75
1994,27.11,26.98
1995,27.33,27.19
1996,27.37,27.22
1997,27.34,27.20
1998,27.48,27.36
1999,27.32,27.19
2000,27.53,27.40
2001,27.60,27.47
2002,27.67,27.47
2003,27.43,27.30
2004,27.44,27.32
2005,27.70,27.56
2006,27.40,27.26
2007,27.79,27.67
2008,27.34,27.22
2009,27.38,27.23
2010,27.67,27.54
2011,27.29,27.20
2012,27.26,27.13
2013,27.48,27.35
2014,27.31,27.19
2015,27.28,27.16
2016,27.74,27.62
2017,27.63,27.52
2018,27.51,27.40
2019,27.68,27.57
2020,27.79,27.70
