Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1901,9.23,13.93,11.55,7.66,11.92,10.82,8.47,13.69,6.75,6.70,11.46,12.04,10.55,10.87,7.56
1902,8.72,13.41,11.06,7.13,11.48,10.34,7.94,13.20,6.24,6.20,10.92,11.52,10.04,10.40,7.02
1903,9.21,13.94,11.54,7.62,11.91,10.81,8.44,13.73,6.71,6.66,11.45,12.05,10.54,10.83,7.54
1904,9.05,13.61,11.28,7.53,11.64,10.56,8.26,13.34,6.68,6.66,11.19,11.76,10.30,10.64,7.39
1905,9.19,13.97,11.59,7.57,11.96,10.88,8.42,13.78,6.62,6.54,11.46,12.07,10.59,10.88,7.49
1906,8.99,13.72,11.37,7.40,11.73,10.65,8.22,13.49,6.47,6.39,11.23,11.84,10.36,10.68,7.29
1907,9.92,14.70,12.31,8.34,12.64,11.55,9.17,14.52,7.37,7.27,12.20,12.80,11.29,11.59,8.24
1908,9.60,14.34,11.93,8.04,12.27,11.18,8.83,14.15,7.11,7.03,11.86,12.43,10.93,11.22,7.94
1909,10.03,14.79,12.41,8.46,12.76,11.65,9.27,14.58,7.51,7.42,12.29,12.89,11.39,11.69,8.35
1910,10.12,14.85,12.44,8.56,12.79,11.71,9.36,14.63,7.63,7.54,12.36,12.95,11.47,11.78,8.45
1911,9.72,14.47,12.07,8.17,12.44,11.33,8.93,14.30,7.23,7.11,11.97,12.56,11.07,11.36,8.04
1912,9.03,13.81,11.43,7.46,11.81,10.71,8.26,13.61,6.47,6.34,11.29,11.90,10.42,10.73,7.32
1913,9.39,14.14,11.75,7.83,12.11,11.03,8.63,13.94,6.85,6.75,11.64,12.24,10.77,11.09,7.69
1914,9.43,14.13,11.73,7.91,12.10,11.04,8.69,13.91,6.94,6.84,11.65,12.22,10.78,11.14,7.76
1915,9.90,14.75,12.33,8.30,12.71,11.61,9.16,14.67,7.26,7.12,12.21,12.82,11.35,11.64,8.18
1916,10.56,15.33,12.94,8.96,13.26,12.21,9.79,15.15,8.01,7.92,12.83,13.44,11.97,12.24,8.85
1917,10.22,14.85,12.48,8.68,12.80,11.79,9.43,14.61,7.79,7.73,12.39,12.99,11.55,11.89,8.54
