Variable:,tas
,"Macao SAR, China","Administrative unit not available"
1901,22.13,22.13
1902,22.68,22.68
1903,22.01,22.01
1904,21.89,21.89
1905,22.39,22.39
1906,22.47,22.47
1907,22.36,22.36
1908,22.30,22.30
1909,22.63,22.63
1910,22.27,22.27
1911,22.23,22.23
1912,22.36,22.36
1913,22.21,22.21
1914,22.81,22.81
1915,23.03,23.03
1916,22.41,22.41
1917,21.78,21.78
1918,22.13,22.13
1919,22.57,22.57
1920,22.46,22.46
1921,22.48,22.48
1922,22.94,22.94
1923,22.98,22.98
1924,22.97,22.97
1925,22.37,22.37
1926,22.66,22.66
1927,22.58,22.58
1928,23.05,23.05
1929,23.04,23.04
1930,22.98,22.98
1931,23.14,23.14
1932,22.69,22.69
1933,22.97,22.97
1934,22.43,22.43
1935,23.14,23.14
1936,22.55,22.55
1937,23.33,23.33
1938,23.13,23.13
1939,22.91,22.91
1940,23.11,23.11
1941,23.28,23.28
1942,23.15,23.15
1943,23.09,23.09
1944,22.87,22.87
1945,22.28,22.28
1946,23.59,23.59
1947,22.34,22.34
1948,22.94,22.94
1949,23.19,23.19
1950,23.01,23.01
1951,22.57,22.57
1952,23.25,23.25
1953,23.09,23.09
1954,23.02,23.02
1955,22.90,22.90
1956,22.73,22.73
1957,22.66,22.66
1958,23.02,23.02
1959,23.18,23.18
1960,23.19,23.19
1961,23.13,23.13
1962,22.69,22.69
1963,23.10,23.10
1964,22.93,22.93
1965,23.02,23.02
1966,23.50,23.50
1967,22.53,22.53
1968,22.70,22.70
1969,22.45,22.45
1970,22.46,22.46
1971,22.48,22.48
1972,22.71,22.71
1973,23.13,23.13
1974,22.57,22.57
1975,22.73,22.73
1976,22.29,22.29
1977,23.08,23.08
1978,22.83,22.83
1979,22.93,22.93
1980,23.02,23.02
1981,23.00,23.00
1982,22.83,22.83
1983,22.77,22.77
1984,22.22,22.22
1985,22.50,22.50
1986,22.86,22.86
1987,23.53,23.53
1988,22.73,22.73
1989,23.01,23.01
1990,23.25,23.25
1991,23.43,23.43
1992,22.71,22.71
1993,22.98,22.98
1994,23.39,23.39
1995,22.75,22.75
1996,22.83,22.83
1997,23.10,23.10
1998,23.88,23.88
1999,23.48,23.48
2000,23.24,23.24
2001,23.41,23.41
2002,23.73,23.73
2003,23.69,23.69
2004,23.32,23.32
2005,23.17,23.17
2006,23.59,23.59
2007,23.51,23.51
2008,22.81,22.81
2009,23.36,23.36
2010,23.14,23.14
2011,22.58,22.58
2012,23.01,23.01
2013,23.09,23.09
2014,23.44,23.44
2015,23.83,23.83
2016,23.68,23.68
2017,23.77,23.77
2018,23.73,23.73
2019,24.11,24.11
2020,24.13,24.13
