Variable:,tas
1901,25.23
1902,24.98
1903,25.05
1904,24.72
1905,24.93
1906,24.86
1907,24.66
1908,24.77
1909,24.72
1910,24.70
1911,24.76
1912,24.95
1913,24.54
1914,24.71
1915,25.07
1916,24.75
1917,24.77
1918,24.82
1919,24.78
1920,24.68
1921,24.79
1922,24.66
1923,24.84
1924,24.99
1925,24.85
1926,25.17
1927,24.87
1928,24.92
1929,24.73
1930,24.86
1931,25.30
1932,25.32
1933,25.02
1934,24.98
1935,24.67
1936,24.91
1937,25.22
1938,24.76
1939,24.90
1940,25.55
1941,25.62
1942,25.63
1943,25.06
1944,25.24
1945,24.86
1946,24.95
1947,25.22
1948,25.16
1949,24.88
1950,24.67
1951,25.08
1952,25.16
1953,25.00
1954,24.74
1955,24.81
1956,24.81
1957,25.05
1958,25.54
1959,25.26
1960,25.38
1961,25.30
1962,25.21
1963,25.44
1964,25.15
1965,25.16
1966,25.31
1967,25.03
1968,25.14
1969,25.75
1970,25.43
1971,24.96
1972,25.21
1973,25.45
1974,25.12
1975,25.12
1976,25.04
1977,25.48
1978,25.57
1979,25.63
1980,25.90
1981,25.81
1982,25.44
1983,25.90
1984,25.40
1985,25.30
1986,25.50
1987,26.30
1988,25.95
1989,25.45
1990,25.80
1991,25.85
1992,25.73
1993,26.04
1994,25.74
1995,25.99
1996,25.75
1997,25.92
1998,26.44
1999,25.96
2000,25.68
2001,26.04
2002,26.18
2003,26.12
2004,25.88
2005,26.28
2006,26.07
2007,25.97
2008,25.73
2009,26.15
2010,26.44
2011,26.08
2012,26.10
2013,26.19
2014,26.16
2015,26.37
2016,26.35
2017,26.19
2018,25.85
2019,26.15
2020,26.22
