Variable:,tas
1901,20.25
1902,20.38
1903,20.26
1904,20.26
1905,20.29
1906,20.30
1907,20.27
1908,20.39
1909,20.29
1910,20.22
1911,20.23
1912,20.46
1913,20.31
1914,20.36
1915,20.37
1916,20.18
1917,20.14
1918,20.25
1919,20.32
1920,20.23
1921,20.21
1922,20.13
1923,20.42
1924,20.34
1925,20.31
1926,20.62
1927,20.36
1928,20.40
1929,20.44
1930,20.28
1931,20.07
1932,20.19
1933,20.19
1934,20.12
1935,20.26
1936,20.29
1937,20.31
1938,20.32
1939,20.33
1940,20.07
1941,20.23
1942,20.17
1943,20.04
1944,20.16
1945,20.15
1946,20.17
1947,20.18
1948,20.21
1949,20.22
1950,20.03
1951,19.64
1952,19.88
1953,20.01
1954,19.99
1955,19.82
1956,19.66
1957,19.95
1958,20.09
1959,19.83
1960,19.78
1961,20.47
1962,19.76
1963,19.65
1964,19.53
1965,19.51
1966,19.98
1967,20.20
1968,19.65
1969,20.52
1970,20.16
1971,19.77
1972,20.20
1973,20.11
1974,19.56
1975,19.92
1976,20.19
1977,20.50
1978,20.31
1979,20.25
1980,20.20
1981,20.25
1982,20.23
1983,20.22
1984,19.81
1985,19.94
1986,20.00
1987,20.57
1988,20.40
1989,20.11
1990,20.13
1991,20.45
1992,20.14
1993,20.16
1994,20.43
1995,20.28
1996,20.07
1997,20.37
1998,20.65
1999,20.26
2000,20.18
2001,20.63
2002,20.59
2003,20.73
2004,20.60
2005,20.48
2006,20.68
2007,20.71
2008,20.62
2009,21.12
2010,21.16
2011,21.13
2012,20.96
2013,20.89
2014,21.28
2015,21.25
2016,21.00
2017,21.40
2018,21.17
2019,21.55
2020,20.90
