Variable:,tas
,Bhutan,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Monggar,Paro,Pemagatshel,Punakha,Samdrupjongkhar,Samtse,Sarpang,Thimphu,Trashigang,Trashiyangtse,Trongsa,Tsirang,Wangduephodrang,Zhemgang
1901,11.36,6.97,15.24,13.61,1.44,7.41,10.30,17.06,2.89,20.24,4.74,19.31,15.91,18.66,3.25,14.31,11.12,11.98,16.99,9.57,17.21
1902,11.18,6.77,15.08,13.45,1.29,7.26,10.09,16.85,2.74,20.01,4.60,19.08,15.77,18.48,3.11,14.07,10.88,11.81,16.83,9.41,17.03
1903,11.32,6.92,15.20,13.58,1.39,7.35,10.26,17.03,2.83,20.21,4.71,19.28,15.85,18.62,3.21,14.28,11.07,11.94,16.95,9.53,17.18
1904,11.10,6.71,14.97,13.35,1.17,7.12,10.05,16.82,2.60,19.99,4.48,19.05,15.63,18.40,2.98,14.06,10.86,11.73,16.74,9.32,16.96
1905,10.67,6.28,14.54,12.92,0.74,6.70,9.62,16.39,2.18,19.56,4.05,18.64,15.20,17.97,2.55,13.64,10.43,11.29,16.30,8.87,16.53
1906,11.23,6.82,15.11,13.49,1.31,7.27,10.16,16.93,2.75,20.11,4.62,19.18,15.78,18.53,3.12,14.18,10.97,11.84,16.86,9.44,17.08
1907,11.10,6.69,14.98,13.36,1.16,7.14,10.04,16.80,2.61,19.96,4.48,19.04,15.65,18.40,2.98,14.04,10.84,11.71,16.74,9.31,16.94
1908,11.47,7.06,15.35,13.73,1.54,7.51,10.40,17.17,2.99,20.34,4.86,19.41,16.01,18.77,3.36,14.41,11.21,12.08,17.10,9.68,17.32
1909,11.50,7.12,15.34,13.73,1.56,7.49,10.46,17.23,2.97,20.41,4.85,19.50,15.98,18.78,3.36,14.51,11.29,12.11,17.11,9.69,17.36
1910,11.07,6.69,14.92,13.30,1.14,7.07,10.04,16.81,2.55,19.97,4.45,19.05,15.57,18.36,2.94,14.05,10.85,11.69,16.70,9.27,16.93
