Variable:,tas
,"Solomon Islands","Administrative unit not available"
1901,25.58,25.73
1902,25.58,25.73
1903,25.58,25.74
1904,25.58,25.73
1905,25.58,25.73
1906,25.58,25.74
1907,25.58,25.73
1908,25.58,25.73
1909,25.58,25.74
1910,25.58,25.74
1911,25.58,25.73
1912,25.58,25.74
1913,25.58,25.73
1914,25.58,25.73
1915,25.58,25.74
1916,25.58,25.74
1917,25.58,25.74
1918,25.58,25.73
1919,25.58,25.73
1920,25.58,25.74
1921,25.58,25.74
1922,25.58,25.73
1923,25.58,25.73
1924,25.58,25.74
1925,25.58,25.73
1926,25.58,25.74
1927,25.58,25.73
1928,25.58,25.74
1929,25.58,25.73
1930,25.58,25.73
1931,25.58,25.73
1932,25.71,25.85
1933,25.62,25.78
1934,25.54,25.71
1935,25.49,25.66
1936,25.38,25.56
1937,25.43,25.60
1938,25.62,25.77
1939,25.58,25.74
1940,25.75,25.88
1941,25.65,25.80
1942,25.46,25.63
1943,25.45,25.63
1944,25.58,25.74
1945,26.04,26.14
1946,25.78,25.91
1947,25.92,26.03
1948,25.73,25.87
1949,25.85,25.97
1950,25.42,25.61
1951,25.63,25.78
1952,25.79,25.93
1953,25.39,25.55
1954,25.44,25.64
1955,25.19,25.40
1956,25.35,25.56
1957,25.23,25.43
1958,25.58,25.76
1959,25.50,25.69
1960,25.39,25.57
1961,25.38,25.55
1962,25.48,25.66
1963,25.35,25.52
1964,25.52,25.68
1965,25.06,25.20
1966,25.54,25.68
1967,25.36,25.51
1968,25.35,25.51
1969,25.57,25.74
1970,25.61,25.77
1971,25.38,25.54
1972,25.48,25.62
1973,25.81,25.96
1974,25.48,25.66
1975,25.23,25.41
1976,25.19,25.35
1977,25.39,25.56
1978,25.43,25.61
1979,25.62,25.78
1980,25.58,25.75
1981,25.77,25.92
1982,25.63,25.75
1983,25.75,25.89
1984,25.71,25.87
1985,25.77,25.92
1986,25.84,25.98
1987,26.04,26.17
1988,25.97,26.13
1989,25.87,26.03
1990,26.21,26.36
1991,25.62,25.78
1992,25.60,25.77
1993,25.58,25.75
1994,25.58,25.74
1995,25.66,25.81
1996,25.64,25.79
1997,25.58,25.74
1998,25.70,25.85
1999,25.68,25.83
2000,25.69,25.84
2001,25.58,25.74
2002,25.60,25.76
2003,25.62,25.77
2004,25.66,25.81
2005,25.65,25.80
2006,25.64,25.79
2007,25.61,25.77
2008,25.58,25.74
2009,25.65,25.80
2010,25.71,25.87
2011,25.58,25.74
2012,25.58,25.73
2013,25.58,25.74
2014,25.58,25.74
2015,25.58,25.74
2016,25.58,25.74
2017,25.58,25.74
2018,25.58,25.73
2019,25.58,25.74
2020,25.58,25.74
