Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1901,26.59,26.59,26.59,26.59,26.59,26.61,26.59,26.59,26.59,26.59
1902,26.53,26.53,26.53,26.53,26.53,26.56,26.53,26.53,26.53,26.53
1903,26.55,26.55,26.55,26.55,26.55,26.57,26.55,26.55,26.55,26.55
1904,26.56,26.56,26.56,26.56,26.56,26.58,26.56,26.56,26.56,26.56
1905,26.60,26.60,26.60,26.60,26.60,26.62,26.60,26.60,26.60,26.60
1906,26.58,26.58,26.58,26.58,26.58,26.60,26.58,26.58,26.58,26.58
1907,26.53,26.53,26.53,26.53,26.53,26.55,26.53,26.53,26.53,26.53
1908,26.60,26.60,26.60,26.60,26.60,26.62,26.60,26.60,26.60,26.60
1909,26.56,26.56,26.56,26.56,26.56,26.58,26.56,26.56,26.56,26.56
1910,26.54,26.54,26.54,26.54,26.54,26.56,26.54,26.54,26.54,26.54
1911,27.20,27.20,27.20,27.20,27.20,27.22,27.20,27.20,27.20,27.20
1912,27.31,27.31,27.31,27.31,27.31,27.33,27.31,27.31,27.31,27.31
1913,27.23,27.23,27.23,27.23,27.23,27.25,27.23,27.23,27.23,27.23
1914,27.53,27.53,27.53,27.53,27.53,27.55,27.53,27.53,27.53,27.53
1915,27.43,27.43,27.43,27.43,27.43,27.45,27.43,27.43,27.43,27.43
1916,27.06,27.06,27.06,27.06,27.06,27.08,27.06,27.06,27.06,27.06
1917,26.80,26.80,26.80,26.80,26.80,26.82,26.80,26.80,26.80,26.80
1918,26.58,26.58,26.58,26.58,26.58,26.60,26.58,26.58,26.58,26.58
1919,27.38,27.38,27.38,27.38,27.38,27.40,27.38,27.38,27.38,27.38
1920,27.28,27.28,27.28,27.28,27.28,27.30,27.28,27.28,27.28,27.28
1921,26.96,26.96,26.96,26.96,26.96,26.98,26.96,26.96,26.96,26.96
1922,27.03,27.03,27.03,27.03,27.03,27.05,27.03,27.03,27.03,27.03
1923,26.97,26.97,26.97,26.97,26.97,26.99,26.97,26.97,26.97,26.97
1924,26.93,26.93,26.93,26.93,26.93,26.95,26.93,26.93,26.93,26.93
1925,26.91,26.91,26.91,26.91,26.91,26.93,26.91,26.91,26.91,26.91
1926,27.23,27.23,27.23,27.23,27.23,27.25,27.23,27.23,27.23,27.23
1927,27.01,27.01,27.01,27.01,27.01,27.03,27.01,27.01,27.01,27.01
1928,27.01,27.01,27.01,27.01,27.01,27.03,27.01,27.01,27.01,27.01
1929,26.80,26.80,26.80,26.80,26.80,26.83,26.80,26.80,26.80,26.80
1930,27.20,27.20,27.20,27.20,27.20,27.22,27.20,27.20,27.20,27.20
1931,27.38,27.38,27.38,27.38,27.38,27.40,27.38,27.38,27.38,27.38
1932,26.77,26.77,26.77,26.77,26.77,26.79,26.77,26.77,26.77,26.77
1933,26.79,26.79,26.79,26.79,26.79,26.82,26.79,26.79,26.79,26.79
1934,26.63,26.63,26.63,26.63,26.63,26.65,26.63,26.63,26.63,26.63
1935,27.04,27.04,27.04,27.04,27.04,27.07,27.04,27.04,27.04,27.04
1936,27.03,27.03,27.03,27.03,27.03,27.05,27.03,27.03,27.03,27.03
1937,27.15,27.15,27.15,27.15,27.15,27.17,27.15,27.15,27.15,27.15
1938,27.03,27.03,27.03,27.03,27.03,27.05,27.03,27.03,27.03,27.03
1939,26.91,26.91,26.91,26.91,26.91,26.93,26.91,26.91,26.91,26.91
1940,27.28,27.28,27.28,27.28,27.28,27.30,27.28,27.28,27.28,27.28
1941,27.72,27.72,27.72,27.72,27.72,27.75,27.72,27.72,27.72,27.72
1942,26.75,26.75,26.75,26.75,26.75,26.78,26.75,26.75,26.75,26.75
1943,26.60,26.60,26.60,26.60,26.60,26.62,26.60,26.60,26.60,26.60
1944,26.71,26.71,26.71,26.71,26.71,26.73,26.71,26.71,26.71,26.71
1945,26.71,26.71,26.71,26.71,26.71,26.74,26.71,26.71,26.71,26.71
1946,26.80,26.80,26.80,26.80,26.80,26.83,26.80,26.80,26.80,26.80
1947,26.79,26.79,26.79,26.79,26.79,26.82,26.79,26.79,26.79,26.79
1948,27.40,27.40,27.40,27.40,27.40,27.42,27.40,27.40,27.40,27.40
1949,27.25,27.25,27.25,27.25,27.25,27.27,27.25,27.25,27.25,27.25
1950,26.98,26.98,26.98,26.98,26.98,27.01,26.98,26.98,26.98,26.98
1951,26.63,26.63,26.63,26.63,26.63,26.65,26.63,26.63,26.63,26.63
1952,26.67,26.67,26.67,26.67,26.67,26.70,26.67,26.67,26.67,26.67
1953,26.69,26.69,26.69,26.69,26.69,26.72,26.69,26.69,26.69,26.69
1954,26.48,26.48,26.48,26.48,26.48,26.51,26.48,26.48,26.48,26.48
1955,26.48,26.48,26.48,26.48,26.48,26.51,26.48,26.48,26.48,26.48
1956,26.32,26.32,26.32,26.32,26.32,26.35,26.32,26.32,26.32,26.32
1957,26.71,26.71,26.71,26.71,26.71,26.74,26.71,26.71,26.71,26.71
1958,27.00,27.00,27.00,27.00,27.00,27.03,27.00,27.00,27.00,27.00
1959,26.78,26.78,26.78,26.78,26.78,26.81,26.78,26.78,26.78,26.78
1960,26.76,26.76,26.76,26.76,26.76,26.79,26.76,26.76,26.76,26.76
1961,26.60,26.60,26.60,26.60,26.60,26.62,26.60,26.60,26.60,26.60
1962,26.49,26.49,26.49,26.49,26.49,26.51,26.49,26.49,26.49,26.49
1963,26.68,26.68,26.68,26.68,26.68,26.70,26.68,26.68,26.68,26.68
1964,26.58,26.58,26.58,26.58,26.58,26.61,26.58,26.58,26.58,26.58
1965,26.51,26.51,26.51,26.51,26.51,26.53,26.51,26.51,26.51,26.51
1966,26.68,26.68,26.68,26.68,26.68,26.71,26.68,26.68,26.68,26.68
1967,26.44,26.44,26.44,26.44,26.44,26.47,26.44,26.44,26.44,26.44
1968,26.54,26.54,26.54,26.54,26.54,26.57,26.54,26.54,26.54,26.54
1969,26.80,26.80,26.80,26.80,26.80,26.83,26.80,26.80,26.80,26.80
1970,26.69,26.69,26.69,26.69,26.69,26.72,26.69,26.69,26.69,26.69
1971,26.38,26.38,26.38,26.38,26.38,26.41,26.38,26.38,26.38,26.38
1972,26.78,26.78,26.78,26.78,26.78,26.80,26.78,26.78,26.78,26.78
1973,26.81,26.81,26.81,26.81,26.81,26.84,26.81,26.81,26.81,26.81
1974,26.43,26.43,26.43,26.43,26.43,26.46,26.43,26.43,26.43,26.43
1975,26.34,26.34,26.34,26.34,26.34,26.37,26.34,26.34,26.34,26.34
1976,26.43,26.43,26.43,26.43,26.43,26.45,26.43,26.43,26.43,26.43
1977,26.71,26.71,26.71,26.71,26.71,26.73,26.71,26.71,26.71,26.71
1978,26.83,26.83,26.83,26.83,26.83,26.86,26.83,26.83,26.83,26.83
1979,26.92,26.92,26.92,26.92,26.92,26.95,26.92,26.92,26.92,26.92
1980,26.84,26.84,26.84,26.84,26.84,26.87,26.84,26.84,26.84,26.84
1981,26.99,26.99,26.99,26.99,26.99,27.03,26.99,26.99,26.99,26.99
1982,27.03,27.03,27.03,27.03,27.03,27.06,27.03,27.03,27.03,27.03
1983,27.32,27.32,27.32,27.32,27.32,27.35,27.32,27.32,27.32,27.32
1984,26.55,26.55,26.55,26.55,26.55,26.58,26.55,26.55,26.55,26.55
1985,26.82,26.82,26.82,26.82,26.82,26.85,26.82,26.82,26.82,26.82
1986,26.95,26.95,26.95,26.95,26.95,26.98,26.95,26.95,26.95,26.95
1987,27.29,27.29,27.29,27.29,27.29,27.32,27.29,27.29,27.29,27.29
1988,27.16,27.16,27.16,27.16,27.16,27.18,27.16,27.16,27.16,27.16
1989,26.93,26.93,26.93,26.93,26.93,26.96,26.93,26.93,26.93,26.93
1990,27.38,27.38,27.38,27.38,27.38,27.40,27.38,27.38,27.38,27.38
