Variable:,tas
,"Pitcairn Islands","Administrative unit not available"
1901,NaN,20.84
1902,NaN,20.84
1903,NaN,20.84
1904,NaN,20.84
1905,NaN,20.84
1906,NaN,20.84
1907,NaN,20.84
1908,NaN,20.84
1909,NaN,20.84
1910,NaN,20.84
1911,NaN,20.84
1912,NaN,20.84
1913,NaN,20.84
1914,NaN,20.84
1915,NaN,20.84
1916,NaN,20.84
1917,NaN,20.84
1918,NaN,20.84
1919,NaN,20.84
1920,NaN,20.84
1921,NaN,20.84
1922,NaN,20.84
1923,NaN,20.84
1924,NaN,20.84
1925,NaN,20.84
1926,NaN,20.84
1927,NaN,20.84
1928,NaN,20.84
1929,NaN,20.84
1930,NaN,20.84
1931,NaN,20.84
1932,NaN,20.84
1933,NaN,20.84
1934,NaN,20.84
1935,NaN,20.84
1936,NaN,20.84
1937,NaN,20.84
1938,NaN,20.84
1939,NaN,20.84
1940,NaN,22.08
1941,NaN,22.09
1942,NaN,22.12
1943,NaN,22.50
1944,NaN,21.28
1945,NaN,20.57
1946,NaN,20.84
1947,NaN,21.05
1948,NaN,20.82
1949,NaN,20.84
1950,NaN,20.84
1951,NaN,20.84
1952,NaN,20.84
1953,NaN,20.84
1954,NaN,20.84
1955,NaN,20.92
1956,NaN,21.58
1957,NaN,21.21
1958,NaN,20.58
1959,NaN,20.78
1960,NaN,20.76
1961,NaN,21.06
1962,NaN,20.66
1963,NaN,20.78
1964,NaN,20.98
1965,NaN,20.73
1966,NaN,20.52
1967,NaN,21.09
1968,NaN,20.40
1969,NaN,20.71
1970,NaN,21.04
1971,NaN,21.05
1972,NaN,20.82
1973,NaN,20.84
1974,NaN,21.01
1975,NaN,21.13
1976,NaN,20.80
1977,NaN,20.65
1978,NaN,21.04
1979,NaN,20.68
1980,NaN,21.00
1981,NaN,20.77
1982,NaN,20.52
1983,NaN,20.33
1984,NaN,20.93
1985,NaN,21.20
1986,NaN,20.80
1987,NaN,20.42
1988,NaN,20.86
1989,NaN,21.03
1990,NaN,20.92
1991,NaN,20.45
1992,NaN,20.50
1993,NaN,20.23
1994,NaN,20.62
1995,NaN,20.65
1996,NaN,20.56
1997,NaN,20.50
1998,NaN,20.49
1999,NaN,21.34
2000,NaN,21.13
2001,NaN,20.65
2002,NaN,20.89
2003,NaN,20.58
2004,NaN,20.21
2005,NaN,20.33
2006,NaN,20.88
2007,NaN,20.62
2008,NaN,20.56
2009,NaN,20.53
2010,NaN,20.59
2011,NaN,20.60
2012,NaN,20.42
2013,NaN,20.21
2014,NaN,20.46
2015,NaN,20.43
2016,NaN,20.54
2017,NaN,20.88
2018,NaN,20.78
2019,NaN,20.08
2020,NaN,20.58
