Variable:,tas
,Tuvalu,"Administrative unit not available"
1901,27.99,28.15
1902,27.99,28.15
1903,27.99,28.15
1904,27.99,28.15
1905,27.99,28.15
1906,27.99,28.15
1907,27.99,28.15
1908,27.99,28.15
1909,27.99,28.15
1910,27.99,28.15
1911,27.99,28.15
1912,27.99,28.15
1913,27.99,28.15
1914,27.99,28.15
1915,27.99,28.15
1916,27.99,28.15
1917,27.99,28.15
1918,27.99,28.15
1919,27.99,28.15
1920,27.99,28.15
1921,27.99,28.15
1922,27.99,28.15
1923,27.99,28.14
1924,27.99,28.14
1925,27.99,28.16
1926,27.99,28.15
1927,27.99,28.17
1928,27.99,28.19
1929,27.99,28.16
1930,27.99,28.15
1931,27.99,28.16
1932,28.10,28.28
1933,28.16,28.37
1934,28.20,28.41
1935,28.12,28.31
1936,28.39,28.56
1937,28.27,28.49
1938,28.15,28.33
1939,27.88,28.06
1940,28.32,28.47
1941,28.36,28.54
1942,28.09,28.26
1943,28.15,28.32
1944,27.82,27.99
1945,27.91,28.08
1946,28.11,28.26
1947,28.32,28.46
1948,27.90,28.04
1949,28.06,28.20
1950,27.99,28.08
1951,28.10,28.26
1952,28.22,28.36
1953,28.09,28.18
1954,27.86,28.00
1955,27.67,27.80
1956,28.03,28.22
1957,28.22,28.40
1958,28.47,28.58
1959,28.36,28.52
1960,28.26,28.37
1961,28.01,28.07
1962,28.05,28.14
1963,28.07,28.12
1964,27.89,27.99
1965,27.70,27.84
1966,27.98,28.12
1967,27.68,27.82
1968,27.95,28.08
1969,28.20,28.32
1970,27.85,27.97
1971,27.68,27.87
1972,27.97,28.18
1973,28.01,28.22
1974,27.79,28.01
1975,27.87,28.03
1976,27.91,28.10
1977,28.00,28.20
1978,27.95,28.17
1979,28.11,28.27
1980,28.06,28.24
1981,28.16,28.38
1982,28.14,28.31
1983,28.03,28.23
1984,27.96,28.15
1985,28.17,28.38
1986,28.17,28.41
1987,27.94,28.10
1988,28.06,28.21
1989,27.97,28.16
1990,28.42,28.56
1991,28.46,28.61
1992,28.17,28.29
1993,28.03,28.16
1994,28.33,28.49
1995,28.35,28.54
1996,28.27,28.42
1997,28.41,28.58
1998,28.39,28.51
1999,28.41,28.51
2000,28.52,28.62
2001,28.63,28.78
2002,28.71,28.85
2003,28.46,28.64
2004,28.52,28.66
2005,28.69,28.81
2006,28.46,28.64
2007,28.74,28.86
2008,28.42,28.58
2009,28.43,28.62
2010,28.68,28.77
2011,28.37,28.52
2012,28.31,28.42
2013,28.35,28.39
2014,28.31,28.43
2015,28.37,28.51
2016,28.59,28.61
2017,28.53,28.59
2018,28.49,28.57
2019,28.59,28.64
2020,28.69,28.79
