Variable:,tas
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1901,7.48,5.73,5.33,7.62,7.22,6.93,10.30,7.27,8.88,9.01,7.83,8.48,7.59
1902,7.51,5.83,5.46,7.68,7.20,7.01,10.40,7.33,8.78,8.81,7.86,8.53,7.63
1903,8.00,6.25,5.82,8.15,7.73,7.46,10.81,7.80,9.42,9.53,8.36,9.01,8.12
1904,8.39,6.64,6.24,8.54,8.10,7.84,11.24,8.18,9.78,9.85,8.74,9.39,8.50
1905,7.85,6.10,5.67,7.99,7.61,7.31,10.65,7.64,9.29,9.42,8.18,8.84,7.94
1906,7.77,6.01,5.58,7.91,7.48,7.22,10.58,7.56,9.18,9.33,8.11,8.77,7.87
1907,7.78,6.01,5.60,7.92,7.52,7.23,10.60,7.57,9.21,9.33,8.13,8.78,7.89
1908,7.42,5.69,5.28,7.57,7.14,6.88,10.25,7.22,8.80,8.90,7.77,8.42,7.53
1909,7.41,5.62,5.17,7.56,7.16,6.85,10.21,7.20,8.87,8.96,7.77,8.41,7.52
1910,8.12,6.32,5.84,8.27,7.88,7.57,10.88,7.91,9.61,9.72,8.49,9.13,8.23
1911,8.54,6.77,6.32,8.69,8.27,8.01,11.32,8.35,9.95,10.07,8.90,9.55,8.66
1912,7.66,5.92,5.44,7.84,7.40,7.13,10.45,7.48,9.06,9.14,8.04,8.70,7.80
1913,7.94,6.18,5.70,8.10,7.68,7.41,10.68,7.75,9.36,9.47,8.30,8.96,8.06
1914,7.62,5.92,5.56,7.76,7.31,7.09,10.49,7.42,8.96,9.05,7.95,8.61,7.72
1915,7.76,5.98,5.57,7.89,7.54,7.20,10.56,7.54,9.23,9.35,8.12,8.76,7.86
1916,8.69,6.88,6.39,8.84,8.47,8.15,11.43,8.48,10.19,10.31,9.06,9.71,8.81
1917,7.66,5.88,5.45,7.79,7.43,7.10,10.45,7.44,9.13,9.27,8.01,8.66,7.76
1918,8.17,6.39,5.87,8.32,7.94,7.63,10.88,7.97,9.66,9.79,8.54,9.19,8.29
1919,7.49,5.70,5.28,7.63,7.27,6.93,10.29,7.27,8.98,9.10,7.84,8.49,7.59
1920,8.83,7.12,6.71,9.00,8.54,8.33,11.68,8.65,10.16,10.21,9.18,9.85,8.95
1921,8.67,6.91,6.51,8.82,8.39,8.13,11.49,8.47,10.06,10.19,9.01,9.67,8.78
1922,7.68,5.94,5.52,7.84,7.39,7.15,10.53,7.48,9.04,9.11,8.05,8.70,7.81
1923,8.38,6.62,6.19,8.53,8.14,7.83,11.18,8.17,9.81,9.90,8.74,9.38,8.49
1924,7.71,6.01,5.65,7.88,7.36,7.20,10.63,7.53,8.99,9.05,8.05,8.73,7.83
1925,7.95,6.19,5.76,8.10,7.68,7.40,10.77,7.74,9.38,9.51,8.30,8.96,8.06
1926,8.74,6.99,6.55,8.90,8.48,8.21,11.56,8.55,10.16,10.25,9.10,9.75,8.86
1927,8.59,6.84,6.42,8.75,8.29,8.07,11.45,8.40,9.96,10.03,8.96,9.64,8.72
1928,8.46,6.72,6.29,8.60,8.22,7.93,11.25,8.26,9.86,9.95,8.82,9.47,8.58
1929,7.80,6.09,5.70,7.96,7.50,7.28,10.65,7.62,9.12,9.20,8.14,8.80,7.92
1930,8.76,7.00,6.54,8.92,8.49,8.24,11.57,8.58,10.16,10.28,9.12,9.77,8.89
1931,7.69,5.92,5.51,7.85,7.39,7.18,10.60,7.50,9.08,9.17,8.04,8.72,7.80
1932,8.20,6.50,6.11,8.35,7.88,7.68,11.03,8.01,9.55,9.65,8.54,9.20,8.31
1933,7.24,5.50,5.10,7.39,6.94,6.70,10.14,7.04,8.61,8.71,7.58,8.26,7.35
1934,9.23,7.45,6.99,9.38,9.00,8.67,11.97,9.02,10.72,10.88,9.59,10.22,9.35
1935,8.05,6.23,5.77,8.20,7.81,7.49,10.86,7.84,9.51,9.66,8.41,9.07,8.17
1936,8.51,6.75,6.29,8.68,8.24,7.98,11.33,8.33,9.92,10.02,8.89,9.53,8.65
1937,8.32,6.54,6.10,8.47,8.09,7.77,11.11,8.11,9.78,9.91,8.68,9.34,8.43
