Variable:,tas
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1901,1.30,4.65,4.19,2.74,-2.48,1.30,4.29,2.57,2.16,0.64,5.80,0.29,4.64,5.20,2.20,3.52,2.35,-1.85,5.11,5.91
1902,-0.38,3.01,2.82,1.31,-4.70,-0.32,2.98,1.21,0.49,-1.37,4.21,-1.17,3.06,3.89,0.69,2.20,0.96,-4.02,3.77,4.39
1903,1.03,4.39,3.95,2.43,-2.84,1.08,3.98,2.33,2.06,0.32,5.58,0.03,4.36,4.94,2.03,3.20,2.06,-2.28,4.86,5.70
1904,0.41,3.94,3.62,2.04,-3.43,0.45,3.63,1.77,1.04,-0.69,5.18,-0.49,3.97,4.60,1.28,2.82,1.71,-3.03,4.54,5.31
1905,0.99,4.49,4.10,2.58,-2.84,1.10,4.13,2.32,1.72,-0.03,5.67,0.08,4.49,5.10,1.91,3.30,2.22,-2.42,5.02,5.82
1906,1.33,4.98,4.48,2.97,-2.74,1.58,4.49,2.70,2.17,0.27,6.19,0.50,4.96,5.45,2.35,3.64,2.62,-2.31,5.38,6.30
1907,1.05,4.07,3.60,2.15,-2.22,0.87,3.74,2.16,2.05,0.62,5.17,-0.18,4.05,4.62,1.91,3.01,1.76,-1.67,4.50,5.32
1908,1.17,4.59,4.20,2.72,-2.71,1.25,4.31,2.50,2.02,0.26,5.75,0.25,4.57,5.23,2.11,3.47,2.36,-2.24,5.14,5.89
1909,0.27,3.44,3.12,1.59,-3.17,0.14,3.22,1.48,1.11,-0.47,4.60,-0.84,3.42,4.15,1.08,2.44,1.23,-2.84,4.06,4.73
1910,1.52,4.98,4.58,3.00,-2.45,1.65,4.55,2.84,2.54,0.67,6.16,0.59,4.95,5.57,2.55,3.73,2.67,-1.89,5.52,6.27
1911,1.54,5.06,4.72,3.06,-2.28,1.64,4.59,2.76,2.35,0.58,6.33,0.56,5.05,5.65,2.42,3.72,2.75,-1.81,5.64,6.43
1912,0.67,4.31,3.89,2.47,-4.20,1.12,4.11,2.52,1.89,-0.46,5.35,0.16,4.29,4.98,2.10,3.39,2.07,-3.48,4.83,5.50
1913,1.44,5.16,4.69,3.19,-2.87,1.78,4.72,2.94,2.32,0.28,6.32,0.72,5.14,5.68,2.56,3.88,2.83,-2.38,5.58,6.47
1914,1.80,5.43,4.95,3.39,-2.45,2.18,4.95,3.28,2.82,0.76,6.57,1.03,5.35,5.92,2.99,4.15,3.03,-1.89,5.86,6.67
1915,-0.74,2.68,2.62,0.91,-4.62,-0.75,2.62,0.70,-0.11,-1.98,3.95,-1.61,2.70,3.62,0.15,1.80,0.62,-4.31,3.58,4.10
1916,0.94,4.40,3.96,2.52,-3.12,1.12,4.10,2.40,1.80,-0.03,5.48,0.13,4.38,5.02,2.00,3.33,2.12,-2.55,4.88,5.64
1917,-0.01,3.41,3.24,1.61,-4.37,0.19,3.30,1.64,1.05,-1.07,4.60,-0.75,3.40,4.25,1.22,2.56,1.28,-3.85,4.21,4.73
1918,1.25,4.38,4.07,2.55,-2.45,1.15,4.20,2.55,2.22,0.65,5.55,0.19,4.36,5.11,2.18,3.45,2.18,-1.77,5.02,5.67
