Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1901,12.73,17.27,13.82,14.23,9.28,11.29
1902,12.81,17.30,13.75,14.42,9.41,11.37
1903,12.53,17.11,13.71,13.91,9.02,11.10
1904,12.36,16.92,13.50,13.86,8.90,10.89
1905,12.11,16.61,13.09,13.64,8.70,10.70
1906,12.48,17.05,13.65,13.93,8.98,11.02
1907,12.32,16.93,13.52,13.73,8.80,10.88
1908,12.67,17.28,13.90,14.02,9.15,11.24
1909,12.42,17.13,13.82,13.61,8.80,11.00
1910,12.20,16.79,13.41,13.58,8.68,10.78
1911,12.36,16.90,13.41,13.87,8.92,10.95
1912,12.41,16.94,13.50,13.91,8.95,10.96
1913,12.10,16.71,13.30,13.53,8.58,10.65
1914,12.32,16.90,13.47,13.80,8.83,10.87
1915,12.87,17.41,14.02,14.34,9.40,11.41
1916,12.49,17.10,13.73,13.83,8.97,11.06
1917,11.72,16.47,13.18,12.90,8.04,10.29
1918,12.37,16.91,13.44,13.86,8.91,10.94
1919,12.29,16.95,13.67,13.56,8.69,10.82
1920,12.59,17.21,13.84,13.89,9.06,11.15
1921,12.98,17.43,13.96,14.60,9.62,11.50
1922,12.63,17.26,13.93,14.01,9.08,11.15
1923,12.75,17.36,14.01,14.06,9.22,11.32
1924,12.76,17.44,14.13,13.96,9.16,11.34
1925,12.06,16.66,13.25,13.50,8.55,10.60
1926,12.20,16.89,13.59,13.40,8.58,10.78
1927,12.27,16.92,13.58,13.54,8.70,10.81
1928,12.82,17.41,14.00,14.24,9.33,11.36
1929,12.61,17.17,13.74,14.06,9.14,11.15
1930,12.43,17.05,13.65,13.76,8.90,11.00
1931,12.82,17.43,14.04,14.21,9.31,11.37
1932,12.81,17.39,13.99,14.24,9.31,11.37
1933,12.05,16.75,13.50,13.28,8.41,10.58
1934,12.38,17.00,13.70,13.73,8.80,10.91
1935,12.53,17.29,14.02,13.64,8.83,11.10
1936,12.31,17.02,13.79,13.55,8.64,10.83
1937,12.33,17.06,13.83,13.50,8.64,10.88
1938,12.67,17.31,13.99,13.98,9.10,11.22
1939,12.62,17.27,13.96,13.92,9.04,11.17
1940,12.55,17.16,13.84,13.88,9.01,11.10
1941,13.29,17.74,14.24,14.93,9.93,11.85
1942,12.98,17.63,14.29,14.30,9.42,11.53
1943,12.86,17.47,14.06,14.25,9.33,11.42
1944,12.75,17.49,14.18,13.93,9.10,11.29
1945,12.45,17.21,13.91,13.63,8.78,10.99
1946,12.96,17.57,14.18,14.42,9.40,11.48
1947,13.15,17.75,14.35,14.53,9.64,11.71
1948,12.79,17.37,13.95,14.22,9.28,11.37
1949,12.71,17.11,13.56,14.43,9.41,11.27
1950,12.40,17.12,13.75,13.63,8.78,10.96
1951,12.92,17.46,14.04,14.34,9.46,11.50
1952,13.01,17.51,14.03,14.51,9.60,11.62
1953,13.24,17.74,14.19,14.78,9.85,11.85
1954,12.88,17.47,14.01,14.30,9.38,11.45
1955,12.65,17.35,13.95,13.93,9.05,11.20
1956,12.79,17.40,14.07,14.14,9.26,11.33
1957,12.70,17.47,14.12,13.84,9.05,11.27
1958,13.44,18.19,14.75,14.66,9.84,12.03
1959,12.89,17.52,14.06,14.22,9.35,11.52
1960,12.81,17.42,14.07,14.16,9.24,11.40
1961,12.53,17.17,13.80,13.87,8.96,11.08
1962,12.48,16.94,13.53,14.08,9.05,11.02
1963,12.44,16.89,13.47,14.08,9.05,10.96
1964,12.80,17.42,14.06,14.12,9.25,11.41
1965,12.38,16.90,13.40,14.01,8.95,10.92
1966,12.86,17.51,13.99,14.24,9.31,11.52
1967,12.33,16.98,13.48,13.72,8.77,10.94
1968,12.24,16.87,13.43,13.70,8.70,10.78
1969,12.98,17.52,14.03,14.53,9.53,11.55
1970,12.83,17.36,14.00,14.28,9.36,11.37
1971,12.13,16.60,13.28,13.62,8.70,10.67
1972,12.75,17.37,13.95,14.09,9.21,11.36
1973,12.77,17.37,13.91,14.14,9.27,11.36
1974,12.77,17.45,13.99,14.02,9.20,11.43
1975,12.56,17.39,14.02,13.61,8.83,11.19
1976,12.68,17.44,14.04,13.83,9.02,11.30
1977,12.64,17.31,13.88,13.93,9.09,11.23
1978,12.30,16.95,13.57,13.58,8.73,10.90
1979,12.94,17.74,14.39,14.01,9.25,11.55
1980,12.90,17.49,14.15,14.29,9.38,11.45
1981,12.55,17.12,13.78,13.89,9.04,11.11
1982,12.51,17.25,13.94,13.67,8.84,11.09
1983,12.22,17.03,13.73,13.30,8.51,10.78
1984,12.86,17.54,14.20,14.05,9.28,11.45
1985,13.05,17.72,14.32,14.31,9.50,11.63
1986,12.32,17.01,13.74,13.52,8.72,10.87
1987,12.80,17.38,14.02,14.14,9.27,11.39
1988,13.13,17.82,14.45,14.38,9.54,11.72
1989,12.57,17.45,14.13,13.53,8.83,11.16
1990,12.76,17.48,14.14,13.99,9.16,11.25
1991,12.64,17.39,13.95,13.92,9.03,11.15
1992,12.44,17.11,13.70,13.79,8.89,10.95
1993,12.87,17.50,14.10,14.25,9.33,11.41
1994,12.94,17.58,14.10,14.28,9.39,11.57
1995,13.02,17.75,14.40,14.20,9.38,11.63
1996,13.07,17.62,14.24,14.42,9.60,11.66
1997,12.19,16.89,13.51,13.48,8.57,10.75
1998,13.34,18.18,14.77,14.43,9.64,11.93
1999,13.56,18.22,14.82,14.88,9.99,12.16
2000,13.09,17.58,14.14,14.62,9.64,11.70
2001,13.40,17.98,14.62,14.81,9.87,11.98
2002,13.37,18.00,14.44,14.89,9.84,11.95
2003,13.28,17.98,14.49,14.57,9.73,11.88
2004,13.50,18.07,14.57,14.94,10.03,12.12
2005,13.34,18.12,14.73,14.49,9.69,11.94
2006,13.80,18.45,15.14,15.01,10.21,12.41
2007,13.66,18.31,15.05,14.88,10.09,12.23
2008,13.29,17.93,14.64,14.55,9.70,11.87
2009,13.99,18.72,15.34,15.22,10.36,12.57
2010,14.03,18.73,15.31,15.34,10.43,12.61
2011,13.29,17.92,14.57,14.68,9.73,11.83
2012,13.21,17.77,14.33,14.64,9.72,11.81
2013,13.06,17.64,14.29,14.42,9.52,11.67
2014,13.14,17.75,14.39,14.43,9.60,11.76
2015,13.19,17.71,14.25,14.65,9.75,11.80
2016,13.88,18.22,14.69,15.55,10.59,12.54
2017,13.62,18.04,14.56,15.20,10.26,12.22
2018,13.35,17.72,14.13,15.07,10.08,11.95
2019,13.14,17.75,14.36,14.48,9.63,11.72
2020,13.04,17.58,14.18,14.50,9.59,11.59
