Variable:,tas
,Greenland,Nordgronland,Ostgronland,Vestgronland
1901,-16.76,-21.28,-17.33,-12.46
1902,-17.17,-21.79,-17.69,-12.89
1903,-17.31,-21.75,-17.82,-13.18
1904,-17.46,-21.78,-17.87,-13.60
1905,-16.99,-21.34,-17.56,-12.81
1906,-17.67,-21.37,-18.17,-14.12
1907,-17.81,-22.06,-18.18,-14.07
1908,-16.78,-21.13,-17.31,-12.68
1909,-17.14,-21.92,-17.56,-12.90
1910,-17.62,-21.03,-18.21,-14.15
1911,-17.38,-22.04,-17.70,-13.40
1912,-16.62,-21.47,-17.26,-11.95
1913,-17.17,-21.44,-17.63,-13.25
1914,-18.01,-21.53,-18.50,-14.63
1915,-16.85,-21.27,-17.53,-12.46
1916,-16.67,-22.29,-17.20,-11.60
1917,-17.25,-22.19,-17.87,-12.55
1918,-17.91,-21.49,-18.39,-14.48
1919,-17.34,-21.46,-17.97,-13.25
1920,-17.54,-21.52,-17.95,-13.93
1921,-17.41,-21.32,-17.91,-13.69
1922,-17.24,-21.78,-17.52,-13.43
1923,-16.53,-21.04,-17.18,-12.10
1924,-16.76,-21.27,-17.45,-12.27
1925,-16.61,-21.14,-17.01,-12.58
1926,-16.05,-20.87,-16.60,-11.56
1927,-16.35,-21.66,-16.78,-11.69
1928,-15.43,-20.86,-15.84,-10.69
1929,-15.58,-21.37,-15.96,-10.63
1930,-15.94,-20.71,-16.39,-11.62
1931,-16.17,-20.57,-16.76,-11.94
1932,-15.77,-21.30,-16.17,-10.97
1933,-15.73,-21.18,-15.83,-11.51
1934,-16.00,-20.66,-16.37,-11.93
1935,-16.01,-21.21,-16.39,-11.50
1936,-15.94,-20.80,-16.61,-11.23
1937,-16.48,-21.21,-16.84,-12.37
1938,-16.83,-20.87,-17.12,-13.36
1939,-15.90,-20.81,-16.30,-11.58
1940,-16.23,-21.03,-16.84,-11.65
1941,-15.60,-20.59,-16.29,-10.76
1942,-16.07,-21.11,-16.57,-11.49
1943,-16.92,-21.21,-17.55,-12.71
1944,-16.69,-20.92,-17.26,-12.63
1945,-16.21,-21.27,-16.52,-11.94
1946,-15.66,-20.90,-15.98,-11.23
1947,-15.45,-20.85,-16.02,-10.48
1948,-16.52,-21.36,-16.95,-12.20
1949,-16.92,-21.16,-17.36,-13.04
1950,-16.64,-21.29,-17.27,-12.15
1951,-17.16,-21.61,-17.99,-12.51
1952,-16.21,-20.54,-17.00,-11.71
1953,-16.44,-20.37,-17.05,-12.54
1954,-16.34,-20.70,-16.97,-12.05
1955,-16.72,-21.22,-17.47,-12.13
1956,-16.89,-21.41,-17.34,-12.78
1957,-16.37,-20.91,-16.84,-12.23
1958,-16.07,-20.40,-16.65,-11.91
1959,-16.63,-21.07,-17.22,-12.36
1960,-15.73,-20.52,-16.23,-11.34
1961,-16.70,-21.47,-17.04,-12.61
1962,-16.08,-20.35,-16.95,-11.49
1963,-16.42,-20.91,-17.23,-11.76
1964,-16.54,-21.46,-16.85,-12.35
1965,-16.14,-20.87,-16.78,-11.57
1966,-17.06,-21.77,-17.87,-12.22
1967,-17.03,-20.98,-17.83,-12.81
1968,-17.17,-21.51,-18.18,-12.28
1969,-16.87,-20.98,-17.84,-12.22
1970,-16.93,-21.38,-17.48,-12.73
1971,-17.49,-21.28,-18.20,-13.54
1972,-17.06,-21.69,-16.89,-13.89
1973,-17.08,-21.25,-17.91,-12.61
1974,-16.46,-21.38,-16.65,-12.48
1975,-17.38,-21.90,-18.08,-12.86
1976,-16.44,-20.95,-16.72,-12.62
1977,-16.40,-21.26,-17.22,-11.43
1978,-16.83,-21.40,-17.43,-12.44
1979,-16.86,-21.69,-17.51,-12.18
1980,-16.00,-20.66,-16.74,-11.30
1981,-16.42,-19.62,-17.56,-12.18
1982,-17.33,-21.49,-17.84,-13.42
1983,-17.96,-21.33,-18.58,-14.47
1984,-17.36,-21.23,-17.38,-14.47
1985,-16.20,-21.18,-16.98,-11.20
1986,-16.67,-21.18,-17.22,-12.39
1987,-16.69,-21.24,-17.11,-12.63
1988,-16.34,-19.86,-17.37,-12.04
1989,-17.56,-21.52,-17.99,-13.92
1990,-16.55,-20.38,-16.84,-13.25
1991,-16.29,-20.33,-16.74,-12.54
1992,-17.26,-21.23,-17.60,-13.77
1993,-17.23,-20.93,-17.61,-13.86
1994,-16.67,-20.49,-17.31,-12.80
1995,-16.61,-20.63,-17.28,-12.54
1996,-16.00,-20.36,-16.39,-12.11
1997,-16.33,-20.60,-16.88,-12.26
1998,-15.89,-19.49,-16.75,-11.81
1999,-16.37,-20.58,-16.81,-12.52
2000,-16.23,-20.82,-16.80,-11.88
2001,-16.00,-20.43,-16.59,-11.74
2002,-15.60,-19.81,-16.05,-11.74
2003,-15.15,-19.88,-15.73,-10.68
2004,-15.68,-20.97,-15.93,-11.31
2005,-14.89,-19.19,-15.53,-10.65
2006,-15.44,-19.51,-16.10,-11.36
2007,-15.52,-19.81,-16.12,-11.35
2008,-15.76,-19.89,-16.14,-12.09
2009,-15.77,-19.89,-16.41,-11.67
2010,-14.64,-19.01,-15.62,-9.78
2011,-15.49,-19.46,-15.99,-11.71
2012,-15.41,-19.45,-15.93,-11.55
2013,-16.05,-20.50,-16.36,-12.24
2014,-15.46,-19.92,-15.77,-11.65
2015,-16.16,-19.96,-16.46,-12.86
2016,-14.55,-18.84,-14.93,-10.74
2017,-15.74,-20.03,-16.13,-11.92
2018,-15.99,-20.81,-16.17,-12.12
2019,-15.37,-20.37,-15.79,-10.96
2020,-15.63,-20.48,-16.00,-11.41
