Variable:,tas
,"Northern Mariana Islands","Administrative unit not available"
1901,27.35,27.35
1902,27.35,27.35
1903,27.35,27.35
1904,27.35,27.35
1905,27.35,27.35
1906,27.35,27.35
1907,27.35,27.35
1908,27.35,27.35
1909,27.35,27.35
1910,27.35,27.35
1911,27.35,27.35
1912,27.35,27.35
1913,27.35,27.35
1914,27.35,27.35
1915,27.35,27.35
1916,27.35,27.35
1917,27.35,27.35
1918,27.35,27.35
1919,27.35,27.35
1920,27.35,27.35
1921,27.10,27.10
1922,26.98,26.98
1923,27.00,27.00
1924,27.02,27.02
1925,27.19,27.19
1926,27.58,27.58
1927,27.61,27.61
1928,27.55,27.55
1929,27.13,27.13
1930,27.30,27.30
1931,27.49,27.49
1932,27.46,27.46
1933,27.38,27.38
1934,27.38,27.38
1935,27.34,27.34
1936,27.59,27.59
1937,27.55,27.55
1938,27.60,27.60
1939,27.57,27.57
1940,27.49,27.49
1941,27.35,27.35
1942,27.35,27.35
1943,27.35,27.35
1944,27.35,27.35
1945,26.83,26.83
1946,27.44,27.44
1947,27.31,27.31
1948,26.87,26.87
1949,26.75,26.75
1950,26.58,26.58
1951,27.06,27.06
1952,26.85,26.85
1953,26.94,26.94
1954,27.00,27.00
1955,26.83,26.83
1956,26.78,26.78
1957,27.18,27.18
1958,27.16,27.16
1959,27.21,27.21
1960,27.25,27.25
1961,27.08,27.08
1962,27.29,27.29
1963,27.10,27.10
1964,27.23,27.23
1965,26.98,26.98
1966,27.40,27.40
1967,26.83,26.83
1968,27.01,27.01
1969,27.54,27.54
1970,27.56,27.56
1971,27.58,27.58
1972,27.05,27.05
1973,27.23,27.23
1974,27.31,27.31
1975,26.99,26.99
1976,27.14,27.14
1977,27.39,27.39
1978,27.28,27.28
1979,27.36,27.36
1980,27.43,27.43
1981,27.61,27.61
1982,27.23,27.23
1983,27.47,27.47
1984,27.68,27.68
1985,27.53,27.53
1986,27.50,27.50
1987,27.63,27.63
1988,27.88,27.88
1989,27.61,27.61
1990,27.60,27.60
1991,27.64,27.64
1992,27.55,27.55
1993,27.62,27.62
1994,27.54,27.54
1995,27.32,27.32
1996,27.36,27.36
1997,27.35,27.35
1998,27.35,27.35
1999,27.36,27.36
2000,27.38,27.38
2001,27.41,27.41
2002,27.38,27.38
2003,27.37,27.37
2004,27.40,27.40
2005,27.40,27.40
2006,27.39,27.39
2007,27.65,27.65
2008,27.68,27.68
2009,27.69,27.69
2010,27.75,27.75
2011,27.67,27.67
2012,27.72,27.72
2013,28.13,28.13
2014,27.95,27.95
2015,27.68,27.68
2016,28.32,28.32
2017,28.08,28.08
2018,28.34,28.34
2019,27.82,27.82
2020,27.88,27.88
