Variable:,tas
,"Marshall Islands","Administrative unit not available"
1901,27.40,27.52
1902,27.40,27.52
1903,27.40,27.52
1904,27.40,27.52
1905,27.40,27.52
1906,27.40,27.52
1907,27.40,27.52
1908,27.40,27.52
1909,27.40,27.52
1910,27.40,27.52
1911,27.40,27.52
1912,27.40,27.52
1913,27.40,27.52
1914,27.40,27.52
1915,27.40,27.52
1916,27.40,27.52
1917,27.40,27.52
1918,27.40,27.52
1919,27.40,27.52
1920,27.40,27.52
1921,27.36,27.46
1922,27.37,27.47
1923,27.31,27.40
1924,27.32,27.41
1925,27.48,27.63
1926,27.42,27.54
1927,27.68,27.89
1928,27.64,27.86
1929,27.58,27.77
1930,27.45,27.60
1931,27.54,27.70
1932,27.58,27.76
1933,27.54,27.70
1934,27.56,27.73
1935,27.54,27.74
1936,27.40,27.53
1937,27.43,27.59
1938,27.38,27.48
1939,27.37,27.47
1940,27.32,27.40
1941,27.35,27.45
1942,27.40,27.52
1943,27.40,27.52
1944,27.40,27.52
1945,27.40,27.52
1946,27.64,27.77
1947,27.68,27.79
1948,27.51,27.58
1949,27.37,27.44
1950,27.38,27.46
1951,27.82,27.89
1952,27.99,28.08
1953,27.86,27.94
1954,27.70,27.80
1955,27.05,27.17
1956,27.33,27.46
1957,27.50,27.61
1958,27.54,27.66
1959,27.50,27.64
1960,27.34,27.48
1961,27.35,27.47
1962,27.34,27.48
1963,27.48,27.60
1964,27.04,27.18
1965,27.21,27.32
1966,27.41,27.53
1967,27.33,27.46
1968,27.31,27.44
1969,27.56,27.66
1970,27.48,27.59
1971,27.00,27.15
1972,27.29,27.40
1973,27.44,27.58
1974,27.24,27.37
1975,27.00,27.13
1976,26.97,27.10
1977,27.42,27.52
1978,27.42,27.55
1979,27.50,27.61
1980,27.57,27.68
1981,27.58,27.70
1982,27.48,27.59
1983,27.58,27.73
1984,27.58,27.72
1985,27.54,27.69
1986,27.60,27.72
1987,27.57,27.66
1988,27.48,27.59
1989,27.43,27.55
1990,27.70,27.79
1991,27.48,27.60
1992,27.61,27.72
1993,27.50,27.62
1994,27.70,27.82
1995,27.58,27.72
1996,27.71,27.84
1997,27.70,27.81
1998,27.69,27.82
1999,27.39,27.50
2000,27.56,27.68
2001,28.03,28.13
2002,28.15,28.27
2003,28.18,28.28
2004,28.35,28.45
2005,28.23,28.33
2006,28.04,28.15
2007,27.91,28.03
2008,27.58,27.69
2009,27.83,27.94
2010,27.40,27.52
2011,27.73,27.85
2012,28.25,28.35
2013,28.28,28.39
2014,28.23,28.34
2015,28.25,28.36
2016,28.43,28.54
2017,28.36,28.46
2018,28.15,28.27
2019,28.20,28.33
2020,28.43,28.55
