Variable:,tas
,"Cook Islands","Administrative unit not available"
1901,23.96,24.24
1902,23.96,24.26
1903,23.96,24.35
1904,23.96,24.18
1905,23.96,24.24
1906,23.96,24.24
1907,23.24,23.58
1908,23.76,24.03
1909,23.74,24.01
1910,23.68,23.95
1911,23.55,23.82
1912,23.48,23.75
1913,23.23,23.50
1914,23.14,23.42
1915,23.29,23.57
1916,23.78,24.05
1917,23.73,24.00
1918,22.84,23.12
1919,23.36,23.64
1920,23.68,23.95
1921,24.03,24.28
1922,24.03,24.28
1923,23.38,23.65
1924,24.04,24.30
1925,23.40,23.67
1926,23.51,23.78
1927,24.24,24.51
1928,23.59,23.87
1929,23.47,23.74
1930,23.33,23.60
1931,23.25,23.51
1932,23.63,23.90
1933,23.65,23.92
1934,23.70,23.97
1935,23.88,24.16
1936,23.93,24.19
1937,24.05,24.35
1938,24.28,24.55
1939,24.07,24.37
1940,23.51,23.90
1941,23.67,24.02
1942,24.36,24.67
1943,24.05,24.36
1944,23.63,23.96
1945,24.04,24.36
1946,23.88,24.21
1947,24.13,24.46
1948,23.41,23.72
1949,23.92,24.18
1950,24.09,24.31
1951,23.53,23.84
1952,24.15,24.41
1953,23.88,24.13
1954,24.04,24.27
1955,23.90,24.11
1956,23.67,23.90
1957,23.67,23.96
1958,23.32,23.68
1959,23.66,23.99
1960,23.81,24.10
1961,23.90,24.15
1962,23.48,23.78
1963,23.51,23.80
1964,23.93,24.17
1965,23.21,23.52
1966,23.56,23.85
1967,23.51,23.80
1968,23.82,24.03
1969,23.92,24.21
1970,24.33,24.58
1971,23.91,24.13
1972,23.93,24.19
1973,24.69,24.89
1974,24.06,24.27
1975,23.99,24.21
1976,23.78,24.05
1977,23.77,24.06
1978,23.98,24.25
1979,23.86,24.13
1980,24.21,24.49
1981,24.18,24.43
1982,23.82,24.10
1983,24.07,24.35
1984,23.97,24.26
1985,24.09,24.37
1986,24.13,24.43
1987,23.68,24.04
1988,24.31,24.58
1989,24.24,24.48
1990,24.27,24.53
1991,24.30,24.56
1992,24.23,24.52
1993,23.98,24.28
1994,23.93,24.24
1995,24.21,24.49
1996,24.43,24.67
1997,23.78,24.07
1998,24.02,24.32
1999,24.65,24.90
2000,24.41,24.69
2001,24.27,24.52
2002,24.18,24.51
2003,24.26,24.54
2004,24.38,24.67
2005,23.98,24.32
2006,23.99,24.35
2007,23.98,24.33
2008,23.97,24.31
2009,23.98,24.36
2010,23.99,24.39
2011,23.99,24.37
2012,23.97,24.29
2013,23.98,24.29
2014,23.96,24.31
2015,23.96,24.31
2016,23.98,24.35
2017,23.99,24.36
2018,23.97,24.32
2019,23.98,24.32
2020,23.98,24.36
