Variable:,tas
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1901,1.60,2.24,2.33,1.69,0.70,1.85,2.49,0.61,3.95,3.34,2.50,2.50,2.14,0.88,1.28,2.49,1.04,2.85,1.74,1.73,0.38,2.11,1.87,2.11,2.73
1902,0.69,1.35,1.38,0.75,-0.15,0.95,1.55,-0.34,3.08,2.46,1.60,1.60,1.19,-0.03,0.34,1.61,0.09,1.95,0.79,0.87,-0.55,1.18,0.92,1.18,1.90
1903,0.66,1.30,1.32,0.70,-0.19,0.88,1.49,-0.35,2.99,2.38,1.53,1.53,1.13,-0.03,0.35,1.56,0.07,1.85,0.73,0.86,-0.55,1.11,0.87,1.10,1.85
1904,1.33,1.96,1.93,1.38,0.51,1.54,2.14,0.36,3.58,3.01,2.16,2.16,1.73,0.69,1.07,2.24,0.76,2.43,1.37,1.55,0.16,1.67,1.54,1.67,2.55
1905,1.34,1.97,1.94,1.39,0.53,1.55,2.14,0.34,3.62,3.04,2.18,2.18,1.73,0.68,1.06,2.25,0.76,2.46,1.37,1.56,0.15,1.67,1.54,1.67,2.57
1906,0.75,1.39,1.39,0.80,-0.09,0.98,1.59,-0.25,3.06,2.48,1.63,1.63,1.19,0.08,0.46,1.65,0.17,1.93,0.82,0.97,-0.45,1.14,0.97,1.14,1.95
1907,0.55,1.19,1.21,0.59,-0.29,0.78,1.39,-0.47,2.88,2.27,1.42,1.42,1.03,-0.14,0.24,1.45,-0.04,1.74,0.62,0.76,-0.66,1.00,0.76,1.00,1.74
1908,1.85,2.48,2.55,1.93,0.98,2.09,2.72,0.89,4.16,3.56,2.73,2.73,2.35,1.15,1.57,2.74,1.30,3.05,1.97,2.01,0.66,2.30,2.10,2.30,3.02
1909,1.32,1.97,2.04,1.41,0.41,1.59,2.21,0.35,3.67,3.08,2.24,2.24,1.85,0.58,1.01,2.21,0.77,2.56,1.46,1.43,0.10,1.81,1.60,1.80,2.47
1910,0.94,1.56,1.58,0.98,0.11,1.15,1.76,-0.07,3.23,2.63,1.79,1.79,1.39,0.28,0.65,1.83,0.34,2.11,1.00,1.17,-0.27,1.35,1.13,1.35,2.14
1911,1.52,2.16,2.20,1.57,0.65,1.74,2.37,0.52,3.84,3.23,2.39,2.39,2.01,0.82,1.22,2.42,0.94,2.71,1.61,1.70,0.31,1.98,1.74,1.97,2.69
1912,1.45,2.10,2.18,1.53,0.53,1.71,2.35,0.47,3.82,3.20,2.36,2.36,2.00,0.71,1.14,2.35,0.90,2.70,1.59,1.58,0.23,1.97,1.71,1.97,2.58
1913,1.60,2.23,2.26,1.66,0.75,1.82,2.44,0.61,3.90,3.30,2.46,2.46,2.08,0.93,1.32,2.50,1.02,2.78,1.68,1.80,0.40,2.04,1.83,2.05,2.78
1914,0.87,1.48,1.45,0.88,0.10,1.05,1.65,-0.16,3.14,2.54,1.68,1.68,1.25,0.25,0.60,1.76,0.25,1.99,0.88,1.15,-0.32,1.21,1.04,1.21,2.10
1915,1.29,1.98,2.07,1.40,0.36,1.60,2.23,0.29,3.74,3.12,2.26,2.26,1.89,0.50,0.94,2.21,0.74,2.63,1.47,1.36,0.04,1.88,1.59,1.87,2.44
1916,1.29,1.92,2.03,1.37,0.40,1.54,2.19,0.31,3.65,3.03,2.19,2.19,1.84,0.57,0.99,2.17,0.73,2.54,1.44,1.45,0.07,1.83,1.55,1.82,2.43
1917,0.60,1.25,1.31,0.65,-0.28,0.84,1.48,-0.42,2.97,2.34,1.49,1.49,1.13,-0.12,0.28,1.50,0.01,1.86,0.72,0.77,-0.63,1.12,0.83,1.12,1.76
1918,0.91,1.56,1.54,0.97,0.09,1.17,1.75,-0.10,3.27,2.68,1.81,1.81,1.33,0.24,0.60,1.82,0.32,2.08,0.98,1.15,-0.31,1.27,1.17,1.27,2.11
1919,0.45,1.09,1.18,0.53,-0.44,0.70,1.35,-0.54,2.82,2.19,1.36,1.36,0.99,-0.26,0.14,1.34,-0.12,1.70,0.59,0.60,-0.77,0.98,0.70,0.98,1.61
1920,1.28,1.88,1.87,1.31,0.49,1.45,2.07,0.29,3.52,2.94,2.09,2.09,1.66,0.67,1.03,2.16,0.68,2.37,1.31,1.56,0.12,1.60,1.47,1.61,2.49
1921,1.00,1.61,1.65,1.06,0.16,1.19,1.80,0.02,3.29,2.68,1.83,1.83,1.46,0.35,0.76,1.88,0.43,2.15,1.07,1.23,-0.18,1.41,1.19,1.41,2.19
1922,1.49,2.08,2.26,1.56,0.57,1.70,2.35,0.53,3.80,3.18,2.36,2.36,2.10,0.81,1.26,2.32,0.93,2.70,1.67,1.67,0.29,2.06,1.73,2.07,2.57
1923,1.29,1.90,2.06,1.34,0.36,1.52,2.17,0.32,3.64,3.01,2.18,2.18,1.89,0.58,1.03,2.14,0.71,2.54,1.46,1.45,0.07,1.87,1.52,1.87,2.39
1924,1.28,1.90,1.90,1.34,0.45,1.48,2.08,0.34,3.60,2.99,2.12,2.12,1.69,0.61,1.08,2.19,0.73,2.42,1.32,1.53,0.08,1.65,1.47,1.65,2.48
1925,1.55,2.13,2.34,1.65,0.59,1.77,2.46,0.67,3.87,3.26,2.44,2.44,2.18,0.84,1.41,2.36,1.05,2.80,1.75,1.69,0.33,2.15,1.82,2.16,2.61
1926,2.08,2.67,2.88,2.13,1.16,2.32,3.03,1.10,4.49,3.85,3.02,3.02,2.71,1.36,1.84,2.92,1.51,3.40,2.29,2.22,0.85,2.71,2.30,2.71,3.18
1927,1.89,2.50,2.74,1.96,0.93,2.17,2.90,0.93,4.38,3.72,2.87,2.87,2.57,1.11,1.61,2.73,1.33,3.27,2.14,1.96,0.63,2.56,2.16,2.57,2.99
1928,2.59,3.19,3.54,2.69,1.58,2.88,3.64,1.66,5.07,4.42,3.60,3.60,3.38,1.80,2.36,3.39,2.06,4.01,2.93,2.60,1.33,3.37,2.89,3.36,3.62
1929,2.51,3.11,3.40,2.59,1.52,2.79,3.53,1.57,4.98,4.33,3.50,3.50,3.23,1.73,2.28,3.33,1.97,3.91,2.79,2.56,1.24,3.23,2.79,3.23,3.58
1930,1.91,2.48,2.70,2.00,0.96,2.12,2.81,1.02,4.23,3.62,2.79,2.79,2.55,1.19,1.79,2.72,1.40,3.17,2.11,2.06,0.69,2.51,2.16,2.52,2.98
1931,1.75,2.35,2.52,1.84,0.81,1.96,2.61,0.81,4.06,3.44,2.61,2.61,2.36,1.06,1.54,2.58,1.22,2.97,1.94,1.90,0.54,2.32,1.99,2.33,2.83
1932,2.43,3.05,3.33,2.51,1.43,2.73,3.44,1.45,4.90,4.25,3.43,3.43,3.18,1.66,2.16,3.27,1.88,3.83,2.73,2.49,1.17,3.18,2.71,3.17,3.50
1933,3.13,3.71,3.97,3.26,2.14,3.35,4.07,2.24,5.40,4.82,4.03,4.03,3.81,2.41,2.96,3.92,2.64,4.38,3.38,3.22,1.93,3.75,3.43,3.77,4.15
1934,2.41,2.99,3.20,2.51,1.45,2.62,3.34,1.50,4.71,4.11,3.30,3.30,3.04,1.69,2.23,3.22,1.90,3.65,2.61,2.52,1.20,2.98,2.67,3.00,3.48
1935,2.06,2.66,2.85,2.15,1.11,2.30,2.99,1.12,4.39,3.77,2.97,2.97,2.69,1.33,1.87,2.89,1.53,3.33,2.26,2.16,0.84,2.65,2.34,2.66,3.14
1936,1.85,2.47,2.61,1.92,0.95,2.09,2.75,0.87,4.22,3.58,2.75,2.75,2.43,1.14,1.59,2.72,1.29,3.11,2.01,2.01,0.63,2.41,2.09,2.41,2.99
1937,2.01,2.64,2.74,2.11,1.11,2.26,2.90,1.06,4.35,3.73,2.91,2.91,2.55,1.29,1.77,2.86,1.47,3.24,2.16,2.16,0.81,2.51,2.28,2.51,3.14
1938,2.20,2.81,2.94,2.31,1.28,2.44,3.09,1.29,4.51,3.93,3.09,3.09,2.75,1.45,2.06,3.03,1.71,3.43,2.35,2.31,0.98,2.72,2.46,2.72,3.31
1939,2.77,3.44,3.52,2.88,1.80,3.07,3.70,1.83,5.18,4.57,3.73,3.73,3.34,1.97,2.52,3.62,2.25,4.06,2.94,2.81,1.54,3.31,3.05,3.31,3.88
1940,1.94,2.59,2.63,2.01,1.07,2.19,2.80,0.97,4.30,3.68,2.83,2.83,2.44,1.24,1.67,2.83,1.38,3.15,2.05,2.10,0.74,2.42,2.18,2.42,3.11
1941,2.77,3.43,3.51,2.87,1.86,3.05,3.68,1.79,5.14,4.55,3.70,3.70,3.31,2.01,2.44,3.66,2.22,4.02,2.92,2.87,1.53,3.28,3.05,3.27,3.92
