Variable:,tas
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
1901,8.87,9.23,9.27,8.57
1902,8.53,8.88,8.88,8.26
1903,9.42,9.73,9.83,9.10
1904,9.41,9.73,9.77,9.13
1905,9.05,9.38,9.43,8.75
1906,9.54,9.92,9.91,9.25
1907,9.13,9.49,9.48,8.86
1908,8.84,9.24,9.21,8.54
1909,8.65,9.04,9.01,8.37
1910,9.72,10.13,10.11,9.41
1911,10.42,10.81,10.79,10.15
1912,9.58,9.99,9.96,9.30
1913,10.02,10.43,10.41,9.73
1914,9.94,10.37,10.35,9.63
1915,9.35,9.73,9.69,9.09
1916,9.68,10.06,10.02,9.42
1917,8.72,9.09,9.08,8.44
1918,9.82,10.20,10.17,9.55
1919,8.72,9.11,9.06,8.46
1920,9.90,10.27,10.26,9.62
1921,10.51,10.93,10.87,10.24
1922,8.79,9.22,9.15,8.52
1923,9.42,9.81,9.74,9.17
1924,9.11,9.54,9.47,8.82
1925,9.56,9.98,9.94,9.27
1926,10.01,10.41,10.37,9.72
1927,9.37,9.77,9.73,9.09
1928,9.85,10.25,10.19,9.58
1929,9.00,9.37,9.33,8.74
1930,10.09,10.48,10.45,9.81
1931,9.13,9.51,9.49,8.85
1932,9.70,10.07,10.07,9.42
1933,9.39,9.77,9.75,9.11
1934,10.52,10.90,10.87,10.25
1935,9.91,10.28,10.27,9.63
1936,9.74,10.10,10.09,9.48
1937,9.96,10.33,10.30,9.69
1938,10.00,10.38,10.36,9.71
1939,9.85,10.23,10.22,9.57
1940,8.58,8.95,8.92,8.32
1941,8.97,9.34,9.32,8.71
1942,8.87,9.24,9.20,8.62
1943,10.21,10.58,10.55,9.95
1944,9.63,10.00,9.99,9.36
1945,10.38,10.76,10.72,10.12
1946,9.58,9.93,9.90,9.32
1947,10.24,10.58,10.54,10.00
1948,10.31,10.66,10.66,10.04
1949,10.61,10.98,10.95,10.35
1950,9.91,10.27,10.23,9.66
1951,9.69,10.05,10.04,9.42
1952,9.24,9.61,9.55,8.99
1953,9.81,10.17,10.18,9.54
1954,9.05,9.43,9.40,8.77
1955,8.96,9.37,9.33,8.68
1956,8.46,8.86,8.82,8.19
1957,9.87,10.26,10.24,9.58
1958,9.44,9.81,9.79,9.18
1959,10.41,10.82,10.77,10.13
1960,9.73,10.09,10.07,9.46
1961,10.15,10.53,10.47,9.90
1962,8.35,8.72,8.68,8.10
1963,8.06,8.41,8.37,7.82
1964,9.38,9.69,9.69,9.14
1965,8.79,9.17,9.15,8.51
1966,9.63,9.97,9.95,9.39
1967,9.83,10.23,10.21,9.54
1968,9.17,9.53,9.53,8.89
1969,9.36,9.76,9.73,9.07
1970,9.29,9.68,9.66,9.00
1971,9.66,10.06,10.05,9.36
1972,9.14,9.51,9.50,8.86
1973,9.57,9.93,9.92,9.30
1974,9.88,10.21,10.18,9.64
1975,9.87,10.23,10.20,9.61
1976,10.15,10.51,10.46,9.90
1977,9.80,10.15,10.12,9.55
1978,9.01,9.36,9.38,8.72
1979,8.89,9.14,9.14,8.69
1980,9.10,9.48,9.49,8.80
1981,9.43,9.81,9.77,9.17
1982,10.13,10.49,10.46,9.87
1983,10.12,10.46,10.45,9.86
1984,9.46,9.87,9.84,9.16
1985,8.62,8.93,8.95,8.36
1986,9.03,9.36,9.35,8.78
1987,8.87,9.19,9.21,8.62
1988,10.29,10.64,10.63,10.02
1989,10.77,11.16,11.16,10.47
1990,10.84,11.23,11.21,10.56
1991,9.66,10.00,9.99,9.40
1992,10.45,10.79,10.80,10.19
1993,9.83,10.16,10.13,9.59
1994,10.92,11.24,11.19,10.72
1995,10.62,11.02,10.97,10.36
1996,8.86,9.21,9.16,8.62
1997,10.43,10.81,10.78,10.17
1998,10.34,10.74,10.69,10.07
1999,10.95,11.38,11.32,10.67
2000,11.00,11.34,11.30,10.76
2001,10.48,10.88,10.81,10.23
2002,10.93,11.28,11.26,10.68
2003,10.78,11.14,11.10,10.52
2004,10.41,10.83,10.78,10.13
2005,10.68,11.08,11.04,10.41
2006,10.98,11.37,11.33,10.70
2007,11.11,11.48,11.47,10.84
2008,10.60,10.97,10.96,10.32
2009,10.65,11.03,10.97,10.40
2010,9.34,9.68,9.63,9.12
2011,11.21,11.57,11.51,10.97
2012,10.43,10.78,10.74,10.19
2013,9.91,10.24,10.22,9.67
2014,11.73,12.09,12.07,11.47
2015,11.07,11.40,11.36,10.84
2016,10.78,11.16,11.11,10.52
2017,11.07,11.43,11.40,10.81
2018,11.62,11.97,11.89,11.41
2019,11.40,11.75,11.71,11.16
2020,11.92,12.26,12.21,11.69
