Variable:,tas
1901,25.83
1902,25.49
1903,25.59
1904,25.18
1905,25.46
1906,25.32
1907,25.06
1908,25.23
1909,25.13
1910,25.11
1911,25.14
1912,25.41
1913,24.85
1914,25.17
1915,25.66
1916,25.24
1917,25.16
1918,25.21
1919,25.22
1920,25.11
1921,25.17
1922,25.04
1923,25.34
1924,25.62
1925,25.30
1926,25.75
1927,25.42
1928,25.45
1929,25.18
1930,25.36
1931,25.94
1932,25.95
1933,25.62
1934,25.52
1935,25.32
1936,25.58
1937,25.87
1938,25.39
1939,25.54
1940,26.18
1941,26.24
1942,26.28
1943,25.69
1944,25.88
1945,25.43
1946,25.55
1947,25.87
1948,25.86
1949,25.56
1950,25.36
1951,25.87
1952,25.86
1953,25.74
1954,25.52
1955,25.56
1956,25.47
1957,25.67
1958,26.11
1959,25.84
1960,26.03
1961,25.93
1962,25.84
1963,26.07
1964,25.85
1965,25.79
1966,25.96
1967,25.70
1968,25.80
1969,26.28
1970,26.07
1971,25.74
1972,25.99
1973,26.11
1974,25.82
1975,25.79
1976,25.73
1977,26.19
1978,26.33
1979,26.29
1980,26.64
1981,26.61
1982,26.25
1983,26.76
1984,26.20
1985,26.13
1986,26.26
1987,26.89
1988,26.57
1989,26.20
1990,26.52
1991,26.56
1992,26.44
1993,26.74
1994,26.50
1995,26.71
1996,26.44
1997,26.57
1998,27.05
1999,26.55
2000,26.39
2001,26.74
2002,26.80
2003,26.80
2004,26.55
2005,26.95
2006,26.76
2007,26.69
2008,26.41
2009,26.84
2010,27.13
2011,26.72
2012,26.84
2013,26.87
2014,26.87
2015,27.09
2016,27.07
2017,26.91
2018,26.57
2019,26.92
2020,26.99
