Variable:,tas
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1901,8.07,8.71,8.15,6.90,8.48
1902,7.78,8.50,7.98,6.43,8.38
1903,7.98,8.75,8.03,6.57,8.46
1904,8.03,8.77,8.04,6.70,8.47
1905,8.15,8.82,8.29,6.90,8.64
1906,8.21,9.00,8.25,6.77,8.65
1907,7.87,8.60,7.93,6.54,8.30
1908,8.37,9.01,8.59,7.13,8.99
1909,7.68,8.38,7.84,6.35,8.24
1910,8.15,8.93,8.14,6.76,8.54
1911,8.76,9.54,8.70,7.39,9.11
1912,8.16,8.95,8.16,6.73,8.63
1913,8.54,9.31,8.48,7.17,8.93
1914,8.68,9.40,8.71,7.36,9.10
1915,7.81,8.58,7.83,6.42,8.28
1916,8.19,8.96,8.23,6.80,8.62
1917,7.61,8.28,7.74,6.37,8.06
1918,8.36,9.14,8.45,6.93,8.87
1919,7.56,8.29,7.66,6.20,8.10
1920,8.51,9.25,8.53,7.18,8.96
1921,9.25,10.05,9.38,7.73,9.86
1922,7.74,8.43,7.87,6.45,8.26
1923,8.04,8.82,8.11,6.60,8.56
1924,8.19,8.83,8.31,7.00,8.67
1925,8.10,8.82,8.12,6.78,8.53
1926,8.66,9.41,8.73,7.30,9.12
1927,8.13,8.89,8.25,6.71,8.69
1928,8.38,9.21,8.42,6.85,8.95
1929,8.08,8.75,8.27,6.81,8.63
1930,8.30,9.11,8.20,6.90,8.65
1931,8.07,8.76,8.23,6.78,8.55
1932,8.48,9.17,8.60,7.21,8.88
1933,8.82,9.41,8.97,7.74,9.28
1934,8.98,9.73,8.98,7.64,9.35
1935,8.51,9.27,8.56,7.15,8.94
1936,8.41,9.13,8.46,7.12,8.82
1937,8.39,9.17,8.38,7.00,8.80
1938,8.89,9.58,8.93,7.63,9.30
1939,8.66,9.37,8.69,7.38,9.10
1940,8.12,8.75,8.38,6.87,8.81
1941,7.98,8.67,8.15,6.69,8.53
1942,8.05,8.70,8.32,6.80,8.62
1943,8.87,9.57,8.97,7.61,9.28
1944,8.53,9.24,8.73,7.20,9.04
1945,9.18,9.85,9.34,7.95,9.63
1946,8.37,9.01,8.47,7.21,8.81
1947,8.35,9.14,8.37,6.94,8.78
1948,8.84,9.59,8.93,7.46,9.33
1949,9.33,10.09,9.41,7.91,9.87
1950,8.31,9.06,8.32,6.97,8.73
1951,8.09,8.85,8.10,6.73,8.52
1952,8.00,8.74,8.14,6.62,8.51
1953,8.92,9.50,9.03,7.91,9.21
1954,8.08,8.74,8.24,6.89,8.51
1955,8.20,8.87,8.40,6.97,8.66
1956,7.90,8.48,8.25,6.82,8.30
1957,8.84,9.57,8.92,7.50,9.27
1958,8.28,9.00,8.47,6.96,8.73
1959,9.32,10.08,9.34,7.96,9.76
1960,8.63,9.35,8.64,7.35,8.98
1961,8.71,9.50,8.67,7.30,9.13
1962,7.58,8.18,7.84,6.50,7.91
1963,7.43,8.02,7.66,6.35,7.87
1964,8.36,9.00,8.56,7.18,8.73
1965,7.78,8.50,7.93,6.45,8.25
1966,8.28,9.08,8.37,6.78,8.82
1967,8.53,9.25,8.45,7.26,8.87
1968,8.22,8.94,8.38,6.87,8.69
1969,8.15,8.91,8.18,6.79,8.57
1970,8.35,9.13,8.46,6.87,8.88
1971,8.81,9.43,9.05,7.68,9.19
1972,8.20,8.87,8.19,7.01,8.60
1973,8.50,9.25,8.62,7.10,9.02
1974,8.47,9.18,8.44,7.22,8.83
1975,8.85,9.54,8.96,7.59,9.29
1976,8.84,9.57,8.83,7.52,9.24
1977,8.37,9.13,8.46,6.97,8.85
1978,8.30,8.99,8.51,6.99,8.79
1979,7.69,8.43,7.74,6.34,8.16
1980,8.35,9.01,8.47,7.15,8.75
1981,8.18,8.90,8.36,6.83,8.62
1982,8.67,9.45,8.64,7.28,9.10
1983,8.80,9.55,8.89,7.41,9.24
1984,8.61,9.33,8.66,7.33,9.02
1985,7.79,8.48,7.94,6.54,8.21
1986,7.64,8.33,7.66,6.43,7.95
1987,8.06,8.75,8.25,6.79,8.51
1988,8.80,9.52,8.82,7.53,9.15
1989,9.31,10.17,9.15,7.74,9.82
1990,9.43,10.29,9.25,7.88,9.92
1991,8.57,9.22,8.73,7.40,8.92
1992,8.77,9.54,8.73,7.39,9.15
1993,8.37,9.14,8.45,6.97,8.83
1994,8.92,9.82,8.68,7.33,9.36
1995,9.27,10.16,9.17,7.65,9.76
1996,8.25,8.88,8.39,7.15,8.52
1997,9.42,10.14,9.41,8.15,9.73
1998,9.16,9.93,9.20,7.78,9.55
1999,9.34,10.18,9.21,7.85,9.71
2000,9.06,9.88,8.91,7.63,9.37
2001,8.84,9.63,8.77,7.43,9.22
2002,9.42,10.20,9.23,8.07,9.76
2003,9.43,10.13,9.34,8.22,9.70
2004,9.36,10.08,9.28,8.09,9.68
2005,9.34,10.08,9.33,8.04,9.64
2006,9.57,10.34,9.46,8.24,9.90
2007,9.54,10.31,9.54,8.19,9.88
2008,9.06,9.81,8.97,7.77,9.32
2009,9.15,9.84,9.05,7.98,9.37
2010,8.04,8.73,7.99,6.84,8.35
2011,9.45,10.29,9.17,8.02,9.73
2012,8.79,9.56,8.77,7.43,9.12
2013,8.74,9.42,8.76,7.52,9.11
2014,9.82,10.66,9.48,8.42,10.05
2015,9.06,9.93,8.70,7.60,9.35
2016,9.24,10.01,9.10,7.91,9.54
2017,9.51,10.29,9.31,8.16,9.82
2018,9.36,10.25,8.98,7.85,9.69
2019,9.44,10.26,9.21,8.06,9.69
2020,9.58,10.53,9.13,8.00,9.87
