Variable:,tas
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1901,7.66,5.28,13.10,5.45,7.22,11.53,9.91,7.36,10.32,6.16,8.76,6.16,7.29,5.49,6.18,5.89,10.15,6.10,6.33,11.53,13.93,6.01
1902,7.55,5.09,13.09,5.26,6.94,11.53,9.89,7.24,10.33,6.01,8.74,5.99,7.24,5.30,6.03,5.80,10.07,5.88,6.19,11.53,13.93,5.87
1903,8.26,5.92,13.68,6.09,7.89,12.12,10.49,7.95,10.89,6.78,9.34,6.78,7.87,6.12,6.79,6.46,10.75,6.73,6.93,12.12,14.33,6.62
1904,8.32,5.87,13.75,6.04,7.82,12.20,10.60,8.02,11.03,6.79,9.48,6.79,8.00,6.07,6.82,6.62,10.79,6.67,6.98,12.20,14.42,6.66
1905,7.93,5.52,13.38,5.70,7.49,11.80,10.19,7.62,10.61,6.41,9.06,6.41,7.58,5.74,6.44,6.20,10.42,6.38,6.58,11.80,14.11,6.27
1906,7.95,5.63,13.36,5.80,7.59,11.81,10.15,7.64,10.53,6.48,9.00,6.48,7.52,5.83,6.48,6.11,10.44,6.43,6.62,11.81,14.01,6.31
1907,7.81,5.37,13.28,5.54,7.32,11.74,10.11,7.52,10.52,6.29,8.97,6.29,7.48,5.57,6.34,6.06,10.31,6.16,6.48,11.74,13.97,6.17
1908,7.49,5.07,12.98,5.24,6.98,11.40,9.75,7.21,10.15,5.99,8.59,5.98,7.11,5.28,6.02,5.70,10.01,5.87,6.17,11.40,13.67,5.86
1909,7.82,5.44,13.24,5.61,7.42,11.68,10.05,7.51,10.43,6.32,8.90,6.33,7.43,5.65,6.35,6.03,10.30,6.25,6.49,11.68,13.98,6.18
1910,8.47,6.14,13.84,6.32,8.21,12.28,10.64,8.18,11.03,7.02,9.49,7.03,8.03,6.35,7.05,6.67,10.95,6.97,7.17,12.28,14.41,6.87
1911,8.50,6.05,13.89,6.23,8.02,12.33,10.75,8.22,11.16,7.00,9.63,7.00,8.17,6.26,7.05,6.77,10.96,6.88,7.20,12.33,14.50,6.88
1912,7.63,5.15,13.09,5.32,7.11,11.53,9.94,7.36,10.36,6.11,8.81,6.10,7.34,5.36,6.13,5.90,10.13,5.95,6.31,11.53,13.91,5.97
1913,7.91,5.44,13.37,5.61,7.39,11.83,10.21,7.62,10.63,6.39,9.08,6.38,7.60,5.64,6.41,6.21,10.40,6.23,6.58,11.83,14.19,6.26
1914,7.44,4.98,12.88,5.14,6.92,11.33,9.73,7.15,10.14,5.92,8.60,5.91,7.13,5.18,5.94,5.74,9.92,5.74,6.11,11.33,13.71,5.79
1915,8.10,5.63,13.58,5.81,7.59,11.96,10.36,7.80,10.74,6.57,9.23,6.56,7.76,5.85,6.61,6.39,10.60,6.49,6.76,11.96,14.37,6.45
1916,8.78,6.36,14.18,6.54,8.31,12.59,11.00,8.50,11.37,7.29,9.87,7.29,8.42,6.58,7.34,7.08,11.25,7.19,7.48,12.59,14.95,7.17
