Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1901,26.79,26.49,29.73,21.10,28.81,27.49,20.12,26.73
1902,26.22,25.71,29.34,20.52,28.77,26.69,19.50,26.16
1903,26.03,25.41,29.25,20.38,28.83,26.43,19.34,25.96
1904,26.15,25.62,29.32,20.47,28.71,26.63,19.46,26.09
1905,26.05,25.49,29.21,20.33,28.81,26.43,19.29,26.00
1906,26.36,25.92,29.41,20.61,28.84,26.84,19.60,26.31
1907,26.04,25.56,29.22,20.34,28.57,26.49,19.32,26.02
1908,26.16,25.64,29.29,20.44,28.82,26.57,19.41,26.11
1909,26.12,25.79,29.20,20.35,28.39,26.60,19.36,26.14
1910,26.19,25.60,29.36,20.49,29.02,26.56,19.45,26.13
1911,26.34,25.75,29.46,20.63,29.12,26.74,19.60,26.26
1912,25.98,25.45,29.23,20.28,28.66,26.33,19.26,25.98
1913,25.77,25.15,29.08,20.08,28.62,26.06,19.04,25.77
1914,26.27,25.84,29.37,20.55,28.71,26.76,19.55,26.25
1915,26.50,26.19,29.54,20.73,28.76,27.00,19.75,26.52
1916,25.81,25.35,29.03,19.98,28.60,26.03,18.96,25.86
1917,25.83,25.33,29.12,20.06,28.63,26.06,19.04,25.89
1918,25.93,25.42,29.19,20.20,28.65,26.24,19.19,25.96
1919,26.45,26.09,29.46,20.70,28.73,27.00,19.72,26.41
1920,25.55,24.95,28.89,19.78,28.56,25.73,18.74,25.58
1921,25.88,25.39,29.07,20.11,28.61,26.21,19.08,25.88
1922,25.91,25.43,29.05,20.11,28.59,26.27,19.09,25.89
1923,25.81,25.30,28.96,20.01,28.57,26.15,18.99,25.78
1924,26.23,25.80,29.33,20.51,28.69,26.72,19.50,26.20
1925,26.02,25.54,29.16,20.26,28.64,26.40,19.25,26.01
1926,26.11,25.63,29.25,20.39,28.66,26.55,19.37,26.08
1927,26.40,26.01,29.45,20.66,28.72,26.93,19.67,26.37
1928,26.84,26.56,29.78,21.15,28.84,27.52,20.18,26.81
1929,26.13,25.68,29.27,20.38,28.67,26.53,19.36,26.12
1930,26.02,25.56,29.21,20.24,28.66,26.34,19.23,26.05
1931,26.46,26.10,29.55,20.73,28.76,26.96,19.75,26.48
1932,26.10,25.68,29.23,20.33,28.66,26.49,19.33,26.11
1933,26.56,26.21,29.54,20.83,28.75,27.17,19.84,26.51
1934,26.16,25.75,29.27,20.39,28.66,26.58,19.40,26.15
1935,26.29,25.89,29.34,20.55,28.70,26.79,19.55,26.27
1936,26.63,26.34,29.58,20.88,28.77,27.23,19.90,26.59
1937,26.34,25.97,29.37,20.58,28.70,26.84,19.58,26.32
1938,26.27,25.85,29.36,20.54,28.69,26.76,19.53,26.24
1939,26.83,26.55,29.73,21.12,28.82,27.52,20.15,26.77
1940,26.86,26.59,29.75,21.16,28.83,27.58,20.19,26.80
1941,26.09,25.70,29.13,20.32,28.53,26.57,19.33,26.07
1942,25.78,25.37,28.79,20.00,28.27,26.26,18.98,25.73
1943,24.98,24.48,28.07,19.21,27.67,25.42,18.20,24.91
1944,25.59,25.10,28.72,19.83,28.21,26.01,18.84,25.54
1945,25.32,24.82,28.49,19.55,28.01,25.72,18.55,25.27
1946,25.65,25.07,28.82,19.95,28.45,26.04,18.91,25.59
1947,25.98,25.42,29.14,20.29,28.71,26.37,19.26,25.93
1948,25.38,24.81,28.56,19.66,28.18,25.75,18.63,25.32
1949,25.23,24.68,28.39,19.51,27.98,25.63,18.48,25.17
1950,25.70,25.25,28.90,19.94,28.25,26.11,18.94,25.68
1951,25.63,25.03,28.96,20.08,28.49,25.90,18.87,25.61
1952,26.06,25.59,29.15,20.37,28.64,26.48,19.29,26.02
1953,26.08,25.42,29.29,20.49,28.93,26.40,19.46,26.05
1954,26.18,25.55,29.42,20.56,28.96,26.52,19.57,26.15
1955,26.34,25.75,29.53,20.62,29.09,26.74,19.67,26.29
1956,25.72,25.19,28.98,20.00,28.37,26.10,19.01,25.71
1957,25.78,25.32,28.96,20.02,28.30,26.22,19.06,25.77
1958,26.20,25.75,29.41,20.43,28.69,26.60,19.47,26.23
1959,25.70,25.09,29.02,20.03,28.52,26.03,18.98,25.66
1960,26.14,25.75,29.29,20.38,28.48,26.64,19.45,26.17
1961,25.35,24.76,28.66,19.74,28.15,25.66,18.72,25.33
1962,25.84,25.44,29.00,20.08,28.26,26.27,19.10,25.86
1963,26.18,25.79,29.39,20.34,28.60,26.62,19.49,26.20
1964,25.31,24.74,28.61,19.67,28.02,25.68,18.59,25.29
1965,25.90,25.40,29.04,20.17,28.45,26.38,19.20,25.86
1966,26.13,25.70,29.29,20.36,28.56,26.62,19.48,26.12
1967,25.34,24.76,28.59,19.68,28.00,25.75,18.62,25.30
1968,25.52,25.01,28.74,19.84,28.07,25.96,18.83,25.50
1969,26.49,26.04,29.54,20.79,28.91,27.03,19.80,26.43
1970,26.06,25.48,29.30,20.41,28.70,26.48,19.40,26.02
1971,25.46,24.90,28.80,19.75,28.18,25.81,18.73,25.47
1972,25.93,25.37,29.18,20.25,28.61,26.33,19.21,25.90
1973,26.47,25.93,29.66,20.78,29.10,26.90,19.77,26.43
1974,25.98,25.54,29.19,20.26,28.44,26.42,19.29,25.99
1975,26.10,25.61,29.31,20.39,28.66,26.53,19.34,26.09
1976,26.45,25.99,29.51,20.72,28.93,26.94,19.71,26.39
